id,name,description,type_tax_use,amount_type,amount,sequence,chart_template_id:id
lu_2011_tax_VB-PA-15,Vente Biens 15% - Pays,VB-PA-15,sale,percent,0.15,101,lu_2011_chart_1
lu_2011_tax_VB-PA-12,Vente Biens 12% - Pays,VB-PA-12,sale,percent,0.12,102,lu_2011_chart_1
lu_2011_tax_VB-PA-6,Vente Biens 6% - Pays,VB-PA-6,sale,percent,0.06,103,lu_2011_chart_1
lu_2011_tax_VB-PA-3,Vente Biens 3% - Pays,VB-PA-3,sale,percent,0.03,104,lu_2011_chart_1
lu_2011_tax_VB-PA-0,Vente Biens 0% - Pays,VB-PA-0,sale,percent,0,105,lu_2011_chart_1
lu_2011_tax_VB-PA-Tab,Vente Biens Tabacs - Pays,VB-PA-Tab,sale,percent,0,106,lu_2011_chart_1
lu_2011_tax_VB-IC-15,Vente Biens 15% - Intracommunautaire,VB-IC-15,sale,percent,1,201,lu_2011_chart_1
lu_2011_tax_VB-IC-15-p,Vente Biens 15% - Intracommunautaire (+),VB-IC-15-p,sale,percent,0.15,1000,lu_2011_chart_1
lu_2011_tax_VB-IC-15-n,Vente Biens 15% - Intracommunautaire (-),VB-IC-15-n,sale,percent,-0.15,2000,lu_2011_chart_1
lu_2011_tax_VB-IC-12,Vente Biens 12% - Intracommunautaire,VB-IC-12,sale,percent,1,202,lu_2011_chart_1
lu_2011_tax_VB-IC-12-p,Vente Biens 12% - Intracommunautaire (+),VB-IC-12-p,sale,percent,0.12,1000,lu_2011_chart_1
lu_2011_tax_VB-IC-12-n,Vente Biens 12% - Intracommunautaire (-),VB-IC-12-n,sale,percent,-0.12,2000,lu_2011_chart_1
lu_2011_tax_VB-IC-6,Vente Biens 6% - Intracommunautaire,VB-IC-6,sale,percent,1,203,lu_2011_chart_1
lu_2011_tax_VB-IC-6-p,Vente Biens 6% - Intracommunautaire (+),VB-IC-6-p,sale,percent,0.06,1000,lu_2011_chart_1
lu_2011_tax_VB-IC-6-n,Vente Biens 6% - Intracommunautaire (-),VB-IC-6-n,sale,percent,-0.06,2000,lu_2011_chart_1
lu_2011_tax_VB-IC-3,Vente Biens 3% - Intracommunautaire,VB-IC-3,sale,percent,1,204,lu_2011_chart_1
lu_2011_tax_VB-IC-3-p,Vente Biens 3% - Intracommunautaire (+),VB-IC-3-p,sale,percent,0.03,1000,lu_2011_chart_1
lu_2011_tax_VB-IC-3-n,Vente Biens 3% - Intracommunautaire (-),VB-IC-3-n,sale,percent,-0.03,2000,lu_2011_chart_1
lu_2011_tax_VB-IC-0,Vente Biens 0% - Intracommunautaire,VB-IC-0,sale,percent,0,205,lu_2011_chart_1
lu_2011_tax_VB-IC-Tab,Vente Biens Tabacs - Intracommunautaire,VB-IC-Tab,sale,percent,0,206,lu_2011_chart_1
lu_2011_tax_VB-EC-15,Vente Biens 15% - Extracommunautaire,VB-EC-15,sale,percent,1,301,lu_2011_chart_1
lu_2011_tax_VB-EC-15-p,Vente Biens 15% - Extracommunautaire (+),VB-EC-15-p,sale,percent,0.15,1000,lu_2011_chart_1
lu_2011_tax_VB-EC-15-n,Vente Biens 15% - Extracommunautaire (-),VB-EC-15-n,sale,percent,-0.15,2000,lu_2011_chart_1
lu_2011_tax_VB-EC-12,Vente Biens 12% - Extracommunautaire,VB-EC-12,sale,percent,1,302,lu_2011_chart_1
lu_2011_tax_VB-EC-12-p,Vente Biens 12% - Extracommunautaire (+),VB-EC-12-p,sale,percent,0.12,1000,lu_2011_chart_1
lu_2011_tax_VB-EC-12-n,Vente Biens 12% - Extracommunautaire (-),VB-EC-12-n,sale,percent,-0.12,2000,lu_2011_chart_1
lu_2011_tax_VB-EC-6,Vente Biens 6% - Extracommunautaire,VB-EC-6,sale,percent,1,303,lu_2011_chart_1
lu_2011_tax_VB-EC-6-p,Vente Biens 6% - Extracommunautaire (+),VB-EC-6-p,sale,percent,0.06,1000,lu_2011_chart_1
lu_2011_tax_VB-EC-6-n,Vente Biens 6% - Extracommunautaire (-),VB-EC-6-n,sale,percent,-0.06,2000,lu_2011_chart_1
lu_2011_tax_VB-EC-3,Vente Biens 3% - Extracommunautaire,VB-EC-3,sale,percent,1,304,lu_2011_chart_1
lu_2011_tax_VB-EC-3-p,Vente Biens 3% - Extracommunautaire (+),VB-EC-3-p,sale,percent,0.03,1000,lu_2011_chart_1
lu_2011_tax_VB-EC-3-n,Vente Biens 3% - Extracommunautaire (-),VB-EC-3-n,sale,percent,-0.03,2000,lu_2011_chart_1
lu_2011_tax_VB-EC-0,Vente Biens 0% - Extracommunautaire,VB-EC-0,sale,percent,0,305,lu_2011_chart_1
lu_2011_tax_VB-EC-Tab,Vente Biens Tabacs - Extracommunautaire,VB-EC-Tab,sale,percent,0,306,lu_2011_chart_1
lu_2011_tax_VB-TR-15,Vente Biens 15% - Triangulaire,VB-TR-15,sale,percent,1,401,lu_2011_chart_1
lu_2011_tax_VB-TR-15-p,Vente Biens 15% - Triangulaire (+),VB-TR-15-p,sale,percent,0.15,1000,lu_2011_chart_1
lu_2011_tax_VB-TR-15-n,Vente Biens 15% - Triangulaire (-),VB-TR-15-n,sale,percent,-0.15,2000,lu_2011_chart_1
lu_2011_tax_VB-TR-12,Vente Biens 12% - Triangulaire,VB-TR-12,sale,percent,1,402,lu_2011_chart_1
lu_2011_tax_VB-TR-12-p,Vente Biens 12% - Triangulaire (+),VB-TR-12-p,sale,percent,0.12,1000,lu_2011_chart_1
lu_2011_tax_VB-TR-12-n,Vente Biens 12% - Triangulaire (-),VB-TR-12-n,sale,percent,-0.12,2000,lu_2011_chart_1
lu_2011_tax_VB-TR-6,Vente Biens 6% - Triangulaire,VB-TR-6,sale,percent,1,403,lu_2011_chart_1
lu_2011_tax_VB-TR-6-p,Vente Biens 6% - Triangulaire (+),VB-TR-6-p,sale,percent,0.06,1000,lu_2011_chart_1
lu_2011_tax_VB-TR-6-n,Vente Biens 6% - Triangulaire (-),VB-TR-6-n,sale,percent,-0.06,2000,lu_2011_chart_1
lu_2011_tax_VB-TR-3,Vente Biens 3% - Triangulaire,VB-TR-3,sale,percent,1,404,lu_2011_chart_1
lu_2011_tax_VB-TR-3-p,Vente Biens 3% - Triangulaire (+),VB-TR-3-p,sale,percent,0.03,1000,lu_2011_chart_1
lu_2011_tax_VB-TR-3-n,Vente Biens 3% - Triangulaire (-),VB-TR-3-n,sale,percent,-0.03,2000,lu_2011_chart_1
lu_2011_tax_VP-PA-15,Vente Prestations 15% - Pays,VP-PA-15,sale,percent,0.15,111,lu_2011_chart_1
lu_2011_tax_VP-PA-12,Vente Prestations 12% - Pays,VP-PA-12,sale,percent,0.12,112,lu_2011_chart_1
lu_2011_tax_VP-PA-6,Vente Prestations 6% - Pays,VP-PA-6,sale,percent,0.06,113,lu_2011_chart_1
lu_2011_tax_VP-PA-3,Vente Prestations 3% - Pays,VP-PA-3,sale,percent,0.03,114,lu_2011_chart_1
lu_2011_tax_VP-PA-0,Vente Prestations 0% - Pays,VP-PA-0,sale,percent,0,115,lu_2011_chart_1
lu_2011_tax_VP-IC-15,Vente Prestations 15% - Intracommunautaire,VP-IC-15,sale,percent,1,211,lu_2011_chart_1
lu_2011_tax_VP-IC-15-p,Vente Prestations 15% - Intracommunautaire (+),VP-IC-15-p,sale,percent,0.15,1000,lu_2011_chart_1
lu_2011_tax_VP-IC-15-n,Vente Prestations 15% - Intracommunautaire (-),VP-IC-15-n,sale,percent,-0.15,2000,lu_2011_chart_1
lu_2011_tax_VP-IC-12,Vente Prestations 12% - Intracommunautaire,VP-IC-12,sale,percent,1,212,lu_2011_chart_1
lu_2011_tax_VP-IC-12-p,Vente Prestations 12% - Intracommunautaire (+),VP-IC-12-p,sale,percent,0.12,1000,lu_2011_chart_1
lu_2011_tax_VP-IC-12-n,Vente Prestations 12% - Intracommunautaire (-),VP-IC-12-n,sale,percent,-0.12,2000,lu_2011_chart_1
lu_2011_tax_VP-IC-6,Vente Prestations 6% - Intracommunautaire,VP-IC-6,sale,percent,1,213,lu_2011_chart_1
lu_2011_tax_VP-IC-6-p,Vente Prestations 6% - Intracommunautaire (+),VP-IC-6-p,sale,percent,0.06,1000,lu_2011_chart_1
lu_2011_tax_VP-IC-6-n,Vente Prestations 6% - Intracommunautaire (-),VP-IC-6-n,sale,percent,-0.06,2000,lu_2011_chart_1
lu_2011_tax_VP-IC-3,Vente Prestations 3% - Intracommunautaire,VP-IC-3,sale,percent,1,214,lu_2011_chart_1
lu_2011_tax_VP-IC-3-p,Vente Prestations 3% - Intracommunautaire (+),VP-IC-3-p,sale,percent,0.03,1000,lu_2011_chart_1
