"id","expression","note","parent_id","sequence","badness_limit","goodness_limit","type","code","name"
1,0,,,,0,1,"indicator","BILAN","Bilan"
2,"report('BIMMO','BSTOCK','BREAL','BDISPO')",,"BILAN",,0,1,"fiscal","Actif","Actif"
3,"balance(['2'])",,"Actif",,0,1,"indicator","BIMMO","Valeurs immobilisées"
4,"balance(['3']",,"Actif",2,0,1,"indicator","BSTOCK","Stocks"
5,"balance(['4'])",,"Actif",3,0,1,"indicator","BREAL","Réalisable"
6,"balance(['5'])",,"Actif",4,0,1,"fiscal","BDISPO","Disponible"
7,"report('BCAP') + report('BRESNET')",,"BILAN",1,0,1,"fiscal","PASSIF","Passif"
8,"balance(['1'])",,"PASSIF",1,0,1,"indicator","BCAP","Capitaux propores"
9,"-balance(['7'])+balance(['6'])",,"PASSIF",,0,1,"fiscal","BRESNET","Résultat net"
10,0,,,,0,1,"fiscal","CRES","Compte des résultats"
11,"report('CCHAR','CBENEF')",,"CRES",,0,1,"fiscal","CRESACTIF","Résultat Actif"
12,"balance(['6'])",,"CRESACTIF",,0,1,"fiscal","CCHAR","Total des charges"
13,"report('CRESPROD')",,"CRES",,0,1,"fiscal","CRESPASSIF","Résultat Passif"
14,"-balance(['7'])",,"CRESPASSIF",,0,1,"fiscal","CRESPROD","Total des produits"
15,"-balance(['7'])+balance(['6'])",,"CRESACTIF",,0,1,"fiscal","CBENEF","Résultat (Bénéfice)"
16,0,,,,0,1,"indicator","IIMMO","Immobilisations"
17,"balance(['1'])/balance(map(str(range(21,29))))","Dans une entreprise normalement équilibrée, les valeurs immobilisées sont couvertes en premier lieu par les capitaux propres et, en second lieu, par tout ou partie du passif à long terme.  Idéalement, ce ratio (rapport entre capitaux permanents et les valeurs immobilisées) doit être suppérieur à l'unité.","IIMMO",,0,1,"indicator","CIMMO","Couverture des immobilisations"
18,0,,,,0,1,"indicator","ITRE","Trésorerie"
19,"balance(['3','4','5']) / balance(['101','13','15','16','17','18'])","Détermine si l'entreprise a la possibilité de s'acquitter de ses dettes à court terme dans des conditions normales.  Calculé comme suit: (Stocks + Réalisable + Disponible ) / Passif exigible à court terme","ITRE",,0,1,"indicator","IFR","Indice du fond de roulement"
20,"balance(['4','5']) / balance(['101','13','15','16','17','18'])",,"ITRE",,0,1,"indicator","RTRE","Ratio de trésorerie"
