id,parent_id:id,code,sign,name,info
lu_tax_code_template_mensuel,,mensuel,1,Schéma selon déclaration mensuelle,
lu_tax_code_template_m_I,lu_tax_code_template_mensuel,m_I,1,I. Calcul de la taxe à payer,
lu_tax_code_template_m_I_1,lu_tax_code_template_m_I,m_I_1,1,I.1 Chiffre d'affaires global,
lu_tax_code_template_m09,lu_tax_code_template_m_I_1,m09,1,I.1-09. Sous-total du point 1,
lu_tax_code_template_m_I_2,lu_tax_code_template_m_I,m_I_2,1,I.2 Exonérations et montants déductibles,
lu_tax_code_template_m11,lu_tax_code_template_m_I_2,m11,1,1) Livraisons intracommunautaires de biens à des personnes identifiées à la TVA dans un autre Etat membre (art. 13/1/a et b),
lu_tax_code_template_b_VB-IC-15,lu_tax_code_template_m11,b_VB-IC-15,1,Base - Vente Biens 15% - Intracommunautaire,
lu_tax_code_template_b_VB-IC-12,lu_tax_code_template_m11,b_VB-IC-12,1,Base - Vente Biens 12% - Intracommunautaire,
lu_tax_code_template_b_VB-IC-6,lu_tax_code_template_m11,b_VB-IC-6,1,Base - Vente Biens 6% - Intracommunautaire,
lu_tax_code_template_b_VB-IC-3,lu_tax_code_template_m11,b_VB-IC-3,1,Base - Vente Biens 3% - Intracommunautaire,
lu_tax_code_template_b_VB-IC-0,lu_tax_code_template_m11,b_VB-IC-0,1,Base - Vente Biens 0% - Intracommunautaire,
lu_tax_code_template_m12,lu_tax_code_template_m_I_2,m12,1,2) Exportations (art. 43/1/a et b),
lu_tax_code_template_b_VB-EC-15,lu_tax_code_template_m12,b_VB-EC-15,1,Base - Vente Biens 15% - Extracommunautaire,
lu_tax_code_template_b_VB-EC-12,lu_tax_code_template_m12,b_VB-EC-12,1,Base - Vente Biens 12% - Extracommunautaire,
lu_tax_code_template_b_VB-EC-6,lu_tax_code_template_m12,b_VB-EC-6,1,Base - Vente Biens 6% - Extracommunautaire,
lu_tax_code_template_b_VB-EC-3,lu_tax_code_template_m12,b_VB-EC-3,1,Base - Vente Biens 3% - Extracommunautaire,
lu_tax_code_template_b_VB-EC-0,lu_tax_code_template_m12,b_VB-EC-0,1,Base - Vente Biens 0% - Extracommunautaire,
lu_tax_code_template_m13,lu_tax_code_template_m_I_2,m13,1,3) Autres exonérations (art 43),
