"id","parent_id:id","code","sign","name"
"lu_2009_account_tax_code_template_1",,,1,"Plan de Taxes Luxembourgeois"
"lu_2009_account_tax_code_template_73","lu_2009_account_tax_code_template_1",76,1,"Solde à verser"
"lu_2009_account_tax_code_template_8","lu_2009_account_tax_code_template_1",10,-1,"Prestations de services (art 26)"
"lu_2009_account_tax_code_template_37","lu_2009_account_tax_code_template_1",46,1,"Total Base intracommunautaire"
"lu_2009_account_tax_code_template_50","lu_2009_account_tax_code_template_1",52,1,"Acquisition triangulaire"
"lu_2009_account_tax_code_template_63","lu_2009_account_tax_code_template_1",61,1,"Total Base Importation"
"lu_2009_account_tax_code_template_71","lu_2009_account_tax_code_template_1",74,1,"Excédent de taxe"
"lu_2009_account_tax_code_template_2","lu_2009_account_tax_code_template_1",9,1,"Total du chiffre d'affaires"
"lu_2009_account_tax_code_template_5","lu_2009_account_tax_code_template_2",5,1,"Prélèvements privés de services (art 16)"
"lu_2009_account_tax_code_template_4","lu_2009_account_tax_code_template_2",4,1,"Prélèvements privés de biens (art 13 a)"
"lu_2009_account_tax_code_template_7","lu_2009_account_tax_code_template_2",8,1,"Point 5"
"lu_2009_account_tax_code_template_3","lu_2009_account_tax_code_template_2",3,1,"1. Ventes ou recettes"
"lu_2009_account_tax_code_template_6","lu_2009_account_tax_code_template_2",6,1,"Affectation de biens (art 13 b)"
"lu_2009_account_tax_code_template_90","lu_2009_account_tax_code_template_3","Exo",1,"Total Exoneration"
"lu_2009_account_tax_code_template_17","lu_2009_account_tax_code_template_3",22,1,"Chiffre d'affaires imposable (sans TVA)"
"lu_2009_account_tax_code_template_87","lu_2009_account_tax_code_template_8",422,1,"Base des prestations de services (art.26/1/c et d)"
"lu_2009_account_tax_code_template_78","lu_2009_account_tax_code_template_8",92,1,"Livraisons de biens (art. 26) 6%"
"lu_2009_account_tax_code_template_28","lu_2009_account_tax_code_template_17",33,1,"Base CA 6%"
"lu_2009_account_tax_code_template_27","lu_2009_account_tax_code_template_17",32,1,"Base CA 15%"
"lu_2009_account_tax_code_template_31","lu_2009_account_tax_code_template_17",82,1,"Base CA au taux indéfini"
"lu_2009_account_tax_code_template_30","lu_2009_account_tax_code_template_17",35,1,"Base CA 12%"
"lu_2009_account_tax_code_template_29","lu_2009_account_tax_code_template_17",34,1,"Base CA 3%"
"lu_2009_account_tax_code_template_40","lu_2009_account_tax_code_template_37",44,1,"Base intracom. 3%"
"lu_2009_account_tax_code_template_42","lu_2009_account_tax_code_template_37",85,1,"Base intracom. exonérée"
"lu_2009_account_tax_code_template_39","lu_2009_account_tax_code_template_37",43,1,"Base intracom. 6%"
"lu_2009_account_tax_code_template_38","lu_2009_account_tax_code_template_37",42,1,"Base intracom. 15%"
"lu_2009_account_tax_code_template_41","lu_2009_account_tax_code_template_37",45,1,"Base intracom. 12%"
"lu_2009_account_tax_code_template_82","lu_2009_account_tax_code_template_73",97,1,"Taxe livraisons de biens (art. 26) 6%"
"lu_2009_account_tax_code_template_16","lu_2009_account_tax_code_template_90",19,1,"Point 7"
"lu_2009_account_tax_code_template_15","lu_2009_account_tax_code_template_90",17,1,"Autres opérations réalisées à l'étranger"
"lu_2009_account_tax_code_template_11","lu_2009_account_tax_code_template_90",13,1,"Autres exonérations (art 43)"
"lu_2009_account_tax_code_template_12","lu_2009_account_tax_code_template_90",14,1,"Autres exonérations (art 44)"
"lu_2009_account_tax_code_template_9","lu_2009_account_tax_code_template_90",11,1,"Livraisons intracommunautaires de biens"
"lu_2009_account_tax_code_template_10","lu_2009_account_tax_code_template_90",12,1,"Exportations (art 43)"
"lu_2009_account_tax_code_template_13","lu_2009_account_tax_code_template_90",15,1,"Tabacs fabriqués"
"lu_2009_account_tax_code_template_14","lu_2009_account_tax_code_template_90",16,1,"Livraisons / aquisitions intracom."
"lu_2009_account_tax_code_template_70","lu_2009_account_tax_code_template_71",73,-1,"Taxe en amont déductible"
"lu_2009_account_tax_code_template_83","lu_2009_account_tax_code_template_71",98,1,"Total de la taxe à payer"
"lu_2009_account_tax_code_template_69","lu_2009_account_tax_code_template_83",72,1,"Total de la taxe"
"lu_2009_account_tax_code_template_26","lu_2009_account_tax_code_template_70",31,1,"Taxe en amont déductible"
"lu_2009_account_tax_code_template_22","lu_2009_account_tax_code_template_26",27,1,"Taxe déclarée comme débiteur"
"lu_2009_account_tax_code_template_23","lu_2009_account_tax_code_template_26",28,1,"Taxe acquittée comme caution solidaire"
"lu_2009_account_tax_code_template_24","lu_2009_account_tax_code_template_26",29,-1,"Taxe non déductible / op. exonérée"
"lu_2009_account_tax_code_template_25","lu_2009_account_tax_code_template_26",30,-1,"Taxe non déductible (art 50)"
"lu_2009_account_tax_code_template_18","lu_2009_account_tax_code_template_26",23,1,"Achat de B. et S. à l'intérieur du pays"
"lu_2009_account_tax_code_template_19","lu_2009_account_tax_code_template_26",24,1,"Acquisitions intracom. de biens"
"lu_2009_account_tax_code_template_21","lu_2009_account_tax_code_template_26",26,1,"Affectations de biens"
"lu_2009_account_tax_code_template_20","lu_2009_account_tax_code_template_26",25,1,"Importations de biens"
"lu_2009_account_tax_code_template_59","lu_2009_account_tax_code_template_69",70,1,"Total Taxe Importation (entr.)"
"lu_2009_account_tax_code_template_88","lu_2009_account_tax_code_template_69",219,1,"Taxe des prestations de services (art.26/1/c et d)"
"lu_2009_account_tax_code_template_44","lu_2009_account_tax_code_template_69",87,1,"Report"
"lu_2009_account_tax_code_template_43","lu_2009_account_tax_code_template_44",86,1,"A reporter"
"lu_2009_account_tax_code_template_49","lu_2009_account_tax_code_template_43",51,1,"Total Taxe intracom."
"lu_2009_account_tax_code_template_45","lu_2009_account_tax_code_template_49",47,1,"Taxe intracom. 15%"
"lu_2009_account_tax_code_template_53","lu_2009_account_tax_code_template_49",81,1,"Base à un taux exonéré"
"lu_2009_account_tax_code_template_62","lu_2009_account_tax_code_template_49",59,1,"Base Importation (privées) 3%"
"lu_2009_account_tax_code_template_48","lu_2009_account_tax_code_template_49",50,1,"Taxe intracom. 12%"
"lu_2009_account_tax_code_template_46","lu_2009_account_tax_code_template_49",48,1,"taxe intracom. 6%"
"lu_2009_account_tax_code_template_47","lu_2009_account_tax_code_template_49",49,1,"Taxe intracom. 3%"
"lu_2009_account_tax_code_template_58","lu_2009_account_tax_code_template_49",65,1,"Taxe Importation (entr.) 12%"
"lu_2009_account_tax_code_template_68","lu_2009_account_tax_code_template_69",71,1,"Total Taxe Importation (privées)"
"lu_2009_account_tax_code_template_84","lu_2009_account_tax_code_template_58",63,1,"Taxe importation (entr.) 6%"
"lu_2009_account_tax_code_template_57","lu_2009_account_tax_code_template_58",64,1,"Taxe Importation (entr.) 3%"
"lu_2009_account_tax_code_template_56","lu_2009_account_tax_code_template_58",62,1,"Taxe Importation (entr.) 15%"
"lu_2009_account_tax_code_template_61","lu_2009_account_tax_code_template_63",58,1,"Base Importation (privées) 6%"
"lu_2009_account_tax_code_template_52","lu_2009_account_tax_code_template_63",54,1,"Base Importation (entr.) 6%"
"lu_2009_account_tax_code_template_60","lu_2009_account_tax_code_template_63",57,1,"Base Importation (privées) 15%"
"lu_2009_account_tax_code_template_55","lu_2009_account_tax_code_template_63",56,1,"Base Importation (entr.) 12%"
