id,parent_id:id,code,sign,sequence,name,info
lu_tax_code_template_mensuel,,mensuel,0,0,Déclaration Mensuelle 2015,
lu_tct_mCA,lu_tax_code_template_mensuel,CA,0,1,I.-II. CALCUL DU CHIFFRE D'AFFAIRE IMPOSABLE,
lu_tct_mBASES,lu_tax_code_template_mensuel,BASES,0,2,II. AUTRES BASES,
lu_tct_m012,lu_tct_mCA,012,0,2,I.A. Chiffre d'affaires global,
lu_tct_m021,lu_tct_m012,021,1,3,I.B. Exonérations et montants déductibles,
lu_tct_m457,lu_tct_m021,457,1,4,"I.B.1. Livraisons intracommunautaires de biens à des personnes identifiées à la TVA dans un autre Etat membre (art.43/1/d,e et f) (3)",
lu_tct_m014,lu_tct_m021,014,1,5,I.B.2. Exportations (art.43/1/a et b),
lu_tct_m015,lu_tct_m021,015,1,6,I.B.3. Autres exonérations (art.43 et 60bis),
lu_tct_m016,lu_tct_m021,016,1,7,I.B.4. Autres exonérations (art.44 et 56quater),
lu_tct_m017,lu_tct_m021,017,1,8,I.B.5. Tabacs fabriqués,
lu_tct_m018,lu_tct_m021,018,1,9,"I.B.6.a) Livraisons subséquentes à des acquisitions intracommunautaires dans le cadre d'opérations triangulaires, lorsque le destinataire identifié à la TVA dans l'Etat membre de destination des biens y est le redevable de la taxe (4)",
lu_tct_m423,lu_tct_m021,423,1,10,I.B.6.b)1)  Prestations de services à des identifiés à la TVA dans un autre Etat membre non exonérées dans l'Etat membre du preneur redevable (art.17/1/b) (5),
lu_tct_m424,lu_tct_m021,424,1,11,I.B.6.b)2)  Prestations de services à des identifiés à la TVA dans un autre Etat membre exonérées dans l'Etat membre du preneur (art.17/1/b),
lu_tct_m226,lu_tct_m021,226,1,12,I.B.6.c) Opérations réalisées dans le cadre du régime particulier de l'article 56sexies,
lu_tct_m019,lu_tct_m021,019,1,13,I.B.6.d) Autres opérations réalisées (imposables) à l'étranger,
lu_tct_m419,lu_tct_m021,419,1,14,I.B.7. Opérations à l'intérieur du pays pour lesquelles le preneur est le redevable,
lu_tct_m022,lu_tct_m012,022,1,15,I.C. Chiffre d'affaires imposable,
lu_tct_m037,lu_tct_m022,037,1,16,II.A. Ventilation du chiffre d'affaires imposable – base,
lu_tct_m701,lu_tct_m037,701,1,17,II.A. base 17%,
lu_tct_m029,lu_tct_m037,029,1,18,II.A. base 15%,
lu_tct_m703,lu_tct_m037,703,1,19,II.A. base 14%,
lu_tct_m032,lu_tct_m037,032,1,20,II.A. base 12%,
lu_tct_m705,lu_tct_m037,705,1,21,II.A. base 8%,
lu_tct_m030,lu_tct_m037,030,1,22,II.A. base 6%,
lu_tct_m031,lu_tct_m037,031,1,23,II.A. base 3%,
lu_tct_m033,lu_tct_m037,033,1,24,II.A. base 0%,
lu_tct_m051,lu_tct_mBASES,051,0,25,II.B. Acquisitions intracommunautaires de biens – base,
lu_tct_m711,lu_tct_m051,711,1,26,II.B. base 17%,
lu_tct_m047,lu_tct_m051,047,1,27,II.B. base 15%,
lu_tct_m713,lu_tct_m051,713,1,28,II.B. base 14%,
lu_tct_m050,lu_tct_m051,050,1,29,II.B. base 12%,
lu_tct_m715,lu_tct_m051,715,1,30,II.B. base 8%,
lu_tct_m048,lu_tct_m051,048,1,31,II.B. base 6%,
lu_tct_m049,lu_tct_m051,049,1,32,II.B. base 3%,
lu_tct_m194,lu_tct_m051,194,1,33,II.B. base exonérée,
lu_tct_m152,lu_tct_mBASES,152,0,34,II.C. Acquisitions effectuées dans le cadre d'opérations triangulaires – base,
lu_tct_m065,lu_tct_mBASES,065,0,35,II.D. Importations de biens – base,
lu_tct_m721,lu_tct_m065,721,1,36,II.D.1. base 17%,
lu_tct_m057,lu_tct_m065,057,1,37,II.D.1. base 15%,
lu_tct_m723,lu_tct_m065,723,1,38,II.D.1. base 14%,
lu_tct_m060,lu_tct_m065,060,1,39,II.D.1. base 12%,
lu_tct_m725,lu_tct_m065,725,1,40,II.D.1. base 8%,
lu_tct_m058,lu_tct_m065,058,1,41,II.D.1. base 6%,
lu_tct_m059,lu_tct_m065,059,1,42,II.D.1. base 3%,
lu_tct_m195,lu_tct_m065,195,1,43,II.D.1. base exonérée,
lu_tct_m731,lu_tct_m065,731,1,44,II.D.2.. base 17%,
lu_tct_m061,lu_tct_m065,061,1,45,II.D.2.. base 15%,
lu_tct_m733,lu_tct_m065,733,1,46,II.D.2.. base 14%,
lu_tct_m064,lu_tct_m065,064,1,47,II.D.2.. base 12%,
lu_tct_m735,lu_tct_m065,735,1,48,II.D.2.. base 8%,
lu_tct_m062,lu_tct_m065,062,1,49,II.D.2.. base 6%,
lu_tct_m063,lu_tct_m065,063,1,50,II.D.2.. base 3%,
lu_tct_m196,lu_tct_m065,196,1,51,II.D.2.. base exonérée,
lu_tct_m409,lu_tct_mBASES,409,0,52,II.E. Prestations de services à déclarer par le preneur redevable de la taxe – base,
lu_tct_m436,lu_tct_m409,436,1,53,II.E.1. base,
lu_tct_m741,lu_tct_m436,741,1,54,II.E.1.a) base 17%,
lu_tct_m427,lu_tct_m436,427,1,55,II.E.1.a) base 15%,
lu_tct_m743,lu_tct_m436,743,1,56,II.E.1.a) base 14%,
lu_tct_m433,lu_tct_m436,433,1,57,II.E.1.a) base 12%,
lu_tct_m745,lu_tct_m436,745,1,58,II.E.1.a) base 8%,
lu_tct_m429,lu_tct_m436,429,1,59,II.E.1.a) base 6%,
lu_tct_m431,lu_tct_m436,431,1,60,II.E.1.a) base 3%,
lu_tct_m435,lu_tct_m436,435,1,61,II.E.1.b) exonérées,
lu_tct_m463,lu_tct_m409,463,1,62,II.E.2. base,
lu_tct_m751,lu_tct_m463,751,1,63,II.E.2. base 17%,
lu_tct_m437,lu_tct_m463,437,1,64,II.E.2. base 15%,
lu_tct_m753,lu_tct_m463,753,1,65,II.E.2. base 14%,
lu_tct_m443,lu_tct_m463,443,1,66,II.E.2. base 12%,
lu_tct_m755,lu_tct_m463,755,1,67,II.E.2. base 8%,
lu_tct_m439,lu_tct_m463,439,1,68,II.E.2. base 6%,
lu_tct_m441,lu_tct_m463,441,1,69,II.E.2. base 3%,
lu_tct_m445,lu_tct_m463,445,1,70,II.E.2. exonérées,
lu_tct_mTAXE,lu_tax_code_template_mensuel,TAXE,0,71,II.-III.-IV. CALCUL DE LA TAXE,
lu_tct_m105,lu_tct_mTAXE,105,0,72,IV.C. Excédent,
lu_tct_m103,lu_tct_m105,103,1,73,IV.A. Total de la taxe en aval,
lu_tct_m076,lu_tct_m103,076,1,74,II.H. Total de la taxe en aval,
lu_tct_m046,lu_tct_m076,046,1,75,II.A. Ventilation du chiffre d'affaires imposable – taxe,
lu_tct_m702,lu_tct_m046,702,1,76,II.A. taxe 17%,
lu_tct_m038,lu_tct_m046,038,1,77,II.A. taxe 15%,
lu_tct_m704,lu_tct_m046,704,1,78,II.A. taxe 14%,
lu_tct_m041,lu_tct_m046,041,1,79,II.A. taxe 12%,
lu_tct_m706,lu_tct_m046,706,1,80,II.A. taxe 8%,
lu_tct_m039,lu_tct_m046,039,1,81,II.A. taxe 6%,
lu_tct_m040,lu_tct_m046,040,1,82,II.A. taxe 3%,
lu_tct_m042,lu_tct_m046,042,1,83,II.A. taxe 0%,
lu_tct_m056,lu_tct_m076,056,1,84,II.B. Acquisitions intracommunautaires de biens – taxe,
lu_tct_m712,lu_tct_m056,712,1,85,II.B. taxe 17%,
lu_tct_m052,lu_tct_m056,052,1,86,II.B. taxe 15%,
lu_tct_m714,lu_tct_m056,714,1,87,II.B. taxe 14%,
lu_tct_m055,lu_tct_m056,055,1,88,II.B. taxe 12%,
lu_tct_m716,lu_tct_m056,716,1,89,II.B. taxe 8%,
lu_tct_m053,lu_tct_m056,053,1,90,II.B. taxe 6%,
lu_tct_m054,lu_tct_m056,054,1,91,II.B. taxe 3%,
lu_tct_m407,lu_tct_m076,407,1,92,II.D. Importations de biens – taxe,
lu_tct_m722,lu_tct_m407,722,1,93,II.D.1. taxe 17%,
lu_tct_m066,lu_tct_m407,066,1,94,II.D.1. taxe 15%,
lu_tct_m724,lu_tct_m407,724,1,95,II.D.1. taxe 14%,
lu_tct_m069,lu_tct_m407,069,1,96,II.D.1. taxe 12%,
lu_tct_m726,lu_tct_m407,726,1,97,II.D.1. taxe 8%,
lu_tct_m067,lu_tct_m407,067,1,98,II.D.1. taxe 6%,
lu_tct_m068,lu_tct_m407,068,1,99,II.D.1. taxe 3%,
lu_tct_m732,lu_tct_m407,732,1,100,II.D.2.. taxe 17%,
lu_tct_m071,lu_tct_m407,071,1,101,II.D.2.. taxe 15%,
lu_tct_m734,lu_tct_m407,734,1,102,II.D.2.. taxe 14%,
lu_tct_m074,lu_tct_m407,074,1,103,II.D.2.. taxe 12%,
lu_tct_m736,lu_tct_m407,736,1,104,II.D.2.. taxe 8%,
lu_tct_m072,lu_tct_m407,072,1,105,II.D.2.. taxe 6%,
lu_tct_m073,lu_tct_m407,073,1,106,II.D.2.. taxe 3%,
lu_tct_m410,lu_tct_m076,410,1,107,II.E. Prestations de services à déclarer par le preneur redevable de la taxe – taxe,
lu_tct_m462,lu_tct_m410,462,1,108,II.E.1.a) taxe,
lu_tct_m742,lu_tct_m462,742,1,109,II.E.1.a) taxe 17%,
lu_tct_m428,lu_tct_m462,428,1,110,II.E.1.a) taxe 15%,
lu_tct_m744,lu_tct_m462,744,1,111,II.E.1.a) taxe 14%,
lu_tct_m434,lu_tct_m462,434,1,112,II.E.1.a) taxe 12%,
lu_tct_m746,lu_tct_m462,746,1,113,II.E.1.a) taxe 8%,
lu_tct_m430,lu_tct_m462,430,1,114,II.E.1.a) taxe 6%,
lu_tct_m432,lu_tct_m462,432,1,115,II.E.1.a) taxe 3%,
lu_tct_m464,lu_tct_m410,464,1,116,II.E.2. taxe,
lu_tct_m752,lu_tct_m464,752,1,117,II.E.2. taxe 17%,
lu_tct_m438,lu_tct_m464,438,1,118,II.E.2. taxe 15%,
lu_tct_m754,lu_tct_m464,754,1,119,II.E.2. taxe 14%,
lu_tct_m444,lu_tct_m464,444,1,120,II.E.2. taxe 12%,
lu_tct_m756,lu_tct_m464,756,1,121,II.E.2. taxe 8%,
lu_tct_m440,lu_tct_m464,440,1,122,II.E.2. taxe 6%,
lu_tct_m442,lu_tct_m464,442,1,123,II.E.2. taxe 3%,
lu_tct_m104,lu_tct_m105,104,-1,124,IV.A. Total de la taxe en amont déductible,
lu_tct_m102,lu_tct_m104,102,1,125,III.C. Total de la taxe en amont déductible,
lu_tct_m093,lu_tct_m102,093,1,126,III.A. Total de la taxe en amont,
lu_tct_m458,lu_tct_m093,458,1,127,III.A.1. Achats de biens et de services à l'intérieur du pays (art.48/1/a),
lu_tct_m459,lu_tct_m093,459,1,128,III.A.2. Acquisitions intracommunautaires de biens (art.48/1/b),
lu_tct_m460,lu_tct_m093,460,1,129,III.A.3. Importations de biens (taxe déclarée ou payée) (art.48/1/c),
lu_tct_m090,lu_tct_m093,090,1,130,III.A.4. Affectations de biens (art.48/1/d),
lu_tct_m461,lu_tct_m093,461,1,131,III.A.5. Taxe déclarée comme débiteur (voir points II.E et F),
lu_tct_m092,lu_tct_m093,092,1,132,III.A.6. Taxe acquittée comme caution solidaire,
lu_tct_m228,lu_tct_m093,228,1,133,"III.A.7. Taxe régularisée - régime particulier suspensif (art.60bis/9, al. 2)",
lu_tct_mNA,lu_tax_code_template_mensuel,NA,0,134,Codes non assignés,
lu_tax_code_template_b_AB-EC-0,lu_tct_m195,b_AB-EC-0,1,,Base - Achat Biens Exonéré - Extracommunautaire,
lu_tax_code_template_b_AB-EC-12,lu_tct_m060,b_AB-EC-12,1,,Base - Achat Biens 12% - Extracommunautaire (+),
lu_tax_code_template_b_AB-EC-14,lu_tct_m723,b_AB-EC-14,1,,Base - Achat Biens 14% - Extracommunautaire (+),
lu_tax_code_template_b_AB-EC-15,lu_tct_m057,b_AB-EC-15,1,,Base - Achat Biens 15% - Extracommunautaire (+),
lu_tax_code_template_b_AB-EC-17,lu_tct_m721,b_AB-EC-17,1,,Base - Achat Biens 17% - Extracommunautaire (+),
lu_tax_code_template_b_AB-EC-3,lu_tct_m059,b_AB-EC-3,1,,Base - Achat Biens 3% - Extracommunautaire (+),
lu_tax_code_template_b_AB-EC-6,lu_tct_m058,b_AB-EC-6,1,,Base - Achat Biens 6% - Extracommunautaire (+),
lu_tax_code_template_b_AB-EC-8,lu_tct_m725,b_AB-EC-8,1,,Base - Achat Biens 8% - Extracommunautaire (+),
lu_tax_code_template_b_AB-ECP-0,lu_tct_m196,b_AB-ECP-0,1,,Base - Achat Biens Exonéré - Extracommunautaire fin privées,
lu_tax_code_template_b_AB-ECP-12,lu_tct_m064,b_AB-ECP-12,1,,Base - Achat Biens 12% - Extracommunautaire fin privées (+),
lu_tax_code_template_b_AB-ECP-14,lu_tct_m733,b_AB-ECP-14,1,,Base - Achat Biens 14% - Extracommunautaire fin privées (+),
lu_tax_code_template_b_AB-ECP-15,lu_tct_m061,b_AB-ECP-15,1,,Base - Achat Biens 15% - Extracommunautaire fin privées (+),
lu_tax_code_template_b_AB-ECP-17,lu_tct_m731,b_AB-ECP-17,1,,Base - Achat Biens 17% - Extracommunautaire fin privées (+),
lu_tax_code_template_b_AB-ECP-3,lu_tct_m063,b_AB-ECP-3,1,,Base - Achat Biens 3% - Extracommunautaire fin privées (+),
lu_tax_code_template_b_AB-ECP-6,lu_tct_m062,b_AB-ECP-6,1,,Base - Achat Biens 6% - Extracommunautaire fin privées (+),
lu_tax_code_template_b_AB-ECP-8,lu_tct_m735,b_AB-ECP-8,1,,Base - Achat Biens 8% - Extracommunautaire fin privées (+),
lu_tax_code_template_b_AB-IC-0,lu_tct_m194,b_AB-IC-0,1,,Base - Achat Biens Exonéré - Intracommunautaire,
lu_tax_code_template_b_AB-IC-12,lu_tct_m050,b_AB-IC-12,1,,Base - Achat Biens 12% - Intracommunautaire (+),
lu_tax_code_template_b_AB-IC-14,lu_tct_m713,b_AB-IC-14,1,,Base - Achat Biens 14% - Intracommunautaire (+),
lu_tax_code_template_b_AB-IC-15,lu_tct_m047,b_AB-IC-15,1,,Base - Achat Biens 15% - Intracommunautaire (+),
lu_tax_code_template_b_AB-IC-17,lu_tct_m711,b_AB-IC-17,1,,Base - Achat Biens 17% - Intracommunautaire (+),
lu_tax_code_template_b_AB-IC-3,lu_tct_m049,b_AB-IC-3,1,,Base - Achat Biens 3% - Intracommunautaire (+),
lu_tax_code_template_b_AB-IC-6,lu_tct_m048,b_AB-IC-6,1,,Base - Achat Biens 6% - Intracommunautaire (+),
lu_tax_code_template_b_AB-IC-8,lu_tct_m715,b_AB-IC-8,1,,Base - Achat Biens 8% - Intracommunautaire (+),
lu_tax_code_template_b_AB-PA-0,lu_tct_mNA,b_AB-PA-0,1,,Base - Achat Biens 0% - Pays,
lu_tax_code_template_b_AB-PA-12,lu_tct_mNA,b_AB-PA-12,1,,Base - Achat Biens 12% - Pays,
lu_tax_code_template_b_AB-PA-14,lu_tct_mNA,b_AB-PA-14,1,,Base - Achat Biens 14% - Pays,
