id,code,name
l10n_eg_activity_type_0111,0111,"Cultivation of grains and crops (except for rice), legumes and oilseeds"
l10n_eg_activity_type_0112,0112,Cultivation of rice
l10n_eg_activity_type_0113,0113,"Growing vegetables, melons, roots and tubers"
l10n_eg_activity_type_0114,0114,Cultivation of sugar cane
l10n_eg_activity_type_0115,0115,Tobacco cultivation
l10n_eg_activity_type_0116,0116,Growing fiber crops
l10n_eg_activity_type_0119,0119,Cultivation of other non-perennial crops
l10n_eg_activity_type_0121,0121,the cultivation of grapevines.
l10n_eg_activity_type_0122,0122,Growing tropical and subtropical fruits
l10n_eg_activity_type_0123,0123,Cultivation of citrus fruits
l10n_eg_activity_type_0124,0124,Cultivation of fruit with Date kernel and from palm trees
l10n_eg_activity_type_0125,0125,Plant fruit trees and shrubs and other nuts
l10n_eg_activity_type_0126,0126,Growing oil fruits
l10n_eg_activity_type_0127,0127,Cultivation of the crops from which drinks are extracted
l10n_eg_activity_type_0128,0128,"Cultivation of spice crops, aromatics, medicine and pharmaceutical drugs"
l10n_eg_activity_type_0129,0129,Cultivation of other perennial crops
l10n_eg_activity_type_0130,0130,Crop breeding
l10n_eg_activity_type_0141,0141,Breeding of cattle and buffalo
l10n_eg_activity_type_0142,0142,Breeding of horses and mare
l10n_eg_activity_type_0143,0143,Breeding of camels
l10n_eg_activity_type_0144,0144,Breeding sheep and goats
l10n_eg_activity_type_0145,0145,Breeding of Pig
l10n_eg_activity_type_0146,0146,Poultry farming
l10n_eg_activity_type_0149,0149,Breeding other animals
l10n_eg_activity_type_0150,0150,Mixed education
l10n_eg_activity_type_0161,0161,Support activities for crop production
l10n_eg_activity_type_0162,0162,Activities in support of animal production
l10n_eg_activity_type_0163,0163,Post-harvest activities
l10n_eg_activity_type_0164,0164,Preparing grains for reproduction
l10n_eg_activity_type_0170,0170,"Hunting, erection, and related service activities"
l10n_eg_activity_type_0210,0210,Forest care and forest-related activities
l10n_eg_activity_type_0220,0220,Wood cutting
l10n_eg_activity_type_0230,0230,Assembling non-wood forest products
l10n_eg_activity_type_0240,0240,Forest support services
l10n_eg_activity_type_0311,0311,Fishing
l10n_eg_activity_type_0312,0312,River fishing
l10n_eg_activity_type_0321,0321,Marine farms
l10n_eg_activity_type_0322,0322,River farms
l10n_eg_activity_type_0411,0411,Earn a job
l10n_eg_activity_type_0412,0412,Income from government agencies salaries
l10n_eg_activity_type_0413,0413,Income and salaries from the public business sector
l10n_eg_activity_type_0414,0414,Income and salaries from the private sector
