"id","code","name","account_type","tag_ids","reconcile","name@nb_NO"
"chart1000","1000","Development, acquired","asset_current","","False","Utvikling, ervervet"
"chart1005","1005","Development, proprietary","asset_current","","False","Utvikling, egenutviklet"
"chart1020","1020","Concessions, acquired","asset_current","","False","Konsesjoner, ervervet"
"chart1025","1025","Concessions, proprietary","asset_current","","False","Konsesjoner, egenutviklet"
"chart1030","1030","Patents, acquired","asset_current","","False","Patenter, ervervet"
"chart1035","1035","Patents, proprietary","asset_current","","False","Patenter, egenutviklet"
"chart1040","1040","Licences, acquired","asset_current","","False","Lisenser, ervervet"
"chart1045","1045","Licences, proprietary","asset_current","","False","Lisenser, egenutviklet"
"chart1050","1050","Trade marks, acquired","asset_current","","False","Varemerker, ervervet"
"chart1055","1055","Trade marks, proprietary","asset_current","","False","Varemerker, egenutviklet"
"chart1060","1060","Other rights, acquired","asset_current","","False","Andre rettigheter, ervervet"
"chart1065","1065","Other rights, proprietary","asset_current","","False","Andre rettigheter, egenutviklet"
"chart1068","1068","Domestic purchase of rights, reversed VAT liability","asset_current","","False","Innenlands kjøp av rettigheter, omvendt avgiftsplikt"
"chart1069","1069","Domestic purchase of rights, reversed VAT liability, contra account","asset_current","","False","Innenlands kjøp av rettigheter, omvendt avgiftsplikt, motkonto"
"chart1070","1070","Deferred tax asset, gross","asset_current","","False","Utsatt skattefordel, brutto"
"chart1075","1075","Reduction in deferred tax asset due to unrealisibility","asset_current","","False","Reduksjon utsatt skattefordel pga manglende realiserbarhet"
"chart1079","1079","Deferred tax asset that can be offset","asset_current","","False","Utlignbar utsatt skattefordel"
"chart1080","1080","Goodwill","asset_current","","False","Goodwill"
"chart1099","1099","Other intangible assets","asset_current","","False","Andre immaterielle eiendeler"
"chart1100","1100","Buildings","asset_fixed","","False","Bygninger"
"chart1110","1110","Fixed technical installation","asset_fixed","","False","Fast teknisk installasjon i bygning"
"chart1117","1117","Electronic equipment in power companies","asset_fixed","","False","Elektronisk utrustning i kraftforetak"
"chart1120","1120","Structural installations","asset_fixed","","False","Bygningsmessige anlegg"
"chart1130","1130","Plant under construction","asset_fixed","","False","Anlegg under utførelse"
"chart1140","1140","Agricultural property","asset_fixed","","False","Jordbrukseiendommer"
"chart1145","1145","Forestry property","asset_fixed","","False","Skogbrukseiendommer"
"chart1150","1150","Land","asset_fixed","","False","Tomter"
"chart1155","1155","Other real property","asset_fixed","","False","Andre grunnarealer"
"chart1160","1160","Dwellings including land","asset_fixed","","False","Boliger inklusive tomter"
"chart1179","1179","Other properties","asset_fixed","","False","Annen fast eiendom"
"chart1180","1180","Investment properties","asset_fixed","","False","Investeringseiendommer"
"chart1190","1190","Basis VAT import of goods, high rate","asset_fixed","","False","Grunnlag MVA innførsel av varer, høy sats"
"chart1191","1191","Basis VAT import of goods, high rate, contra account","asset_fixed","","False","Grunnlag MVA innførsel av varer, høy sats, motkonto"
"chart1192","1192","Basis VAT import of goods, medium rate","asset_fixed","","False","Grunnlag MVA innførsel av varer, middels sats"
"chart1193","1193","Basis VAT import of goods, medium rate, contra account","asset_fixed","","False","Grunnlag MVA innførsel av varer, middels sats, motkonto"
"chart1194","1194","Basis import of goods with zero rate","asset_fixed","","False","Grunnlag innførsel av varer med null sats"
"chart1195","1195","Basis import of goods with zero rate, contra account","asset_fixed","","False","Grunnlag innførsel av varer med null sats, motkonto"
"chart1196","1196","Basis outgoing VAT purchase of services from abroad","asset_fixed","","False","Grunnlag utgående MVA kjøp tjenester fra utlandet"
"chart1197","1197","Basis outgoing VAT purchase of services from abroad, contra account","asset_fixed","","False","Grunnlag utgående MVA kjøp tjenester fra utlandet, motkonto"
"chart1200","1200","Machinery and plant","asset_fixed","","False","Maskiner og anlegg"
"chart1210","1210","Machinery and plant under construction","asset_fixed","","False","Maskiner og anlegg under utførelse"
"chart1220","1220","Ships","asset_fixed","","False","Skip"
"chart1224","1224","Rigs","asset_fixed","","False","Rigger"
"chart1225","1225","Aircrafts","asset_fixed","","False","Fly"
"chart1230","1230","Automobiles/estate cars","asset_fixed","","False","Personbiler/stasjonsvogner"
"chart1235","1235","Vans, classification 1","asset_fixed","","False","Varebiler, klasse 1"
"chart1236","1236","Vans, classification 2","asset_fixed","","False","Varebiler, klasse 2"
"chart1237","1237","Lorries","asset_fixed","","False","Lastebiler"
"chart1238","1238","Buses","asset_fixed","","False","Busser"
"chart1239","1239","Vans with zero emission","asset_fixed","","False","Varebiler med nullutslipp"
"chart1240","1240","Tractors","asset_fixed","","False","Traktorer"
"chart1242","1242","Forklifts","asset_fixed","","False","Trucker"
"chart1249","1249","Other means of transport","asset_fixed","","False","Andre transportmidler"
"chart1250","1250","Fixtures and fittings","asset_fixed","","False","Inventar"
"chart1260","1260","Permanent building fixtures and fittings, own building","asset_fixed","","False","Fast bygningsinventar, eget bygg"
"chart1265","1265","Permanent building fixtures and fittings, leased premises","asset_fixed","","False","Fast bygningsinventar, leide lokaler"
"chart1270","1270","Tools etc.","asset_fixed","","False","Verktøy o.l."
"chart1280","1280","Office machines","asset_fixed","","False","Kontormaskiner"
"chart1289","1289","Other fixed assets","asset_fixed","","False","Andre varige driftsmidler"
"chart1290","1290","Basis VAT import of goods, high rate","asset_fixed","","False","Grunnlag MVA innførsel av varer, høy sats"
"chart1291","1291","Basis VAT import of goods, high rate, contra account","asset_fixed","","False","Grunnlag MVA innførsel av varer, høy sats, motkonto"
"chart1292","1292","Basis VAT import of goods, medium rate","asset_fixed","","False","Grunnlag MVA innførsel av varer, middels sats"
"chart1293","1293","Basis VAT import of goods, medium rate, contra account","asset_fixed","","False","Grunnlag MVA innførsel av varer, middels sats, motkonto"
"chart1294","1294","Basis import of goods with zero rate","asset_fixed","","False","Grunnlag innførsel av varer med null sats"
"chart1295","1295","Basis import of goods with zero rate, contra account","asset_fixed","","False","Grunnlag innførsel av varer med null sats, motkonto"
"chart1296","1296","Basis outgoing VAT purchase of services from abroad","asset_fixed","","False","Grunnlag utgående MVA kjøp tjenester fra utlandet"
"chart1297","1297","Basis outgoing VAT purchase of services from abroad, contra account","asset_fixed","","False","Grunnlag utgående MVA kjøp tjenester fra utlandet, motkonto"
"chart1300","1300","Shares in subsidiaries","asset_current","","False","Aksjer i datterselskap"
"chart1305","1305","Units in subsidiaries","asset_current","","False","Andeler i datterselskap"
"chart1306","1306","Shares/units in subsidiaries, foreign, included in the exemption model","asset_current","","False","Aksjer/andeler i datterselskap, utenlandske, innenfor fritaksmetoden"
"chart1308","1308","Shares/units in subsidiaries, foreign, not included in the exemption model","asset_current","","False","Aksjer/andeler i datterselskap, utenlandske, utenfor fritaksmetoden"
"chart1310","1310","Shares in group companies","asset_current","","False","Aksjer i foretak i samme konsern"
"chart1315","1315","Units in group companies","asset_current","","False","Andeler i foretak i samme konsern"
"chart1316","1316","Shares/units in group companies, foreign, included in the exemption model","asset_current","","False","Aksjer/andeler i foretak i samme konsern, utenlandske, innenfor fritaksmetoden"
