id,code,name,account_type,tag_ids,reconcile,name@fr
l10n_tn_1011,1011,Subscribed capital - uncalled,equity,,False,Capital souscrit - non appelé
l10n_tn_1012,1012,"Subscribed capital - called, not paid",equity,,False,"Capital souscrit - appelé, non verse"
l10n_tn_10131,10131,Unamortized capital,equity,,False,Capital non amorti
l10n_tn_10132,10132,Amortised capital,equity,,False,Capital amorti
l10n_tn_1018,1018,Subscribed capital subject to special regulations,equity,,False,Capital souscrit soumis à une réglementation particulière
l10n_tn_105,105,Endowment fund,equity,,False,Fonds de dotation
l10n_tn_108,108,Operator's account,equity,,False,Compte de l'exploitant
l10n_tn_109,109,"Shareholders, subscribed capital - uncalled",equity,,False,"Actionnaires, capital souscrit - non appelé"
l10n_tn_111,111,Legal reserve,equity,,False,Réserve légale
l10n_tn_112,112,Statutory reserves,equity,,False,Réserves statutaires
l10n_tn_1171,1171,Share premium,equity,,False,Primes d’émission
l10n_tn_1172,1172,Merger premiums,equity,,False,Primes de fusion
l10n_tn_1173,1173,Contribution premium,equity,,False,Primes d'apport
l10n_tn_1174,1174,Bond conversion premiums,equity,,False,Primes de conversion d'obligation
l10n_tn_1178,1178,Other additional paid-in capital,equity,,False,Autres compléments d'apport
l10n_tn_1181,1181,Reserves for social fund,equity,,False,Réserves pour fonds social
l10n_tn_119,119,Shareholders' equity,equity,,False,Avoirs des actionnaires
l10n_tn_121,121,Retained earnings,equity_unaffected,,False,Résultats reportés
l10n_tn_128,128,Accounting changes affecting retained earnings,income,,False,Modifications comptables affectant les résultats reportés
l10n_tn_131,131,Profitable result,equity,,False,Résultat bénéficiaire
l10n_tn_135,135,Deficit result,equity,,False,Résultat déficitaire
l10n_tn_141,141,Securities subject to special regulations,equity,,False,Titres soumis à des réglementations particulières
l10n_tn_1421,1421,Unavailable reserves,equity,,False,Réserves indisponibles
l10n_tn_143,143,Special depreciation allowances,equity,,False,Amortissements dérogatoires
l10n_tn_144,144,Special revaluation reserve,equity,,False,Réserve spéciale de réévaluation
l10n_tn_1451,1451,Investment grants,equity,,False,Subventions d'investissement
l10n_tn_1458,1458,Other investment grants,equity,,False,Autres subventions d'investissement
l10n_tn_1459,1459,Investment grants recorded in the income statement,equity,,False,Subventions d'investissement inscrites aux comptes de résultat
l10n_tn_147,147,Grantor account,equity,,False,Compte du concédant
l10n_tn_1511,1511,Provisions for disputes,liability_non_current,,False,Provisions pour litiges
l10n_tn_1512,1512,Provisions for guarantees given to customers,liability_non_current,,False,Provisions pour garanties données aux clients
l10n_tn_1513,1513,Provisions for losses on contracts with future completion,liability_non_current,,False,Provisions pour pertes sur marches à achèvement futur
