id,code_prefix_start,name,name@fr
l10n_tn_account_group_1,1,Class 1: Equity accounts and non-current liabilities,Classe 1 : Comptes de capitaux propres et passifs non courants
l10n_tn_account_group_10,10,Capital,Capital
l10n_tn_account_group_101,101,Share capital,Capital social
l10n_tn_account_group_1013,1013,"Subscribed capital - called, paid","Capital souscrit - appelé, versé"
l10n_tn_account_group_11,11,Reserves and premiums related to capital,Réserves et primes liées au capital
l10n_tn_account_group_117,117,Additional paid-in capital,Primes liées au capital
l10n_tn_account_group_118,118,Other reserves,Autres réserves
l10n_tn_account_group_12,12,Results carried forward,Résultats reportés
l10n_tn_account_group_13,13,Profit for the year,Résultat de l'exercice
l10n_tn_account_group_14,14,Other equity,Autres capitaux propres
l10n_tn_account_group_142,142,Regulated reserves & reserves subject to a special tax regime,Réserves réglementées & réserves soumises à un régime fiscal particulier
l10n_tn_account_group_145,145,Investment grants,Subventions d'investissement
l10n_tn_account_group_15,15,Provisions for liabilities and charges,Provisions pour risques & charges
l10n_tn_account_group_151,151,Provisions for risks,Provisions pour risques
l10n_tn_account_group_152,152,Provisions for expenses to be spread over several years,Provisions pour charges à répartir sur plusieurs exercices
l10n_tn_account_group_16,16,Borrowings and similar debts,Emprunts & dettes assimilées
l10n_tn_account_group_161,161,Bonds (secured),Emprunts obligataires (assorties de sûretés)
l10n_tn_account_group_162,162,Borrowings from financial institutions (secured),Emprunts auprès des établissements financiers (assorties de sûretés)
l10n_tn_account_group_164,164,Borrowings and debts with special conditions,Emprunts et dettes assorties de conditions particulières
l10n_tn_account_group_166,166,Debts related to participating interests,Dettes rattachées à des participations
l10n_tn_account_group_168,168,Other loans and debts,Autres emprunts et dettes
l10n_tn_account_group_17,17,Liaison accounts of institutions & branches,Comptes de liaison des établissements & succursales
l10n_tn_account_group_18,18,Other non-current liabilities,Autres passifs non courants
l10n_tn_account_group_2,2,Class 2: Non-current asset accounts,Classe 2 : Comptes d'actifs non courants
l10n_tn_account_group_21,21,Intangible assets,Immobilisations incorporelles
l10n_tn_account_group_22,22,Tangible fixed assets,Immobilisations corporelles
l10n_tn_account_group_221,221,Land,Terrains
l10n_tn_account_group_222,222,Buildings,Constructions
l10n_tn_account_group_223,223,"Technical installations, industrial equipment and tools","Installations techniques, matériel et outillage industriels"
l10n_tn_account_group_224,224,Transport equipment,Matériel de transport
l10n_tn_account_group_228,228,Other tangible assets,Autres immobilisations corporelles
l10n_tn_account_group_23,23,Assets under construction,Immobilisations en cours
l10n_tn_account_group_24,24,Fixed assets with special legal status,Immobilisations à statut juridique particulier
l10n_tn_account_group_25,25,Participating interests & receivables related to participating interests,Participations & créances liées à des participations
l10n_tn_account_group_251,251,Investments in subsidiaries and affiliates,Titres de participation
l10n_tn_account_group_257,257,Receivables related to participating interests,Créances rattachées à des participations
l10n_tn_account_group_26,26,Other financial assets,Autres immobilisations financières
l10n_tn_account_group_261,261,Fixed assets (ownership),Titres immobilisés (droit de propriété)
l10n_tn_account_group_262,262,Fixed assets (right of claim),Titres immobilisés (droit de créance)
l10n_tn_account_group_264,264,Loans,Prêts
l10n_tn_account_group_265,265,Deposits and guarantees paid,Dépôts et cautionnements versés
l10n_tn_account_group_266,266,Other fixed assets,Autres créances immobilisées
l10n_tn_account_group_27,27,Other non-current assets,Autres actifs non courants
l10n_tn_account_group_28,28,Depreciation of fixed assets,Amortissements des immobilisations
l10n_tn_account_group_29,29,Provisions for depreciation of fixed assets,Provisions pour dépréciation des immobilisations
