"id","parent_id","active","name","code","account_type","reconcile","non_trade","name@ar_001"
"lb_group_01","","False","Subscribed capital (Uncalled)","1011","equity","","","رأس المال المكتتب به (غير مستحق)"
"lb_group_02","","False","Subscribed capital (Called and Paid)","1012","equity","","","رأس المال المكتتب به (المستحق والمدفوع)"
"lb_group_03","","False","Subscribed capital (Called and Paid Up)","1013","equity","","","رأس المال المكتتب به (المستحق والمدفوع)"
"lb_group_04","","False","Issue premiums","1021","equity","","","أقساط الأسهم"
"lb_group_05","","False","Merger premiums","1022","equity","","","أقساط الاندماج"
"lb_group_06","","False","Contribution premiums","1023","equity","","","أقساط المساهمة"
"lb_group_07","","False","Premium for conversion of debenture","1024","equity","","","قسط تحويل السندات"
"lb_group_08","","False","Revaluation variances of fixed assets","1031","equity","","","فروق إعادة تقييم الأصول الثابتة"
"lb_group_09","","False","Revaluation variances","1035","equity","","","فروق إعادة التقييم"
"lb_group_10","","False","Legal reserve","1110","equity","","","الاحتياطي القانوني"
"lb_group_11","","False","Statutory","1120","equity","","","قانوني"
"lb_group_12","","False","Special reserves","1190","equity","","","الاحتياطات الخاصة"
"lb_group_13","","False","Profit brought forward","1210","equity","","","الأرباح المرحّلة"
"lb_group_14","","False","Losses brought forward","1250","equity","","","الخسائر المرحلة"
"lb_group_15","","False","Result of period Profit","1380","equity","","","نتيجة أرباح الفترة"
"lb_group_16","","False","Result of period Profit","1381","equity","","","نتيجة أرباح الفترة"
"lb_group_17","","False","Result of period Loss","1390","equity","","","نتيجة خسائر الفترة"
"lb_group_18","","False","Sundry loans & debts","1680","liability_non_current","","","القروض والديون المتنوعة"
"lb_group_19","","False","Goodwill","2110","asset_fixed","","","الشهرة"
"lb_group_20","","False","Establishments expenses","2120","asset_fixed","","","نفقات الإنشاء"
"lb_group_21","","False","Patents licenses trademarks","2140","asset_fixed","","","العلامات التجارية لتراخيص براءات الاختراع"
"lb_group_22","","False","Transportation equipment","2251","asset_fixed","","","معدات النقل"
"lb_group_23","","False","Transportation equipment","2252","asset_fixed","","","معدات النقل"
"lb_group_24","","False","General installation","2261","asset_fixed","","","التركيب العام"
"lb_group_25","","False","Office & computer equipment","2262","asset_fixed","","","المعدات المكتبية ومعدات الحواسيب"
"lb_group_26","","False","Furniture","2263","asset_fixed","","","الأثاث"
"lb_group_27","","False","Advances & payments for tangible fixed investments","2280","asset_fixed","","","السُلف والمدفوعات للاستثمارات الثابتة الملموسة"
"lb_group_28","","False","Financial fixed assets","2510","asset_non_current","","","الأصول المالية الثابتة"
"lb_group_29","","False","Financial fixed assets","2550","asset_non_current","","","الأصول المالية الثابتة"
"lb_group_30","","False","Other blocked long term receivables","2590","asset_non_current","","","المستحقات الأخرى طويلة الأجل المحجوزة"
"lb_group_31","","False","Constructions","2823","asset_fixed","","","أعمال البناء"
"lb_group_32","","False","Technical installations","2824","asset_fixed","","","التركيبات التقنية"
"lb_group_33","","False","Transportation equipment","2825","asset_fixed","","","معدات النقل"
"lb_group_34","","False","Other Tangible fixed assets","2826","asset_fixed","","","الأصول الثابتة الملموسة الأخرى"
"lb_group_35","","False","Provision for valuation loss of","2921","liability_current","","","حكم خسارة التقييم"
"lb_group_36","","False","Goods - Inventory","3700","asset_current","","","البضائع - المخزون"
"lb_group_37","","False","Invoices","4011","liability_payable","","","فواتير العملاء"
"lb_group_38","","False","Fixed assets suppliers","4031","liability_payable","","","مورّدو الأصول الثابتة"
"lb_group_39","","False","Notes Payables","4035","liability_payable","","","الإشعارات مستحقة الدفع"
"lb_group_40","","False","Ordinary clients","4111","asset_receivable","","","العملاء العاديون"
"lb_group_41","","False","Doubtful clients","4115","asset_receivable","","","العملاء المترددون"
"lb_group_42","","False","Notes Receivable","4130","asset_receivable","","","الإشعارات مستحقة القبض"
"lb_group_43","","False","Advances for works unbilled","4150","asset_receivable","","","الدفعات المقدمة للأشغال التي لم تتم فوترتها"
"lb_group_44","","False","Advances & payments for orders","4191","asset_receivable","","","الدفعات المقدمة ومدفوعات الطلبات"
"lb_group_45","","False","Due to personnel","4211","liability_payable","","","بسبب العاملين"
"lb_group_46","","False","Personals accounts receivable","4280","asset_receivable","","","الحسابات الشخصية المستحقة القبض"
"lb_group_48","","False","NSSF Payable","4311","liability_payable","","","مستحقات الصندوق الوطني للضمان الاجتماعي"
"lb_group_49","","False","NSSF - Accounts receivable from Social Security Fund","4380","asset_receivable","","","الصندوق الوطني للضمان الاجتماعي (NSSF) - الحسابات المستحقة القبض من صندوق الضمان الاجتماعي"
"lb_group_50","","False","Taxes due (Operational)","4411","liability_current","","","الضريبة المستحقة (التشغيلية)"
