"id","code_prefix_start","code_prefix_end","name","name@ar_001"
"lb_group_01","1011","1011","Subscribed capital (Uncalled)","رأس المال المكتتب به (غير مستحق)"
"lb_group_02","1012","1012","Subscribed capital (Called and Paid)","رأس المال المكتتب به (المستحق والمدفوع)"
"lb_group_03","1013","1013","Subscribed capital (Called and Paid Up)","رأس المال المكتتب به (المستحق والمدفوع)"
"lb_group_04","1021","1021","Issue premiums","أقساط الأسهم"
"lb_group_05","1022","1022","Merger premiums","أقساط الاندماج"
"lb_group_06","1023","1023","Contribution premiums","أقساط المساهمة"
"lb_group_07","1024","1024","Premium for conversion of debenture","قسط تحويل السندات"
"lb_group_08","1031","1031","Revaluation variances of fixed assets","فروق إعادة تقييم الأصول الثابتة"
"lb_group_09","1035","1035","Revaluation variances","فروق إعادة التقييم"
"lb_group_10","1110","1110","Legal reserve","الاحتياطي القانوني"
"lb_group_11","1120","1120","Statutory","قانوني"
"lb_group_12","1190","1190","Special reserves","الاحتياطات الخاصة"
"lb_group_13","1210","1210","Profit brought forward","الأرباح المرحّلة"
"lb_group_14","1250","1250","Losses brought forward","الخسائر المرحلة"
"lb_group_15","1380","1380","Result of period Profit","نتيجة أرباح الفترة"
"lb_group_16","1381","1381","Result of period Profit","نتيجة أرباح الفترة"
"lb_group_17","1390","1390","Result of period Loss","نتيجة خسائر الفترة"
"lb_group_18","1680","1680","Sundry loans & debts","القروض والديون المتنوعة"
"lb_group_19","2110","2110","Goodwill","الشهرة"
"lb_group_20","2120","2120","Establishments expenses","نفقات الإنشاء"
"lb_group_21","2140","2140","Patents licenses trademarks","العلامات التجارية لتراخيص براءات الاختراع"
"lb_group_22","2251","2251","Transportation equipment","معدات النقل"
"lb_group_23","2252","2252","Transportation equipment","معدات النقل"
"lb_group_24","2261","2261","General installation","التركيب العام"
"lb_group_25","2262","2262","Office & computer equipment","المعدات المكتبية ومعدات الحواسيب"
"lb_group_26","2263","2263","Furniture","الأثاث"
"lb_group_27","2280","2280","Advances & payments for tangible fixed investments","السُلف والمدفوعات للاستثمارات الثابتة الملموسة"
"lb_group_28","2510","2510","Financial fixed assets","الأصول المالية الثابتة"
"lb_group_29","2550","2550","Financial fixed assets","الأصول المالية الثابتة"
"lb_group_30","2590","2590","Other blocked long term receivables","المستحقات الأخرى طويلة الأجل المحجوزة"
"lb_group_31","2823","2823","Constructions","أعمال البناء"
"lb_group_32","2824","2824","Technical installations","التركيبات التقنية"
"lb_group_33","2825","2825","Transportation equipment","معدات النقل"
"lb_group_34","2826","2826","Other Tangible fixed assets","الأصول الثابتة الملموسة الأخرى"
"lb_group_35","2921","2921","Provision for valuation loss of","حكم خسارة التقييم"
"lb_group_36","3700","3700","Goods - Inventory","البضائع - المخزون"
"lb_group_37","4011","4011","Invoices","فواتير العملاء"
"lb_group_38","4031","4031","Fixed assets suppliers","مورّدو الأصول الثابتة"
"lb_group_39","4035","4035","Notes Payables","الإشعارات مستحقة الدفع"
"lb_group_40","4111","4111","Ordinary clients","العملاء العاديون"
"lb_group_41","4115","4115","Doubtful clients","العملاء المترددون"
"lb_group_42","4130","4130","Notes Receivable","الإشعارات مستحقة القبض"
"lb_group_43","4150","4150","Advances for works unbilled","الدفعات المقدمة للأشغال التي لم تتم فوترتها"
"lb_group_44","4191","4191","Advances & payments for orders","الدفعات المقدمة ومدفوعات الطلبات"
"lb_group_45","4211","4211","Due to personnel","بسبب العاملين"
"lb_group_46","4280","4280","Personals accounts receivable","الحسابات الشخصية المستحقة القبض"
"lb_group_47","4310","4310","Reserve For NSSF (CNSS)","احتياطي الصندوق الوطني للضمان الاجتماعي (CNSSF)"
"lb_group_48","4311","4311","NSSF Payable","مستحقات الصندوق الوطني للضمان الاجتماعي"
"lb_group_49","4380","4380","NSSF - Accounts receivable from Social Security Fund","الصندوق الوطني للضمان الاجتماعي (NSSF) - الحسابات المستحقة القبض من صندوق الضمان الاجتماعي"
"lb_group_50","4411","4411","Taxes due (Operational)","الضريبة المستحقة (التشغيلية)"
"lb_group_51","4420","4420","VAT Paid","ضريبة القيمة المضافة التي تم دفعها"
"lb_group_52","4421","4421","VAT Paid","ضريبة القيمة المضافة التي تم دفعها"
"lb_group_53","4422","4422","VAT Recoverable","ضريبة القيمة المضافة التي يمكن استردادها"
"lb_group_54","4425","4425","VAT Balance","رصيد ضريبة القيمة المضافة"
"lb_group_55","4426","4426","VAT Deductible","ضريبة القيمة المضافة القابلة للخصم"
"lb_group_56","4427","4427","VAT Collected","ضريبة القيمة المضافة التي تم تحصيلها"
"lb_group_57","4428","4428","VAT Subject regularize","تنظيم الخاضع لضريبة القيمة المضافة"
"lb_group_58","4429","4429","VAT Required to be recovered","ضريبة القيمة المضافة المطلوب استردادها"
"lb_group_59","4431","4431","Taxes on profit","ضرائب الإيرادات"
"lb_group_60","4432","4432","Taxes on profit improvement or disposal of fixed assets","تحسين ضرائب الأرباح أو التخلص من الأصول الثابتة"
"lb_group_61","4450","4450","Government & public institutions - Other account payable","المؤسسات الحكومية والمؤسسات العامة - حسابات أخرى مستحقة الدفع"
"lb_group_62","4490","4490","Government & public institutions - Debtors","المؤسسات الحكومية والعامة - المدينون"
"lb_group_63","4511","4511","Partners current account Dr.","الحساب الجاري للشركاء Dr."
"lb_group_64","4512","4512","Partners current account Cr.","الحساب الجاري للشركاء Cr."
"lb_group_65","4515","4515","Other Partners","الشركاء الآخرون"
"lb_group_66","4530","4530","Dividends payable on profit","توزيعات الأرباح مستحقة الدفع على الأرباح"
"lb_group_67","4551","4551","Other Partners payables & contributions","مستحقات ومساهمات الشركاء الآخرين"
"lb_group_68","4619","4619","Miscellaneous operating accounts payable","الحسابات التشغيلية المتنوعة مستحقة الدفع"
"lb_group_69","4650","4650","Miscellaneous accounts payable non-operating","الحسابات المتنوعة مستحقة الدفع غير التشغيلية"
"lb_group_70","4711","4711","Deferred charges over many years pre-operation Expenses","رسوم مؤجلة على مدى سنوات عديدة قبل التشغيل"
"lb_group_71","4712","4712","Deferred charges over many years major repairs for Amortization","الرسوم المؤجلة على مدى سنوات عديدة والعديد من الإصلاحات للاستهلاك"
"lb_group_72","4720","4720","Prepaid expenses","النفقات المدفوعة مسبقاً"
"lb_group_73","4730","4730","Unearned income","الدخل غير المكتسب"
"lb_group_74","4740","4740","Accrued expenses","النفقات المستحقة"
"lb_group_75","4750","4750","Exchange difference - liabilities receivables","فرق سعر الصرف - الالتزامات مستحقة القبض"
"lb_group_76","4810","4810","Periodical allocation of expenses","التخصيص الدوري للنفقات"
"lb_group_77","5121","5121","Banks","البنوك"
"lb_group_78","5300","5300","Cash","النقد"
"lb_group_79","5400","5400","Liquidity","السُيولة"
"lb_group_80","6011","6011","Goods & Services","البضائع والخدمات"
"lb_group_81","6012","6012","Purchases containers & packing materials","حاويات المشتريات ومواد التعبئة والتغليف"
"lb_group_82","6018","6018","Accessories costs on Purchases of merchandises","تكاليف الملحقات في مشتريات البضائع"
"lb_group_83","6019","6019","Discount & Allowances earned on purchases","الخصم والبدلات المكتسبة على المشتريات"
"lb_group_84","6051","6051","Opening Stock","المخزون الافتتاحي"
"lb_group_85","6052","6052","Closing Stock","المخزون الختامي"
"lb_group_86","6111","6111","Purchases raw materials","مشتريات المواد الخام"
"lb_group_87","6112","6112","Purchases consumables","مشتريات السلع الاستهلاكية"
"lb_group_88","6113","6113","Containers & Packing materials Purchases","مشتريات الحاويات ومواد التعبئة والتغليف"
"lb_group_89","6117","6117","Transitory account of Cost of Goods Sold","الحساب المؤقت لتكلفة البضائع المباعة"
"lb_group_90","6118","6118","Expenses connected to raw materials & consumable purchases","النفقات المرتبطة بالمواد الخام ومشتريات السلع الاستهلاكية"
"lb_group_91","6119","6119","Discount & allowances earned on purchases","الخصم والبدلات المكتسبة على المشتريات"
"lb_group_92","6151","6151","Opening Stock - raw materials","المخزون الافتتاحي - المواد الخام"
"lb_group_93","6152","6152","Closing Stock - raw materials","المخزون الختامي - المواد الخام"
"lb_group_94","6211","6211","Purchases - Costs related to Subcontractor A","المشتريات - التكاليف المتعلقة بالمتعاقد من الباطن A"
"lb_group_95","6212","6212","Purchases - Costs related to Subcontractor B","المشتريات - التكاليف المتعلقة بالمتعاقد من الباطن B"
"lb_group_96","6219","6219","Discount & allowances purchases subcontractors","الخصومات والبدلات لمشتريات المتعاقدين من الباطن"
"lb_group_97","6250","6250","Leasing & patents cost","تكلفة التأجير وبراءات الاختراع"
"lb_group_98","6260","6260","External services","الخدمات الخارجية"
"lb_group_99","6261","6261","Transportation & Communication","النقل والمواصلات"
"lb_group_100","6262","6262","Maintenance & Repairs","الصيانة والإصلاحات"
"lb_group_101","6263","6263","Rent (Building Services & Other related charges)","الإيجار (خدمات المباني والرسوم الأخرى ذات الصلة)"
"lb_group_102","6264","6264","Hotel & Restaurant & Travel expenses","نفقات الفنادق والمطاعم والسفر"
"lb_group_103","6265","6265","Staff services - agent commissions - fees","خدمات الموظفين - عمولات الوكلاء - الأتعاب"
"lb_group_104","6266","6266","Teaching services & Trainings","الخدمات التعليمية والدورات التدريبية"
"lb_group_105","6267","6267","Studies & Research","الدراسات والأبحاث"
"lb_group_106","6268","6268","Insurance","التأمين"
"lb_group_107","6269","6269","Other external services","الخدمات الخارجية االأخرى"
"lb_group_108","6310","6310","Salaries & Wages","المرتبات والأجور"
"lb_group_109","6311","6311","Salaries & Retroactive & Earning Taxable","الرواتب والمكاسب بأثر رجعي خاضعة للضريبة"
"lb_group_110","6312","6312","Wages","الأجور"
"lb_group_111","6316","6316","Manager Remuneration (Voting Rights) (1)","مكافآت المدراء (صلاحيات التصويت) (1)"
"lb_group_112","6317","6317","Directors Remuneration (2)","مكافآت المدراء العموميين (2)"
"lb_group_113","6319","6319","Personnel Charges not taxable","رسوم الموظفين غير الخاضعة للضريبة"
"lb_group_114","6351","6351","NSSF Expenses & Contributions","نفقات ومساهمات صندوق التضامن الاجتماعي الوطني"
"lb_group_115","6355","6355","Difference IEOS - Indemnity End of Service","الفرق في IEOS - تعويض نهاية الخدمة"
"lb_group_116","6410","6410","Income tax on salaries & remuneration","ضريبة الدخل على المرتبات والأجور"
"lb_group_117","6420","6420","Municipality taxes","ضرائب البلدية"
"lb_group_118","6430","6430","VAT non-recoverable","ضريبة القيمة المضافة غير قابلة للاسترداد"
"lb_group_119","6440","6440","Registration fees","رسوم التسجيل"
"lb_group_120","6451","6451","Taxes # 51 Reg.#497.2003","ضرائب رقم 51 Reg.#497.2003"
"lb_group_121","6452","6452","Taxes on Disposal of fixed assets or reevaluation 10%","ضرائب التصرف في الأصول الثابتة أو إعادة تقييمها 10%"
"lb_group_122","6455","6455","Taxes holding & on income services","الضرائب المحتجزة وعلى خدمات الدخل"
"lb_group_123","6458","6458","Penalties taxes interest on delay & fines","الفوائد التي يتم دفعها في ضرائب غرامات التأخير والغرامات العامة"
"lb_group_124","6459","6459","Other Taxes","الضرائب الأخرى"
"lb_group_125","6511","6511","Amortization of intangible assets","استهلاك الأصول غير الملموسة"
"lb_group_126","6512","6512","Depreciation of tangible fixed assets","إهلاك الأصول الثابتة الملموسة"
"lb_group_127","6515","6515","Amortization of deferred charges","استهلاك الرسوم المؤجلة"
"lb_group_128","6550","6550","Provisions","استهلاك الرسوم المؤجلة"
"lb_group_129","6551","6551","Provision for diminution in value intangible fixed assets","حكم لتناقص قيمة الأصول الثابتة غير الملموسة"
"lb_group_130","6552","6552","Provision for diminution in value tangible fixed assets","حكم لتناقص قيمة الأصول الثابتة الملموسة"
"lb_group_131","6553","6553","Provision for diminution in value inventory & goods in process","حكم لتناقص قيمة المخزون والسلع قيد التصنيع"
"lb_group_132","6554","6554","Provisions for bad & doubtful debts","أحكام الديون المُعدَمة والمشكوك في تحصيلها"
"lb_group_133","6555","6555","Provisions for risks & charges (operational)","أحكام المخاطر والرسوم (التشغيلية)"
"lb_group_134","6610","6610","Other administrative charges","الرسوم الإدارية الأخرى"
"lb_group_135","6611","6611","Attendance allowance of board directors","بدل حضور أعضاء مجلس الإدارة"
"lb_group_136","6612","6612","Losses on irrecoverable operating receivables","خسائر الذمم المدينة التشغيلية مستحقة القبض غير القابلة للاسترداد"
"lb_group_137","6650","6650","Loss on joint venture","الخسارة في مشروع مشترك"
"lb_group_138","6731","6731","Interest - account payable & loans","الفوائد - الحسابات مستحقة الدفع والقروض"
"lb_group_139","6736","6736","Interest - banks & financial operating long-term loans","الفوائد - البنوك والقروض التشغيلية المالية طويلة الأجل"
"lb_group_140","6739","6739","Bank charges & commissions","رسوم وعمولات البنوك"
"lb_group_141","6751","6751","Difference on exchange - negative","الفرق في الصرف - سالب"
"lb_group_142","6752","6752","Difference on exchange - negative capital","الفرق في الصرف - رأس المال السالب"
"lb_group_143","6760","6760","Net charges on disposal of securities placements","صافي رسوم التصرف في إيداعات الأوراق المالية"
"lb_group_144","6791","6791","Amortization of reimbursement premiums","استهلاك أقساط التعويض"
