year,date,holiday
2026,2026-02-17,Chinese New Year's Day
2026,2026-02-18,Second Day of Chinese New Year
2026,2026-03-20,Hari Raya Puasa (Tentative Date)
2026,2026-03-21,Hari Raya Puasa Day 2 (Tentative Date)
2026,2026-05-01,Labour Day
2026,2026-05-27,Hari Raya Haji (Tentative Date)
2026,2026-05-28,Hari Raya Haji (Day 2) (Tentative Date)
2026,2026-05-31,Wesak Day
2026,2026-06-01,The Yang di-Pertuan Agong's Birthday
2026,2026-06-17,Muharram (Tentative Date)
2026,2026-08-25,The Prophet Muhammad's Birthday (Tentative Date)
2026,2026-08-31,Malaysia's National Day
2026,2026-09-16,Malaysia Day
2026,2026-11-08,Diwali
2026,2026-12-25,Christmas Day
2027,2027-02-06,Chinese New Year's Day
2027,2027-02-07,Second Day of Chinese New Year
2027,2027-03-10,Hari Raya Puasa (Tentative Date)
2027,2027-03-11,Hari Raya Puasa Day 2 (Tentative Date)
2027,2027-05-01,Labour Day
2027,2027-05-17,Hari Raya Haji (Tentative Date)
2027,2027-05-18,Hari Raya Haji (Day 2) (Tentative Date)
2027,2027-06-06,Muharram (Tentative Date)
2027,2027-06-07,The Yang di-Pertuan Agong's Birthday
2027,2027-08-15,The Prophet Muhammad's Birthday (Tentative Date)
2027,2027-08-31,Malaysia's National Day
2027,2027-09-16,Malaysia Day
2027,2027-12-25,Christmas Day
2028,2028-01-26,Chinese New Year's Day
2028,2028-01-27,Second Day of Chinese New Year
2028,2028-02-27,Hari Raya Puasa (Tentative Date)
2028,2028-02-28,Hari Raya Puasa Day 2 (Tentative Date)
2028,2028-05-01,Labour Day
2028,2028-05-05,Hari Raya Haji (Tentative Date)
2028,2028-05-06,Hari Raya Haji (Day 2) (Tentative Date)
2028,2028-05-25,Muharram (Tentative Date)
2028,2028-06-05,The Yang di-Pertuan Agong's Birthday
2028,2028-08-03,The Prophet Muhammad's Birthday (Tentative Date)
2028,2028-08-31,Malaysia's National Day
2028,2028-09-16,Malaysia Day
2028,2028-12-25,Christmas Day
2029,2029-02-13,Chinese New Year's Day
2029,2029-02-14,Second Day of Chinese New Year
2029,2029-02-15,Hari Raya Puasa (Tentative Date)
2029,2029-02-16,Hari Raya Puasa Day 2 (Tentative Date)
2029,2029-04-24,Hari Raya Haji (Tentative Date)
2029,2029-04-25,Hari Raya Haji (Day 2) (Tentative Date)
2029,2029-05-01,Labour Day
2029,2029-05-15,Muharram (Tentative Date)
