id,code,description
l10n_ro_saft_tax_type_000,000,Transactions not relevant to be reported for taxes and import operations
l10n_ro_saft_tax_type_100,100,Income tax
l10n_ro_saft_tax_type_101,101,Payments from net revenue of National Bank of Romania
l10n_ro_saft_tax_type_102,102,"Advance payments for annual income tax due by commercial banks, Romanian legal persons and Romanian bank subsidiaries, foreign legal persons"
l10n_ro_saft_tax_type_103,103,"Income tax/ advance payments for annual income tax due by Romanian legal persons, others than those from section 1 and legal persons with headquarters in Romania"
l10n_ro_saft_tax_type_104,104,Annual tax income
l10n_ro_saft_tax_type_105,105,"Income tax due by foreign legal persons, other than those from section 1, due by foreign legal persons that carry out activities by means of a permanent office in Romania"
l10n_ro_saft_tax_type_106,106,Tax on profit from natural persons in association
l10n_ro_saft_tax_type_107,107,Corporate Income Tax exempted
l10n_ro_saft_tax_type_110,110,Romanian fund
l10n_ro_saft_tax_type_111,111,Income tax exempted according to art. 38 paragraph(1) from the Fiscal Code
l10n_ro_saft_tax_type_112,112,Income tax exempted according to art. 38 paragraph(3) from the Fiscal Code
l10n_ro_saft_tax_type_113,113,"Income tax exempted according to art. 38 paragraph(8), (9) or (11) from the Fiscal Code"
l10n_ro_saft_tax_type_114,114,Additional 20% share of investment value according to art. 38 paragraph(13) from the Fiscal Code
l10n_ro_saft_tax_type_120,120,Micro-enterprises' income tax
l10n_ro_saft_tax_type_121,121,Micro-enterprise income tax
l10n_ro_saft_tax_type_122,122,"Tax on income from micro-enterprises created by the association of a natural person with a legal person, not generating a legal person"
l10n_ro_saft_tax_type_127,127,Micro-enterprise Income Tax exempt
l10n_ro_saft_tax_type_128,128,Additional offshore Corporate Income Tax
l10n_ro_saft_tax_type_130,130,Specific Corporate Income Tax
l10n_ro_saft_tax_type_140,140,"Tax on income generated in Romania by nonresident - legal persons, collected until 31.01.2014"
l10n_ro_saft_tax_type_150,150,Tax on income from dividends for legal persons
l10n_ro_saft_tax_type_155,155,Tax on income of attorneys and public notaries
l10n_ro_saft_tax_type_160,160,Income tax for Romanian offices of foreign commercial and economic organizations
l10n_ro_saft_tax_type_161,161,Tax on additional income obtained by electricity producer
l10n_ro_saft_tax_type_162,162,Tax on income from the sale of agricultural land located outside the village
l10n_ro_saft_tax_type_200,200,Excise
l10n_ro_saft_tax_type_210,210,"Excise duty collected from the sale of alcohol, distilates and alchoholic berevages, due until 31.12.2006"
l10n_ro_saft_tax_type_211,211,Excise duty on beer
l10n_ro_saft_tax_type_212,212,Excise duty on sparkling wines
l10n_ro_saft_tax_type_213,213,"Excise duty on fermented, sparking beverages, other than beer and wine"
l10n_ro_saft_tax_type_214,214,Excise duty on intermediate products
l10n_ro_saft_tax_type_215,215,Excise duty on ethyl alcohol
l10n_ro_saft_tax_type_216,216,Excise duty on still wines
l10n_ro_saft_tax_type_217,217,"Excise duty on still fermented beverages, other than beer and wine"
l10n_ro_saft_tax_type_218,218,Excise duty on the sales of still fermented beverages other than beer and wine  due until 31.01.2011
l10n_ro_saft_tax_type_220,220,Excise duty on sales of tobacco products
l10n_ro_saft_tax_type_221,221,Excise duty on cigarettes
l10n_ro_saft_tax_type_222,222,Excise duty on cigaretts and cigarette sheets
l10n_ro_saft_tax_type_223,223,Excise duty on smoking tobacco
l10n_ro_saft_tax_type_224,224,Excise duty on fine-cut smoking tobacco for cigar rolling
l10n_ro_saft_tax_type_225,225,Excise duty on other smoking tobacco
l10n_ro_saft_tax_type_226,226,Excise duties on heated tobacco products
l10n_ro_saft_tax_type_227,227,Excise duty on liquids containing nicotine for inhalation by means of an electronic device such as an electronic cigarette
l10n_ro_saft_tax_type_230,230,Excise duty collected from the sale of energy products
l10n_ro_saft_tax_type_231,231,Excise duty on leaded petrol
l10n_ro_saft_tax_type_232,232,Excise duty on unleaded petrol and denatured bioethanol used as motor fuel 
l10n_ro_saft_tax_type_233,233,Excise duty on diesel and biodiesel
l10n_ro_saft_tax_type_234,234,Excise duty on fuel oil
l10n_ro_saft_tax_type_235,235,Excise duty on liquefied petroleum gas
l10n_ro_saft_tax_type_236,236,Excise duty on natural gas
l10n_ro_saft_tax_type_237,237,Excise duty on coal and coke
l10n_ro_saft_tax_type_238,238,Excise duty on lamp oil (kerosene)
l10n_ro_saft_tax_type_239,239,Excise duty on mineral oils due until 31.12.2006
l10n_ro_saft_tax_type_240,240,Excise duty on coffee
l10n_ro_saft_tax_type_241,241,Excise duty to be refunded/offset from the sale of diesel 
l10n_ro_saft_tax_type_242,242,Excise duty on roasted coffee including coffee with substitutes
l10n_ro_saft_tax_type_243,243,Excise duty on instant coffee including instant coffee blends
l10n_ro_saft_tax_type_244,244,Excise duty on green coffee
l10n_ro_saft_tax_type_250,250,Excise duty on the sales of other products due until 30 September 2013
l10n_ro_saft_tax_type_251,251,"Excise duty on beer / beer base in mixtures with non-alcoholic beverages, in which the share of Plato grades derived from malt, malleable and / or non-malleable cereals is less than 30% of the total number of Plato grades"
l10n_ro_saft_tax_type_252,252,"Excise duties on fermented beverages other than beer and wine, in which the absolute alcohol content (100%) resulting from the exclusive fermentation of fruit, fruit juices and concentrated fruit juices is less than 50%"
l10n_ro_saft_tax_type_253,253,"Excise duty on gold and / or platinum jewelery, except wedding rings"
l10n_ro_saft_tax_type_254,254,Excise duty on garments made of natural furs
l10n_ro_saft_tax_type_255,255,"Excise duty on yachts and other ships and boats with or without motor for pleasure, other than for use in performance sports"
l10n_ro_saft_tax_type_256,256,"Excise duty on on passenger cars and off-road vehicles with a cylinder capacity of 3,000 cm3 or more"
l10n_ro_saft_tax_type_257,257,"Excise duty on hunting weapons and weapons for personal use, other than for military or sporting use"
l10n_ro_saft_tax_type_258,258,"Excise duty on bullet cartridges and other ammunition for hunting and personal use weapons, other than for military or sporting use"
l10n_ro_saft_tax_type_259,259,"Excise duty on engines of more than 100 hp, for yachts and other pleasure craft"
l10n_ro_saft_tax_type_260,260,Excise duty collected from the sale of cars from domestic production
l10n_ro_saft_tax_type_261,261,Excise duty for cars which were the subject of leases entered into before 1st January 2007
l10n_ro_saft_tax_type_270,270,Excise duty on electricity
l10n_ro_saft_tax_type_275,275,Excise duty on other excise goods (energy)
l10n_ro_saft_tax_type_280,280,Excise duty collected from the sale of air conditioners
l10n_ro_saft_tax_type_283,283,Excisescollected when issuing fiscal banners for alcoholic beverages
l10n_ro_saft_tax_type_290,290,Excise duty to be reimbursed
l10n_ro_saft_tax_type_300,300,Value-added tax (VAT)
l10n_ro_saft_tax_type_301,301,Monthly - value-added tax (VAT)
l10n_ro_saft_tax_type_302,302,Quarterly - value-added tax (VAT)
l10n_ro_saft_tax_type_303,303,Half-yearly - value-added tax (VAT)
l10n_ro_saft_tax_type_304,304,Annual - value-added tax (VAT)
l10n_ro_saft_tax_type_305,305,Interest and penalties on late payment of VAT
l10n_ro_saft_tax_type_307,307,VAT to be paid as a result of adjustments
l10n_ro_saft_tax_type_344,344,"Amounts deducted from VAT for state pre-university educational institutions, nurseries, county and local centers of agricultural consulting and support for child protection system"
l10n_ro_saft_tax_type_390,390,Reimbursement of the VAT
l10n_ro_saft_tax_type_410,410,Social insurance contribution
l10n_ro_saft_tax_type_411,411,Social insurance contribution by the employer
l10n_ro_saft_tax_type_412,412,Social insurance contribution deducted from the insured persons
l10n_ro_saft_tax_type_413,413,Social insurance contribution for people whose duties are paid from the Unemployment Insurance Fund
l10n_ro_saft_tax_type_414,414,Contribution to supplementary pension retained from people included in the social insurance system
l10n_ro_saft_tax_type_415,415,Farmers' contribution to the pension fund and social insurance
l10n_ro_saft_tax_type_416,416,Social insurance contribution for work accidents and professional illnesses caused by the employer
l10n_ro_saft_tax_type_417,417,Contribution for Social insurance fund
l10n_ro_saft_tax_type_418,418,Social insurance contribution for work accidents and professional illnesses for unemployed people
l10n_ro_saft_tax_type_419,419,Individual social insurance contribution by people who obtain professional income other than salary
l10n_ro_saft_tax_type_420,420,Contribution to unemployment fund
l10n_ro_saft_tax_type_421,421,Contribution to unemployment fund by the employer
l10n_ro_saft_tax_type_422,422,Contribution to unemployment fund deducted from the insured persons
l10n_ro_saft_tax_type_423,423,The employer's contribution to the Guarantee Fund for salary payment
l10n_ro_saft_tax_type_424,424,Individual contribution to unemployment fund by people who obtain professional income other than salary
l10n_ro_saft_tax_type_430,430,Health insurance contribution
l10n_ro_saft_tax_type_431,431,Health insurance contribution by the employer
l10n_ro_saft_tax_type_432,432,Health insurance contribution deducted from the insured persons
l10n_ro_saft_tax_type_433,433,Health insurance contribution for people whose duties are paid from the Unemployment Insurance Fund
l10n_ro_saft_tax_type_434,434,Health insurance contribution for people in ongoing military service
l10n_ro_saft_tax_type_435,435,Health insurance contribution for people who perform custodial sentence or remand
l10n_ro_saft_tax_type_436,436,Health insurance contribution for sick leaves which is deducted from social insurance contribution by the employer
l10n_ro_saft_tax_type_437,437,Health insurance contribution for persons in parental leave up to the age of 2 and for a disabled child up to the age of 3
l10n_ro_saft_tax_type_438,438,"Health insurance contribution for people in sick leave, according to the Law no. 95/2006 regarding healthcare reform"
l10n_ro_saft_tax_type_439,439,Contribution for vacation and compensation from natural or legal persons
l10n_ro_saft_tax_type_440,440,Contribution for vacation and compensation by unemployed people
l10n_ro_saft_tax_type_441,441,Health insurance contribution by retirees for income that exceeds the threshold required by law
l10n_ro_saft_tax_type_442,442,Contribution for vacation and compensation by people which are unable to work due to a work accident or professional illnesses
l10n_ro_saft_tax_type_443,443,Contribution for vacation and compensation by people which are unable to work due to a work accident or professional illnesses accounted for from the insurance fund for work accidents and professional illnesses
l10n_ro_saft_tax_type_444,444,"Health insurance contribution for people from families that are entitled to welfare, according to Law no. 416/2001 regarding the minimum guaranteed income, with subsequent amendments"
l10n_ro_saft_tax_type_445,445,"Individual health insurance contribution for persons located in detention centers for deportation, and for persons undergoing procedures to establish their identity that are accommodated in special centers"
l10n_ro_saft_tax_type_446,446,"Individual health insurance contribution for persons who are undertaking measures provided in art. 105, 113 and 114 from the Penal Code and for persons who are in postponement or interruption of imprisonment sentence"
l10n_ro_saft_tax_type_447,447,Individual health insurance contribution for monastic staff of recognized religions
l10n_ro_saft_tax_type_448,448,"Health insurance contribution by the employer for people who are in medical leave for incapacity of work, due to a work accident or professional illnesses supported by FAAMBP, according to the Law no. 95/2006"
l10n_ro_saft_tax_type_449,449,"Individual health insurance contribution for persons, Romanian citizens who are victims of human trafficking, for a period of maximum 12 months"
l10n_ro_saft_tax_type_450,450,Quarterly contribution for financing medicine expenses covered from the National Fund of Health Insurance and from the Ministry of Health's budget
l10n_ro_saft_tax_type_451,451,Individual social insurance contribution by people with revenue from intellectual property
l10n_ro_saft_tax_type_452,452,Individual social insurance contribution by people with revenue from activities performed under contracts / civil agreements concluded according to the Civil Code as well as agent's contract
l10n_ro_saft_tax_type_453,453,"Individual social insurance contribution by people with revenue from technical, judicial and extrajudicial expertise"
l10n_ro_saft_tax_type_454,454,"Social insurance contribution by people with revenues from independent activities, agricultural activities and associations without legal persons"
l10n_ro_saft_tax_type_455,455,Quarterly contribution for Cost-volume / cost-volume-outcome contracts
l10n_ro_saft_tax_type_456,456,Contribution for amount of medicines consumed exceeding volumes determined by contracts
l10n_ro_saft_tax_type_457,457,CASS owed by retired persons who exceed the ceiling of 4000 lei
l10n_ro_saft_tax_type_458,458,CAS payed by employer/tax payer (art.146 alin. 5^6 from Fiscal Code)
l10n_ro_saft_tax_type_459,459,CASS payed by employer/tax payer (art.168 alin. 6^1 from Fiscal Code)
l10n_ro_saft_tax_type_460,460,Health insurance contribution by natural persons - regularizations
l10n_ro_saft_tax_type_461,461,Individual health insurance contribution by people with revenues from intellectual property rights
l10n_ro_saft_tax_type_462,462,Individual health insurance contribution by people with revenue from activities performed under contracts / civil agreements concluded according to the Civil Code as well as agent's contract
l10n_ro_saft_tax_type_463,463,"Individual health insurance contribution by people with revenue from technical, judicial and extrajudicial expertise"
l10n_ro_saft_tax_type_464,464,"Individual health insurance contribution by people with revenues from an association with a micro-enterprise, according to the IV^1 Title from the Fiscal Code, which is not a legal person"
l10n_ro_saft_tax_type_465,465,"Individual health insurance contribution by people with revenues, withholding income tax from associations with no legal persons referred in art. 13 letter e) from Tax Code"
l10n_ro_saft_tax_type_466,466,"Individual health insurance contribution by people with revenues, withholding tax on income from agricultural associations referred in art. 71 letter d) from Tax Code"
l10n_ro_saft_tax_type_467,467,Individual contribution to social security (OMEF1646/2007)
l10n_ro_saft_tax_type_468,468,Individual health insurance contribution by people with revenues from independent activities or by people with no revenue
l10n_ro_saft_tax_type_469,469,"Individual health insurance contribution by people with revenues from leases of agricultural goods, withholding income tax"
l10n_ro_saft_tax_type_470,470,Individual health insurance contribution by people with revenues from granting property
l10n_ro_saft_tax_type_471,471,"The individual contribution for the social health insurance due by the persons with incomes obtained from an association with a taxpayer legal person, according to title II of the Fiscal Code"
l10n_ro_saft_tax_type_472,472,"The contribution for the social health insurance due by the persons who realize incomes obtained from the association with a legal person, taxpayer, according to Law no. 170/2016 regarding the specific tax"
l10n_ro_saft_tax_type_473,473,The social insurance contribution due by the natural persons who realize incomes based on the sports activity contracts
l10n_ro_saft_tax_type_474,474,Social health insurance contribution due by individuals who earn income based on sports activity contracts
l10n_ro_saft_tax_type_475,475,Social insurance contributions related to the Unique Declaration
l10n_ro_saft_tax_type_476,476,Social health insurance contributions related to the Unique Declaration
l10n_ro_saft_tax_type_480,480,Insurance contribution for labour
l10n_ro_saft_tax_type_481,481,Social insurance contribution due in case of speccific working conditions
l10n_ro_saft_tax_type_482,482,Social insurance contribution due in case of special working conditions
l10n_ro_saft_tax_type_483,483,"The social insurance contribution, due by the natural persons who carry out their activity in the field of constructions according to art. 60 point 5 of Law no. 227/2015 on the Fiscal Code"
