"id","name","description","invoice_label","l10n_es_type","l10n_es_bien_inversion","l10n_es_exempt_reason","tax_scope"
"account_tax_template_s_iva21b","","","","sujeto","","","consu"
"account_tax_template_s_iva21s","","","","sujeto","","","service"
"account_tax_template_s_iva21isp","","","","sujeto","","",""
"account_tax_template_p_iva21_bc","21% IVA soportado (bienes corrientes)","","","sujeto","","","consu"
"account_tax_template_p_iva21_sc","21% IVA soportado (servicios corrientes)","","","sujeto","","","service"
"account_tax_template_p_iva21_sp_in","IVA 21% Adquisición de servicios intracomunitarios","","","sujeto","","","service"
"account_tax_template_p_iva21_ic_bc","IVA 21% Adquisición Intracomunitaria. Bienes corrientes","","","sujeto","","","consu"
"account_tax_template_p_iva21_ic_bi","IVA 21% Adquisición Intracomunitaria. Bienes de inversión","","","sujeto","","","consu"
"account_tax_template_p_iva21_ibc","IVA 21% Importaciones bienes corrientes","","","sujeto","","","consu"
"account_tax_template_p_iva21_ibi","IVA 21% Importaciones bienes de inversión","","","sujeto","","","consu"
"account_tax_template_p_irpf21td","Retenciones IRPF (Trabajadores) dinerarios","","","retencion","","",""
"account_tax_template_p_iva4_sp_ex","IVA 4% Adquisición de servicios extracomunitarios","","","sujeto_isp","","","consu"
"account_tax_template_p_iva10_sp_ex","IVA 10% Adquisición de servicios extracomunitarios","","","sujeto_isp","","","consu"
"account_tax_template_p_iva21_sp_ex","IVA 21% Adquisición de servicios extracomunitarios","","","sujeto_isp","","","service"
"account_tax_template_p_iva4_ic_bc","IVA 4% Adquisición Intracomunitario. Bienes corrientes","","","sujeto","","","consu"
"account_tax_template_p_iva4_ic_bi","IVA 4% Adquisición Intracomunitario. Bienes de inversión","","","sujeto","","","consu"
"account_tax_template_p_iva10_ic_bc","IVA 10% Adquisición Intracomunitario. Bienes corrientes","","","sujeto","","","consu"
"account_tax_template_p_iva10_ic_bi","IVA 10% Adquisición Intracomunitario. Bienes de inversión","","","sujeto","","","consu"
"account_tax_template_s_iva0_sp_i","IVA 0% Prestación de servicios intracomunitario","","","no_sujeto","","","service"
"account_tax_template_s_iva_ns","No sujeto Repercutido (Servicios)","","","no_sujeto","","","service"
"account_tax_template_s_iva_ns_b","No sujeto Repercutido (Bienes)","","","no_sujeto","","","consu"
"account_tax_template_s_iva_e","IVA 0% Prestación de servicios extracomunitaria","","","no_sujeto_loc","","","service"
"account_tax_template_p_iva4_ibc","IVA 4% Importaciones bienes corrientes","","","sujeto","","","consu"
"account_tax_template_p_iva4_ibi","IVA 4% Importaciones bienes de inversión","","","sujeto","","","consu"
"account_tax_template_p_iva10_ibc","IVA 10% Importaciones bienes corrientes","","","sujeto","","","consu"
"account_tax_template_p_iva10_ibi","IVA 10% Importaciones bienes de inversión","","","sujeto","","","consu"
"account_tax_template_p_iva4_bi","4% IVA Soportado (bienes de inversión)","","","sujeto","True","","consu"
"account_tax_template_p_iva4_sc","4% IVA soportado (servicios corrientes)","","","sujeto","","","consu"
"account_tax_template_p_iva10_bi","10% IVA Soportado (bienes de inversión)","","","sujeto","True","","consu"
"account_tax_template_p_iva21_bi","21% IVA Soportado (bienes de inversión)","","","sujeto","True","","consu"
"account_tax_template_p_iva10_bc","10% IVA soportado (bienes corrientes)","","","sujeto","","","consu"
"account_tax_template_p_iva4_bc","4% IVA soportado (bienes corrientes)","","","sujeto","","","consu"
"account_tax_template_p_iva10_sc","10% IVA soportado (servicios corrientes)","","","sujeto","","","consu"
"account_tax_template_s_iva0","IVA Exento Repercutido Sujeto","","","exento","","E1",""
"account_tax_template_s_iva0_ns","IVA Exento Repercutido No Sujeto","","","ignore","","",""
"account_tax_template_s_req05","0.50% Recargo Equivalencia Ventas","","","recargo","","",""
"account_tax_template_s_iva4b","IVA 4% (Bienes)","","","sujeto","","","consu"
"account_tax_template_s_iva10b","IVA 10% (Bienes)","","","sujeto","","","consu"
"account_tax_template_p_iva0_nd","21% IVA Soportado no deducible","","","no_deducible","","",""
"account_tax_template_p_iva10_nd","10% IVA Soportado no deducible","","","no_deducible","","",""
"account_tax_template_p_iva4_nd","4% IVA Soportado no deducible","","","no_deducible","","",""
"account_tax_template_s_iva4s","IVA 4% (Servicios)","","","sujeto","","","service"
"account_tax_template_s_iva10s","IVA 10% (Servicios)","","","sujeto","","","service"
"account_tax_template_s_req014","1.4% Recargo Equivalencia Ventas","","","recargo","","",""
"account_tax_template_s_req52","5.2% Recargo Equivalencia Ventas","","","recargo","","",""
"account_tax_template_p_iva0_bc","IVA Soportado exento (operaciones corrientes)","","","sujeto","","","consu"
"account_tax_template_p_iva0_ns","IVA Soportado no sujeto (Servicios)","","","no_sujeto","","","service"
"account_tax_template_p_iva0_ns_b","IVA Soportado no sujeto (Bienes)","","","no_sujeto","","","consu"
"account_tax_template_s_irpf9","Retenciones a cuenta IRPF 9%","","","retencion","","",""
"account_tax_template_s_irpf18","Retenciones a cuenta IRPF 18%","","","retencion","","",""
"account_tax_template_s_irpf19","Retenciones a cuenta IRPF 19%","","","retencion","","",""
"account_tax_template_s_irpf19a","Retenciones a cuenta 19% (Arrendamientos)","","","retencion","","",""
