"id","code","name","account_type","reconcile","tag_ids"
"ua_ias_1000","1000","Назви брендів","asset_fixed","False",""
"ua_ias_1001","1001","Заголовки та назви видань","asset_fixed","False",""
"ua_ias_1002","1002","Комп’ютерне програмне забезпечення","asset_fixed","False",""
"ua_ias_1003","1003","Ліцензії та привілеї","asset_fixed","False",""
"ua_ias_1004","1004","Авторські права, патенти, та інші права","asset_fixed","False",""
"ua_ias_1005","1005","Нематеріальні активи на етапі розробки","asset_fixed","False",""
"ua_ias_1009","1009","Амортизація нематеріальних активів","expense_depreciation","False",""
"ua_ias_1010","1010","Земля","asset_fixed","False",""
"ua_ias_1011","1011","Будівлі","asset_fixed","False",""
"ua_ias_1012","1012","Машини та обладнання","asset_fixed","False",""
"ua_ias_1013","1013","Автомобілі","asset_fixed","False",""
"ua_ias_1014","1014","Меблі та приладдя","asset_fixed","False",""
"ua_ias_1015","1015","Офісне обладнання","asset_fixed","False",""
"ua_ias_1019","1019","Амортизація основних засобів","expense_depreciation","False",""
"ua_ias_1020","1020","Гудвіл","asset_fixed","False",""
"ua_ias_1030","1030","Біологічні активи","asset_fixed","False",""
"ua_ias_1040","1040","Інвестиції","asset_fixed","False",""
"ua_ias_1100","1100","Запаси (Склад)","asset_current","False",""
"ua_ias_1101","1101","Незавершене виробництво","asset_current","False",""
"ua_ias_1102","1102","Готова продукція","asset_current","False",""
"ua_ias_1120","1120","Дебіторська заборгованість за товари та послуги","asset_receivable","True",""
"ua_ias_1121","1121","Відвантажено зі складу без рахунку-фактури","asset_current","True",""
"ua_ias_1122","1122","Дебіторська заборгованість за товари та послуги (PoS)","asset_receivable","True",""
"ua_ias_1130","1130","Аванси партнерам","liability_payable","True",""
"ua_ias_1131","1131","Інші оборотні активи","liability_payable","True",""
"ua_ias_1140","1140","Податковий кредит по ПДВ","asset_current","False",""
"ua_ias_1141","1141","Аванс по податку на прибуток","liability_payable","True",""
"ua_ias_1142","1142","Кошти на СЕА ПДВ","liability_payable","True",""
"ua_ias_1143","1143","Переплата по лицьовому рахунку з ПДВ","asset_current","False",""
"ua_ias_1144","1144","Аванс по ЄСВ","liability_payable","True",""
"ua_ias_1150","1150","Короткострокові фінансові інвестиції","asset_current","False",""
"ua_ias_1160","1160","Довгострокові інвестиції","asset_non_current","False",""
"ua_ias_1170","1170","Довгострокова дебіторська заборгованість","asset_non_current","False",""
"ua_ias_1180","1180","Відстрочені податкові активи","asset_non_current","False",""
"ua_ias_1200","1200","Кредиторська заборгованість за товари та послуги","liability_payable","True",""
"ua_ias_1201","1201","Отримано на склад без рахунку-фактури","liability_current","True",""
"ua_ias_1202","1202","Податок на прибуток","liability_payable","True",""
"ua_ias_1203","1203","ПДВ","liability_payable","True","l10n_ua.acc_tag_vat"
"ua_ias_1204","1204","Податкові зобов’язання по ПДВ","liability_current","False",""
"ua_ias_1205","1205","ПДФО","liability_payable","True",""
"ua_ias_12051","12051","Військовий збір","liability_payable","True",""
"ua_ias_1206","1206","ЄСВ","liability_payable","True",""
"ua_ias_1207","1207","Інші податки","liability_payable","True",""
"ua_ias_1208","1208","Заробітна плата та винагороди","liability_payable","True",""
"ua_ias_1210","1210","Аванси одержані від покупців та замовників","asset_receivable","True",""
"ua_ias_1220","1220","Інші короткострокові зобов’язання","liability_current","False",""
"ua_ias_1230","1230","Короткострокові позики","liability_current","False",""
"ua_ias_1240","1240","Короткострокова частка за довгострокові позики","liability_current","False",""
"ua_ias_1300","1300","Довгострокові позики","liability_non_current","False",""
"ua_ias_1301","1301","Довгострокові кредити","liability_non_current","False",""
"ua_ias_1302","1302","Іпотека","liability_non_current","False",""
"ua_ias_1310","1310","Відстрочені податкові зобов’язання","liability_non_current","False",""
"ua_ias_1320","1320","Витрати майбутніх періодів","liability_non_current","False",""
"ua_ias_1330","1330","Інші довгострокові зобов’язання","liability_non_current","False",""
"ua_ias_1400","1400","Статутний капітал","equity","False",""
"ua_ias_1401","1401","Емісійний фонд","equity","False",""
"ua_ias_1402","1402","Вилучений капітал","equity","False",""
"ua_ias_1403","1403","Додатковий оплачений капітал","equity","False",""
"ua_ias_1404","1404","Резерв переоцінки","equity","False",""
"ua_ias_1405","1405","Неоплачений капітал","equity","False",""
"ua_ias_1406","1406","Нерозподілений прибуток (непокритий збиток)","equity","False",""
"ua_ias_1407","1407","Частка меншості","equity","False",""
"ua_ias_1408","1408","Ефект курсових різниць","equity","False",""
"ua_ias_2000","2000","Дохід від продажу (категорія № 1)","income","False",""
"ua_ias_2001","2001","Дохід від продажу (категорія № 2)","income","False",""
"ua_ias_2002","2002","Дохід від продажу (категорія № 3)","income","False",""
"ua_ias_2003","2003","Дохід від продажу (категорія № 4)","income","False",""
"ua_ias_2100","2100","Фінансовий результат","equity_unaffected","False",""
"ua_ias_2200","2200","Собівартість продажу (категорія № 1)","expense_direct_cost","False",""
"ua_ias_2201","2201","Собівартість продажу (категорія № 2)","expense_direct_cost","False",""
"ua_ias_2202","2202","Собівартість продажу (категорія № 3)","expense_direct_cost","False",""
"ua_ias_2203","2203","Собівартість продажу (категорія № 4)","expense_direct_cost","False",""
"ua_ias_2300","2300","Адміністративні витрати","expense","False",""
"ua_ias_2400","2400","Витрати на збут","expense","False",""
"ua_ias_2500","2500","Інші витрати","expense","False",""
"ua_ias_2600","2600","Податок на прибуток","expense","False",""
