id,code,name
l10n_eg_edi_uom_code_A93,A93,Gram/Cubic meter ( g/m3 )
l10n_eg_edi_uom_code_A94,A94,Gram/cubic centimeter ( g/cm3 )
l10n_eg_edi_uom_code_ANN,ANN,Years ( yr )
l10n_eg_edi_uom_code_BAR,BAR,bar ( bar )
l10n_eg_edi_uom_code_BBL,BBL,Barrel (oil 42 gal.)
l10n_eg_edi_uom_code_BG,BG,Bag ( Bag )
l10n_eg_edi_uom_code_BO,BO,Bottle ( Bt. )
l10n_eg_edi_uom_code_BOX,BOX,Box
l10n_eg_edi_uom_code_C45,C45,Nanometer ( nm )
l10n_eg_edi_uom_code_C62,C62,Activity unit ( AU )
l10n_eg_edi_uom_code_CA,CA,Canister ( Can )
l10n_eg_edi_uom_code_CMK,CMK,Square centimeter ( cm2 )
l10n_eg_edi_uom_code_CMQ,CMQ,Cubic centimeter ( cm3 )
l10n_eg_edi_uom_code_CMT,CMT,Centimeter ( cm )
l10n_eg_edi_uom_code_CS,CS,Case ( Case )
l10n_eg_edi_uom_code_CT,CT,Carton ( Car )
l10n_eg_edi_uom_code_CTL,CTL,Centiliter ( Cl )
l10n_eg_edi_uom_code_D10,D10,Siemens per meter ( S/m )
l10n_eg_edi_uom_code_D41,D41,Ton/Cubic meter ( t/m3 )
l10n_eg_edi_uom_code_DAY,DAY,Days ( d )
l10n_eg_edi_uom_code_DMT,DMT,Decimeter ( dm )
l10n_eg_edi_uom_code_EA,EA,each (ST) ( ST )
l10n_eg_edi_uom_code_FAR,FAR,Farad ( F )
l10n_eg_edi_uom_code_FOT,FOT,Foot ( Foot )
l10n_eg_edi_uom_code_FTK,FTK,Square foot ( ft2 )
l10n_eg_edi_uom_code_FTQ,FTQ,Cubic foot ( ft3 )
l10n_eg_edi_uom_code_G42,G42,Microsiemens per centimeter ( microS/cm )
l10n_eg_edi_uom_code_GL,GL,Gram/liter ( g/l )
l10n_eg_edi_uom_code_GLL,GLL,gallon ( gal )
l10n_eg_edi_uom_code_GM,GM,Gram/square meter ( g/m2 )
l10n_eg_edi_uom_code_GPT,GPT,Gallon per thousand
l10n_eg_edi_uom_code_GRM,GRM,Gram ( g )
l10n_eg_edi_uom_code_H63,H63,Milligram/Square centimeter ( mg/cm2 )
l10n_eg_edi_uom_code_HHP,HHP,Hydraulic Horse Power
l10n_eg_edi_uom_code_HLT,HLT,Hectoliter ( hl )
l10n_eg_edi_uom_code_HUR,HUR,Hours ( hrs )
l10n_eg_edi_uom_code_IE,IE,Number of Persons ( PRS )
l10n_eg_edi_uom_code_INH,INH,Inch ( “” )
l10n_eg_edi_uom_code_INK,INK,Square inch ( Inch2 )
l10n_eg_edi_uom_code_IVL,IVL,Interval
l10n_eg_edi_uom_code_JOB,JOB,JOB
l10n_eg_edi_uom_code_KGM,KGM,Kilogram ( KG )
l10n_eg_edi_uom_code_KHZ,KHZ,Kilohertz ( kHz )
l10n_eg_edi_uom_code_KMH,KMH,Kilometer/hour ( km/h )
l10n_eg_edi_uom_code_KMK,KMK,Square kilometer ( km2 )
l10n_eg_edi_uom_code_KMQ,KMQ,Kilogram/cubic meter ( kg/m3 )
l10n_eg_edi_uom_code_KMT,KMT,Kilometer ( km )
l10n_eg_edi_uom_code_KSM,KSM,Kilogram/Square meter ( kg/m2 )
l10n_eg_edi_uom_code_KVT,KVT,Kilovolt ( kV )
l10n_eg_edi_uom_code_KWT,KWT,Kilowatt ( KW )
l10n_eg_edi_uom_code_LB,LB,pounds
l10n_eg_edi_uom_code_LTR,LTR,Liter ( l )
l10n_eg_edi_uom_code_LVL,LVL,Level
l10n_eg_edi_uom_code_M,M,Meter ( m )
l10n_eg_edi_uom_code_MAN,MAN,Man
l10n_eg_edi_uom_code_MGM,MGM,Milligram ( mg )
l10n_eg_edi_uom_code_MIN,MIN,Minute ( min )
l10n_eg_edi_uom_code_MMK,MMK,Square millimeter ( mm2 )
l10n_eg_edi_uom_code_MMQ,MMQ,Cubic millimeter ( mm3 )
l10n_eg_edi_uom_code_MMT,MMT,Millimeter ( mm )
l10n_eg_edi_uom_code_MON,MON,Months ( Months )
l10n_eg_edi_uom_code_MTK,MTK,Square meter ( m2 )
l10n_eg_edi_uom_code_MTQ,MTQ,Cubic meter ( m3 )
l10n_eg_edi_uom_code_ONZ,ONZ,Ounce ( oz )
l10n_eg_edi_uom_code_PAL,PAL,Pascal ( Pa )
l10n_eg_edi_uom_code_PF,PF,Pallet ( PAL )
l10n_eg_edi_uom_code_PK,PK,Pack ( PAK )
l10n_eg_edi_uom_code_PMP,PMP,pump
l10n_eg_edi_uom_code_RUN,RUN,run
l10n_eg_edi_uom_code_SH,SH,Shrink ( Shrink )
l10n_eg_edi_uom_code_SK,SK,Sack
l10n_eg_edi_uom_code_SMI,SMI,Mile ( mile )
l10n_eg_edi_uom_code_ST,ST,"Ton (short,2000 lb)"
l10n_eg_edi_uom_code_TNE,TNE,Tonne ( t )
l10n_eg_edi_uom_code_TON,TON,Ton (metric)
l10n_eg_edi_uom_code_VLT,VLT,Volt ( V )
l10n_eg_edi_uom_code_WEE,WEE,Weeks ( Weeks )
l10n_eg_edi_uom_code_WTT,WTT,Watt ( W )
l10n_eg_edi_uom_code_X03,X03,Meter/Hour ( m/h )
l10n_eg_edi_uom_code_YDQ,YDQ,Cubic yard ( yd3 )
l10n_eg_edi_uom_code_YRD,YRD,Yards ( yd )
