id,code,name,name@ar
l10n_eg_activity_type_0111,0111,"Cultivation of grains and crops (except for rice), legumes and oilseeds",زراعة الحبوب والمحاصيل ( فيما عدا الارز ) والبقوليات والحبوب الزيتية
l10n_eg_activity_type_0112,0112,Cultivation of rice,زراعة الارز
l10n_eg_activity_type_0113,0113,"Growing vegetables, melons, roots and tubers",زراعة الخضر ؤالبطيخ والجذور والدرنات
l10n_eg_activity_type_0114,0114,Cultivation of sugar cane,زراعة قصب السكر
l10n_eg_activity_type_0115,0115,Tobacco cultivation,زراعة التبغ
l10n_eg_activity_type_0116,0116,Growing fiber crops,زراعة المحاصيل ذات الالياف
l10n_eg_activity_type_0119,0119,Cultivation of other non-perennial crops,زراعة المحاصيل غير المعمرة الاخرى
l10n_eg_activity_type_0121,0121,the cultivation of grapevines.,زراعة الكروم
l10n_eg_activity_type_0122,0122,Growing tropical and subtropical fruits,زراعة الفواكه الاستوائية وشبه الاستوائية
l10n_eg_activity_type_0123,0123,Cultivation of citrus fruits,زراعة الموالح
l10n_eg_activity_type_0124,0124,Cultivation of fruit with Date kernel and from palm trees,زراعة الفواكة ذات النواة والناتجة عن انواع النخيل
l10n_eg_activity_type_0125,0125,Plant fruit trees and shrubs and other nuts,زراعة أشجار وشجيرات الفواكهة والمكسرات الاخرى
l10n_eg_activity_type_0126,0126,Growing oil fruits,زراعة الفواكهة الزيتية
l10n_eg_activity_type_0127,0127,Cultivation of the crops from which drinks are extracted,زراعة المحاصيل التى تستخرج منها المشروبات
l10n_eg_activity_type_0128,0128,"Cultivation of spice crops, aromatics, medicine and pharmaceutical drugs",زراعة محاصيل التوابل والعطريات والادوية والعقاقير الصيدلانية
l10n_eg_activity_type_0129,0129,Cultivation of other perennial crops,زراعة المحاصيل المعمرة الاخرى
l10n_eg_activity_type_0130,0130,Crop breeding,تكاثر المحاصيل
l10n_eg_activity_type_0141,0141,Breeding of cattle and buffalo,تربية الماشية والجواميس
l10n_eg_activity_type_0142,0142,Breeding of horses and mare,تربية الخيول و الفرس
l10n_eg_activity_type_0143,0143,Breeding of camels,تربية الجمال والهجن
l10n_eg_activity_type_0144,0144,Breeding sheep and goats,تربية الخراف والماعز
l10n_eg_activity_type_0145,0145,Breeding of Pig,تربية الحنازير
l10n_eg_activity_type_0146,0146,Poultry farming,تربية الدواجن
l10n_eg_activity_type_0149,0149,Breeding other animals,تربية الحيوانات الاخرى
l10n_eg_activity_type_0150,0150,Mixed education,التربية المختلطة
l10n_eg_activity_type_0161,0161,Support activities for crop production,الانشطة الداعمة لانتاج المحاصيل
l10n_eg_activity_type_0162,0162,Activities in support of animal production,الانشطة الداعمة لانتاج الحيوانات
l10n_eg_activity_type_0163,0163,Post-harvest activities,الانشطة اللاحقة لحصاد المحاصيل
l10n_eg_activity_type_0164,0164,Preparing grains for reproduction,تجهيز الحبوب للتكاثر
l10n_eg_activity_type_0170,0170,"Hunting, erection, and related service activities",الصيد ونصب الاشراك وانشطة الخدمات ذات الصلة
l10n_eg_activity_type_0210,0210,Forest care and forest-related activities,رعاية الغابات والانشطة المتصلة بالغابات
l10n_eg_activity_type_0220,0220,Wood cutting,قطع الاخشاب
l10n_eg_activity_type_0230,0230,Assembling non-wood forest products,تجميع المنتجات غير الخشبية بالغابات
l10n_eg_activity_type_0240,0240,Forest support services,الخدمات الداعمة للغابات
l10n_eg_activity_type_0311,0311,Fishing,الصيد البحرى
l10n_eg_activity_type_0312,0312,River fishing,الصيد النهرى
l10n_eg_activity_type_0321,0321,Marine farms,المزارع البحرية
