"id","parent_id","active","code","name","description","reconcile","account_type","tax_ids","depreciation_model_id","name@es","description@es"
"l10n_co_group_1","","False","1","Assets","","","asset_non_current","","","Activo",""
"l10n_co_group_11","l10n_co_group_1","False","11","Cash and Cash Equivalents","","","asset_current","","","Disponible",""
"l10n_co_group_1120","l10n_co_group_11","False","1120","Savings Accounts","","","asset_current","","","Cuentas de ahorro",""
"l10n_co_group_1125","l10n_co_group_11","False","1125","Funds","","","asset_current","","","Fondos",""
"l10n_co_group_12","l10n_co_group_1","False","12","Investments","","","asset_current","","","Inversiones",""
"l10n_co_group_1205","l10n_co_group_12","False","1205","Stocks","","","asset_current","","","Acciones",""
"l10n_co_group_1210","l10n_co_group_12","False","1210","Quotas or Shares of Social Interest","","","asset_current","","","Cuotas o partes de interés social",""
"l10n_co_group_1215","l10n_co_group_12","False","1215","Bonds","","","asset_current","","","Bonos",""
"l10n_co_group_1220","l10n_co_group_12","False","1220","Notes","","","asset_current","","","Cédulas",""
"l10n_co_group_1225","l10n_co_group_12","False","1225","Certificates","","","asset_current","","","Certificados",""
"l10n_co_group_1230","l10n_co_group_12","False","1230","Commercial Papers","","","asset_current","","","Papeles comerciales",""
"l10n_co_group_1235","l10n_co_group_12","False","1235","Securities","","","asset_current","","","Títulos",""
"l10n_co_group_1240","l10n_co_group_12","False","1240","Bank or Financial Acceptances","","","asset_current","","","Aceptaciones bancarias o financieras",""
"l10n_co_group_1245","l10n_co_group_12","False","1245","Fiduciary Rights","","","asset_current","","","Derechos fiduciarios",""
"l10n_co_group_1250","l10n_co_group_12","False","1250","Repurchase Rights on Negotiated Investments","","","asset_current","","","Derechos de recompra de inversiones negociadas",""
"l10n_co_group_1255","l10n_co_group_12","False","1255","Mandatory","","","asset_current","","","Obligatorias",""
"l10n_co_group_1260","l10n_co_group_12","False","1260","Joint Venture Accounts","","","asset_current","","","Cuentas en participación",""
"l10n_co_group_1295","l10n_co_group_12","False","1295","Other Investments","","","asset_current","","","Otras inversiones",""
"l10n_co_group_1299","l10n_co_group_12","False","1299","Provisions","","","asset_current","","","Provisiones",""
"l10n_co_group_13","l10n_co_group_1","False","13","Debtors","","","asset_current","","","Deudores",""
"l10n_co_group_1305","l10n_co_group_13","False","1305","Clients","","","asset_receivable","","","Clientes",""
"l10n_co_group_1310","l10n_co_group_13","False","1310","Commercial Current Accounts","","","asset_receivable","","","Cuentas corrientes comerciales",""
"l10n_co_group_1315","l10n_co_group_13","False","1315","Accounts Receivable from Parent Company","","","asset_receivable","","","Cuentas por cobrar a casa matriz",""
"l10n_co_group_1320","l10n_co_group_13","False","1320","Accounts Receivable from Related Parties","","","asset_receivable","","","Cuentas por cobrar a vinculados económicos",""
"l10n_co_group_1323","l10n_co_group_13","False","1323","Accounts Receivable from Directors","","","asset_receivable","","","Cuentas por cobrar a directores",""
"l10n_co_group_1325","l10n_co_group_13","False","1325","Accounts Receivable from Partners and Shareholders","","","asset_receivable","","","Cuentas por cobrar a socios y accionistas",""
