id,name,name@es,code_prefix_start,code_prefix_end
l10n_co_group_1,Assets,Activo,1,1
l10n_co_group_11,Cash and Cash Equivalents,Disponible,11,11
l10n_co_group_1105,Cash on Hand,Caja,1105,1105
l10n_co_group_1110,Banks,Bancos,1110,1110
l10n_co_group_1115,Remittances in Transit,Remesas en tránsito,1115,1115
l10n_co_group_1120,Savings Accounts,Cuentas de ahorro,1120,1120
l10n_co_group_1125,Funds,Fondos,1125,1125
l10n_co_group_12,Investments,Inversiones,12,12
l10n_co_group_1205,Stocks,Acciones,1205,1205
l10n_co_group_1210,Quotas or Shares of Social Interest,Cuotas o partes de interés social,1210,1210
l10n_co_group_1215,Bonds,Bonos,1215,1215
l10n_co_group_1220,Notes,Cédulas,1220,1220
l10n_co_group_1225,Certificates,Certificados,1225,1225
l10n_co_group_1230,Commercial Papers,Papeles comerciales,1230,1230
l10n_co_group_1235,Securities,Títulos,1235,1235
l10n_co_group_1240,Bank or Financial Acceptances,Aceptaciones bancarias o financieras,1240,1240
l10n_co_group_1245,Fiduciary Rights,Derechos fiduciarios,1245,1245
l10n_co_group_1250,Repurchase Rights on Negotiated Investments,Derechos de recompra de inversiones negociadas,1250,1250
l10n_co_group_1255,Mandatory,Obligatorias,1255,1255
l10n_co_group_1260,Joint Venture Accounts,Cuentas en participación,1260,1260
l10n_co_group_1295,Other Investments,Otras inversiones,1295,1295
l10n_co_group_1299,Provisions,Provisiones,1299,1299
l10n_co_group_13,Debtors,Deudores,13,13
l10n_co_group_1305,Clients,Clientes,1305,1305
l10n_co_group_1310,Commercial Current Accounts,Cuentas corrientes comerciales,1310,1310
l10n_co_group_1315,Accounts Receivable from Parent Company,Cuentas por cobrar a casa matriz,1315,1315
l10n_co_group_1320,Accounts Receivable from Related Parties,Cuentas por cobrar a vinculados económicos,1320,1320
l10n_co_group_1323,Accounts Receivable from Directors,Cuentas por cobrar a directores,1323,1323
l10n_co_group_1325,Accounts Receivable from Partners and Shareholders,Cuentas por cobrar a socios y accionistas,1325,1325
l10n_co_group_1328,Contributions Receivable,Aportes por cobrar,1328,1328
l10n_co_group_1330,Advances and Down Payments,Anticipos y avances,1330,1330
l10n_co_group_1332,Joint Operation Accounts,Cuentas de operación conjunta,1332,1332
l10n_co_group_1335,Deposits,Depósitos,1335,1335
l10n_co_group_1340,Purchase and Sale Agreements,Promesas de compra venta,1340,1340
l10n_co_group_1345,Income Receivable,Ingresos por cobrar,1345,1345
l10n_co_group_1350,Retention on Contracts,Retención sobre contratos,1350,1350
l10n_co_group_1355,Advance Payments of Taxes and Contributions or Balances in Favor,Anticipo de impuestos y contribuciones o saldos a favor,1355,1355
l10n_co_group_1360,Claims,Reclamaciones,1360,1360
l10n_co_group_1365,Accounts Receivable from Employees,Cuentas por cobrar a trabajadores,1365,1365
l10n_co_group_1370,Loans to Individuals,Préstamos a particulares,1370,1370
l10n_co_group_1380,Miscellaneous Debtors,Deudores varios,1380,1380
l10n_co_group_1385,Repurchase Rights on Negotiated Portfolio,Derechos de recompra de cartera negociada,1385,1385
l10n_co_group_1390,Bad Debts,Deudas de difícil cobro,1390,1390
l10n_co_group_1399,Provisions,Provisiones,1399,1399
