"id","code_prefix_start","code_prefix_end","name","name@fr"
"group_10","10","10","Capital","Capital"
"group_104","104","104","Social capital premiums","Primes liées au capital social"
"group_105","105","105","Endowment fund","Fonds de dotation"
"group_11","11","11","Reserves","Réserves"
"group_12","12","12","Carry forward","Report à Nouveau"
"group_13","13","13","Result","Résultat"
"group_14","14","14","Equipment subsidies","Subventions d’équipement"
"group_15","15","15","Provisions","Provisions"
"group_150","150","150","More reinvested values","Plus values réinvesties"
"group_151","151","151","Revaluation deviation","Ecarts de réévaluation"
"group_152","152","152","Regulated provisions","Provisions règlementées"
"group_16","16","16","Borrowed and assimilated debts","Emprunts et dettes assimilées"
"group_165","165","165","Deposits and guarantees received","Dépôts et cautionnements reçus"
"group_167","167","167","Borrowing and debts with special conditions","Emprunts et dettes assortis de conditions particulières"
"group_168","168","168","Other borrowings and assimilated debts","Autres emprunts et dettes assimilées"
"group_17","17","17","Debts attached to participations","Dettes rattachées à des participations"
"group_178","178","178","Debts attached to participation companies","Dettes rattachées à des sociétés en participation"
"group_18","18","18","Liaison accounts of establishments and companies in Access","Comptes de liaison des établissements et sociétés en participation "
"group_19","19","19","Provisions for risks and charges","Provisions pour risques et Charges"
"group_20","20","20","Intangible fixed assets","Immobilisations incorporelles"
"group_201","201","201","Establishment","Frais d'établissement"
"group_203","203","203","Research and development fees","Frais de Recherche et de développement"
"group_21","21","21","Corporal fixed assets","Immobilisations corporelles"
"group_210","210","210","Land","Terrains"
"group_211","211","211","Land development arrangement","Agencement Aménagement Terrains"
"group_212","212","212","Buildings","Bâtiments"
"group_213","213","213","Constructions","Constructions"
"group_214","214","214","Operating equipment","Matériel d’exploitation"
"group_215","215","215","Transport equipment","Matériel de transport"
"group_216","216","216","Office and IT equipment"," Matériel de bureau et informatique"
"group_217","217","217","Livestock","Cheptel"
"group_218","218","218","Other bodily fixed assets","Autres immobilisations corporelles"
"group_22","22","22","Fixed assets in concession","Immobilisations mises en concession"
"group_23","23","23","Current fixed assets","Immobilisations en cours"
