"id","name","country_id","auto_apply","vat_required","sequence","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@ro"
"fiscal_position_template_1","National Regime (VAT)","base.ro","1","1","10","","","","Regimul național (TVA)"
"fiscal_position_template_11","National Regime","base.ro","1","","11","","","","Regimul National"
"fiscal_position_template_2","Reverse Tax Regime","base.ro","","1","12","","tvac_00","tvati","Regime de taxare inversă"
"","","","","","","","tvac_05","tvati",""
"","","","","","","","tvac_09","tvati",""
"","","","","","","","tvac_11","tvati",""
"","","","","","","","tvac_19","tvati",""
"","","","","","","","tvac_21","tvati",""
"","","","","","","","tvac_00_s","tvati",""
"","","","","","","","tvac_05_s","tvati",""
"","","","","","","","tvac_09_s","tvati",""
"","","","","","","","tvac_11_s","tvati",""
"","","","","","","","tvac_19_s","tvati",""
"","","","","","","","tvac_21_s","tvati",""
"","","","","","","","tvad_00","tvatip00",""
"","","","","","","","tvad_05","tvatip05",""
"","","","","","","","tvad_09","tvatip09",""
"","","","","","","","tvad_11","tvatip11",""
"","","","","","","","tvad_19","tvatip19",""
"","","","","","","","tvad_21","tvatip21",""
"","","","","","","","tvad_00_s","tvatip00",""
"","","","","","","","tvad_05_s","tvatip05",""
"","","","","","","","tvad_09_s","tvatip09",""
"","","","","","","","tvad_11_s","tvatip11",""
"","","","","","","","tvad_19_s","tvatip19",""
"","","","","","","","tvad_21_s","tvatip21",""
"fiscal_position_template_8","VAT collection system","base.ro","","1","13","","tvac_00","tvaic_00","Sistem de colectare TVA"
"","","","","","","","tvac_05","tvaic_05",""
"","","","","","","","tvac_09","tvaic_09",""
"","","","","","","","tvac_11","tvaic_11",""
"","","","","","","","tvac_19","tvaic_19",""
"","","","","","","","tvac_21","tvaic_21",""
"","","","","","","","tvac_00_s","tvaic_00",""
"","","","","","","","tvac_05_s","tvaic_05",""
"","","","","","","","tvac_09_s","tvaic_09",""
"","","","","","","","tvac_11_s","tvaic_11",""
"","","","","","","","tvac_19_s","tvaic_19",""
"","","","","","","","tvac_21_s","tvaic_21",""
"","","","","","","","tvad_00","tvaid_00",""
"","","","","","","","tvad_05","tvaid_05",""
"","","","","","","","tvad_09","tvaid_09",""
"","","","","","","","tvad_11","tvaid_11",""
"","","","","","","","tvad_19","tvaid_19",""
"","","","","","","","tvad_21","tvaid_21",""
"","","","","","","","tvad_00_s","tvaid_00",""
"","","","","","","","tvad_05_s","tvaid_05",""
"","","","","","","","tvad_09_s","tvaid_09",""
"","","","","","","","tvad_11_s","tvaid_11",""
"","","","","","","","tvad_19_s","tvaid_19",""
"","","","","","","","tvad_21_s","tvaid_21",""
"fiscal_position_template_3","Intra-Community Scheme (VAT)","","1","1","14","base.europe","tvac_00","tvati_intrab","Schema intracomunitară (TVA)"
"","","","","","","","tvac_05","tvati_intrab",""
"","","","","","","","tvac_09","tvati_intrab",""
"","","","","","","","tvac_11","tvati_intrab",""
"","","","","","","","tvac_19","tvati_intrab",""
"","","","","","","","tvac_21","tvati_intrab",""
