"id","name","code_prefix_start","code_prefix_end","name@ro"
"account_group_1","CAPITAL ACCOUNTS, PROVISIONS, LOANS AND SIMILAR LIABILITIES","1","","CONTURI DE CAPITALURI, PROVIZIOANE, ÎMPRUMUTURI ȘI DATORII ASIMILATE"
"account_group_10","Capital and reserves","10","","Capital și rezerve"
"account_group_101","Capital","101","","Capital"
"account_group_103","Other elements of equity","103","","Alte elemente de capitaluri proprii"
"account_group_104","capital premiums","104","","Prime de capital"
"account_group_106","Reserves","106","","Rezerve"
"account_group_108","Non-controlling interests","108","","Interese care nu controlează"
"account_group_109","Own shares","109","","Acțiuni proprii"
"account_group_11","Reported result","11","","Rezultatul reportat"
"account_group_117","Own shares","117","","Acțiuni proprii"
"account_group_12","Financial year result","12","","Rezultatul exercițiului financiar"
"account_group_14","Gains or losses on the issue, redemption, sale, free transfer or cancellation of equity instruments","14","","Câștiguri sau pierderi legate de emiterea, răscumpărarea, vânzarea, cedarea cu titlu gratuit sau anularea instrumentelor de capitaluri proprii"
"account_group_141","Gains on the sale or cancellation of equity instruments","141","","Câștiguri legate de vânzarea sau anularea instrumentelor de capitaluri proprii"
"account_group_149","Losses on the issue, redemption, sale, free transfer or cancellation of equity instruments","149","","Pierderi legate de emiterea, răscumpărarea, vânzarea, cedarea cu titlu gratuit sau anularea instrumentelor de capitaluri proprii"
"account_group_15","Provisions","15","","Provizioane"
"account_group_151","Provisions","151","","Provizioane"
"account_group_16","Loans and similar liabilities","16","","Împrumuturi și datorii asimilate"
"account_group_161","Loans from bond issues","161","","Împrumuturi din emisiuni de obligațiuni"
"account_group_162","Long-term bank loans","162","","Credite bancare pe termen lung"
"account_group_166","Liabilities related to financial assets","166","","Datorii care privesc imobilizările financiare"
"account_group_168","Interest on loans and similar liabilities","168","","Dobânzi aferente împrumuturilor și datoriilor asimilate"
"account_group_169","Premiums on repayment of bonds and other liabilities","169","","Prime privind rambursarea obligațiunilor și a altor datorii"
"account_group_2","FIXED ACCOUNTS","2","","CONTURI DE IMOBILIZĂRI"
"account_group_20","Intangible assets","20","","Imobilizări necorporale"
"account_group_207","Goodwill","207","","Fond comercial"
"account_group_21","Tangible assets","21","","Imobilizări corporale"
"account_group_211","Land and land development","211","","Terenuri și amenajări de terenuri"
"account_group_213","Technical installations and means of transport","213","","Instalații tehnice și mijloace de transport"
"account_group_22","Tangible assets in progress","22","","Imobilizări corporale în curs de aprovizionare"
"account_group_23","Assets in progress","23","","Imobilizări în curs"
"account_group_26","Financial assets","26","","Imobilizări financiare"
"account_group_267","Fixed receivables","267","","Creanțe imobilizate"
"account_group_269","Payments to be made for financial assets","269","","Vărsăminte de efectuat pentru imobilizări financiare"
"account_group_28","Depreciation on fixed assets","28","","Amortizări privind imobilizările"
"account_group_280","Depreciation on intangible assets","280","","Amortizări privind imobilizările necorporale"
"account_group_281","Depreciation on tangible assets","281","","Amortizări privind imobilizările corporale"
"account_group_29","Adjustments for depreciation or loss of value of fixed assets","29","","Ajustări pentru deprecierea sau pierderea de valoare a imobilizărilor"
"account_group_290","Adjustments for impairment of intangible assets","290","","Ajustări pentru deprecierea imobilizărilor necorporale"
"account_group_291","Adjustments for depreciation of tangible assets","291","","Ajustări pentru deprecierea imobilizărilor corporale"
"account_group_293","Adjustments for impairment of assets under construction","293","","Ajustări pentru deprecierea imobilizărilor în curs de execuție"
"account_group_296","Adjustments for the loss of value of financial assets","296","","Ajustări pentru pierderea de valoare a imobilizărilor financiare"
