"id","code","name","parent_id:id","notprintable","sign"
"tc_01",0,"FDRE",,,1.0
"tc_02",100,"Taxable Purchases - VAT","tc_01",False,1.0
"tc_03",110,"Taxable Purchase VAT Out of Scope","tc_02",False,1.0
"tc_04",120,"Taxable Purchase VAT Exempt","tc_02",False,1.0
"tc_05",130,"Taxable Purchase VAT Rated 0%","tc_02",False,1.0
"tc_06",140,"Taxable Purchase VAT Rated 15%","tc_02",False,1.0
"tc_07",200,"Taxable Purchases - Witholding","tc_01",False,1.0
"tc_08",220,"Taxable 2% Withholding on Purchases","tc_07",False,1.0
"tc_09",225,"Taxable 35% Withholding on Purchases","tc_07",False,1.0
"tc_10",250,"Taxable Sales - VAT","tc_01",False,1.0
"tc_11",255,"Taxable Sales VAT Out of Scope (Sales)","tc_10",False,1.0
"tc_12",260,"Taxable Sales VAT Exempt","tc_10",False,1.0
"tc_13",265,"Taxable Sales VAT Rated 0%","tc_10",False,1.0
"tc_14",270,"Taxable Sales VAT Rated 15%","tc_10",False,1.0
"tc_15",280,"Taxable Sales - Withholding","tc_01",False,1.0
"tc_16",285,"Taxable 2% Withholding on Sales","tc_15",False,1.0
"tc_17",290,"Taxable 35% Withholding on Sales","tc_15",False,1.0
"tc_18",295,"Taxable VAT Withholding on Sales","tc_15",False,1.0
"tc_19",300,"Net VAT to be Paid/Reclaimed","tc_01",False,1.0
"tc_20",310,"Purchase VAT","tc_19",False,1.0
"tc_21",311,"Purchase VAT Rated 15%","tc_20",False,-1.0
"tc_22",320,"Sales VAT","tc_19",False,1.0
"tc_23",321,"Sales VAT Rated 15%","tc_22",False,1.0
"tc_24",400,"Withholding on Purchases","tc_01",False,1.0
"tc_25",410,"2% Withholding on Purchases","tc_24",False,-1.0
"tc_26",420,"35% Withholding on Purchases","tc_24",False,-1.0
"tc_27",500,"Withholding on Sales","tc_01",False,1.0
"tc_28",510,"2% Withheld on Sales","tc_27",False,1.0
"tc_29",520,"35% Withheld on Sales","tc_27",False,1.0
"tc_30",530,"VAT Withheld on Sales","tc_27",False,1.0
