"id","name","code","account_type","reconcile","name@vi_VN"
"chart1111","Cash","111","asset_cash","False","Tiền mặt"
"chart112","Demand Deposit","112","asset_cash","False","Tiền gửi không kỳ hạn"
"chart1121","Bank Suspense Account","1121","asset_current","False","Tài khoản tạm thời ngân hàng"
"chart1131","Money in transit","113","asset_cash","False","Tiền đang chuyển"
"account_journal_payment_debit_account_id","Outstanding Receipts","1131","asset_current","True","Biên lai chưa thanh toán"
"account_journal_payment_credit_account_id","Outstanding Payments","1132","asset_current","True","Khoản chi chưa thanh toán"
"chart121","Trading Securities","121","asset_current","False","Chứng khoán kinh doanh"
"chart12811","Time deposits - less than 3 months","12811","asset_current","False","Tiền gửi có kỳ hạn - dưới 3 tháng"
"chart12812","Time deposits - 3-12 months","12812","asset_current","False","Tiền gửi có kỳ hạn - 3-12 tháng"
"chart12813","Time deposits - long term","12813","asset_current","False","Tiền gửi có kỳ hạn - dài hạn"
"chart12822","Bonds - 3-12 months","12822","asset_current","False","Trái phiếu - 3-12 tháng"
"chart12823","Bonds - long term","12823","asset_current","False","Trái phiếu - dài hạn"
"chart12831","Loans - short term","12831","asset_current","False","Cho vay - ngắn hạn"
"chart12832","Loans - long term","12832","asset_current","False","Cho vay - dài hạn"
"chart12881","Other investments held to maturity - less than 3 months","12881","asset_current","False","Các khoản đầu tư khác nắm giữ đến ngày đáo hạn - dưới 3 tháng"
"chart12882","Other investments held to maturity - 3-12 months","12882","asset_current","False","Các khoản đầu tư khác nắm giữ đến ngày đáo hạn - 3-12 tháng"
"chart12883","Other investments held to maturity - long term","12883","asset_current","False","Các khoản đầu tư khác nắm giữ đến ngày đáo hạn - dài hạn"
"chart1311","Trade receivables - short term","1311","asset_receivable","True","Phải thu của khách hàng - ngắn hạn"
"chart1312","Trade receivables - long term","1312","asset_receivable","True","Phải thu của khách hàng - dài hạn"
"chart1331","Deductible VAT of goods and services","1331","asset_current","False","Thuế GTGT HHDV mua vào"
"chart1332","Deductible VAT of fixed assets","1332","asset_current","False","Thuế GTGT được khấu trừ của tài sản cố định"
"chart1361","Working capital provided to sub-units","1361","asset_receivable","True","Vốn kinh doanh ở các đơn vị trực thuộc"
"chart13621","Internal receivables on foreign exchange difference - short term","13621","asset_receivable","True","Phải thu nội bộ về chênh lệch tỷ giá - ngắn hạn"
"chart13622","Internal receivables on foreign exchange difference - long term","13622","asset_receivable","True","Phải thu nội bộ về chênh lệch tỷ giá - dài hạn"
"chart13631","Internal receivables on borrowing costs eligible for capitalization - short term","13631","asset_receivable","True","Phải thu nội bộ về chi phí đi vay đủ điều kiện được vốn hoá - ngắn hạn"
"chart13632","Internal receivables on borrowing costs eligible for capitalization - long term","13632","asset_receivable","True","Phải thu nội bộ về chi phí đi vay đủ điều kiện được vốn hoá - dài hạn"
