"code","id","parent_id:id","type","user_type:id","name"
"gd","kn_gd",,"view","account_type_view","KONTNI NAČRT ZA GOSPODARSKE DRUŽBE"
"0","kn_gd_0","kn_gd","view","account_type_view","DOLGOROČNA SREDSTVA"
"00","kn_gd_00","kn_gd_0","view","account_type_view","NEOPREDMETENA SREDSTVA IN DOLGOROČNE AKTIVNE ČASOVNE RAZMEJITVE"
"000","kn_gd_000","kn_gd_00","view","account_type_view","DOBRO IME"
"000000","kn_gd_000000","kn_gd_000","other","account_type_other","DOBRO IME"
"002","kn_gd_002","kn_gd_00","view","account_type_view","ODLOŽENI STROŠKI RAZVIJANJA"
"002000","kn_gd_002000","kn_gd_002","other","account_type_other","ODLOŽENI STROŠKI RAZVIJANJA"
"003","kn_gd_003","kn_gd_00","view","account_type_view","PREMOŽENJSKE PRAVICE"
"003000","kn_gd_003000","kn_gd_003","other","account_type_other","PREMOŽENJSKE PRAVICE"
"005","kn_gd_005","kn_gd_00","view","account_type_view","DRUGA NEOPREDMETENA SREDSTVA (TUDI EMISIJSKI KUPONI)"
"005000","kn_gd_005000","kn_gd_005","other","account_type_other","DRUGA NEOPREDMETENA SREDSTVA (TUDI EMISIJSKI KUPONI)"
"007","kn_gd_007","kn_gd_00","view","account_type_view","DOLGOROČNE AKTIVNE ČASOVNE RAZMEJITVE"
"007000","kn_gd_007000","kn_gd_007","other","account_type_other","DOLGOROČNE AKTIVNE ČASOVNE RAZMEJITVE"
"008","kn_gd_008","kn_gd_00","view","account_type_view","POPRAVEK VREDNOSTI NEOPREDMETENIH SREDSTEV ZARADI AMORTIZIRANJA"
"008000","kn_gd_008000","kn_gd_008","other","account_type_other","POPRAVEK VREDNOSTI NEOPREDMETENIH SREDSTEV ZARADI AMORTIZIRANJA"
"009","kn_gd_009","kn_gd_00","view","account_type_view","OSLABITEV VREDNOSTI NEOPREDMETENIH SREDSTEV"
"009000","kn_gd_009000","kn_gd_009","other","account_type_other","OSLABITEV VREDNOSTI NEOPREDMETENIH SREDSTEV"
"01","kn_gd_01","kn_gd_0","view","account_type_view","NALOŽBENE NEPREMIČNINE"
"010","kn_gd_010","kn_gd_01","view","account_type_view","NALOŽBENE NEPREMIČNINE, VREDNOTENE PO MODELU NABAVNE VREDNOSTI"
"010000","kn_gd_010000","kn_gd_010","other","account_type_other","NALOŽBENE NEPREMIČNINE, VREDNOTENE PO MODELU NABAVNE VREDNOSTI"
"011","kn_gd_011","kn_gd_01","view","account_type_view","NALOŽBENE NEPREMIČNINE, VREDNOTENE PO MODELU POŠTENE VREDNOSTI"
"011000","kn_gd_011000","kn_gd_011","other","account_type_other","NALOŽBENE NEPREMIČNINE, VREDNOTENE PO MODELU POŠTENE VREDNOSTI"
"015","kn_gd_015","kn_gd_01","view","account_type_view","POPRAVEK VREDNOSTI NALOŽBENIH NEPREMIČNIN ZARADI AMORTIZIRANJA"
"015000","kn_gd_015000","kn_gd_015","other","account_type_other","POPRAVEK VREDNOSTI NALOŽBENIH NEPREMIČNIN ZARADI AMORTIZIRANJA"
"019","kn_gd_019","kn_gd_01","view","account_type_view","OSLABITEV VREDNOSTI NALOŽBENIH NEPREMIČNIN"
"019000","kn_gd_019000","kn_gd_019","other","account_type_other","OSLABITEV VREDNOSTI NALOŽBENIH NEPREMIČNIN"
"02","kn_gd_02","kn_gd_0","view","account_type_view","NEPREMIČNINE"
"020","kn_gd_020","kn_gd_02","view","account_type_view","ZEMLJIŠČA, VREDNOTENA PO MODELU NABAVNE VREDNOSTI"
"020000","kn_gd_020000","kn_gd_020","other","account_type_other","ZEMLJIŠČA, VREDNOTENA PO MODELU NABAVNE VREDNOSTI"
"021","kn_gd_021","kn_gd_02","view","account_type_view","ZGRADBE, VREDNOTENE PO MODELU NABAVNE VREDNOSTI"
"021000","kn_gd_021000","kn_gd_021","other","account_type_other","ZGRADBE, VREDNOTENE PO MODELU NABAVNE VREDNOSTI"
"022","kn_gd_022","kn_gd_02","view","account_type_view","ZEMLJIŠČA, VREDNOTENA PO MODELU PREVREDNOTENJA"
"022000","kn_gd_022000","kn_gd_022","other","account_type_other","ZEMLJIŠČA, VREDNOTENA PO MODELU PREVREDNOTENJA"
"023","kn_gd_023","kn_gd_02","view","account_type_view","ZGRADBE, VREDNOTENE PO MODELU PREVREDNOTENJA"
"023000","kn_gd_023000","kn_gd_023","other","account_type_other","ZGRADBE, VREDNOTENE PO MODELU PREVREDNOTENJA"
"027","kn_gd_027","kn_gd_02","view","account_type_view","NEPREMIČNINE V GRADNJI OZIROMA IZDELAVI"
"027000","kn_gd_027000","kn_gd_027","other","account_type_other","NEPREMIČNINE V GRADNJI OZIROMA IZDELAVI"
"03","kn_gd_03","kn_gd_0","view","account_type_view","POPRAVEK IN OSLABITEV VREDNOSTI NEPREMIČNIN"
"031","kn_gd_031","kn_gd_03","view","account_type_view","OSLABITEV VREDNOSTI ZEMLJIŠČ"
"031000","kn_gd_031000","kn_gd_031","other","account_type_other","OSLABITEV VREDNOSTI ZEMLJIŠČ"
"032","kn_gd_032","kn_gd_03","view","account_type_view","POPRAVEK VREDNOSTI ZEMLJIŠČ ZARADI AMORTIZIRANJA (KAMNOLOMI, ODLAGALIŠČA ODPADKOV)"
"032000","kn_gd_032000","kn_gd_032","other","account_type_other","POPRAVEK VREDNOSTI ZEMLJIŠČ ZARADI AMORTIZIRANJA (KAMNOLOMI, ODLAGALIŠČA ODPADKOV)"
"035","kn_gd_035","kn_gd_03","view","account_type_view","POPRAVEK VREDNOSTI ZGRADB ZARADI AMORTIZIRANJA"
"035000","kn_gd_035000","kn_gd_035","other","account_type_other","POPRAVEK VREDNOSTI ZGRADB ZARADI AMORTIZIRANJA"
"039","kn_gd_039","kn_gd_03","view","account_type_view","OSLABITEV VREDNOSTI ZGRADB"
"039000","kn_gd_039000","kn_gd_039","other","account_type_other","OSLABITEV VREDNOSTI ZGRADB"
"04","kn_gd_04","kn_gd_0","view","account_type_view","OPREMA IN DRUGA OPREDMETENA OSNOVNA SREDSTVA"
"040","kn_gd_040","kn_gd_04","view","account_type_view","OPREMA IN NADOMESTNI DELI, VREDNOTENI PO MODELU NABAVNE VREDNOSTI"
"040000","kn_gd_040000","kn_gd_040","other","account_type_other","OPREMA IN NADOMESTNI DELI, VREDNOTENI PO MODELU NABAVNE VREDNOSTI"
"041","kn_gd_041","kn_gd_04","view","account_type_view","DROBNI INVENTAR"
"041000","kn_gd_041000","kn_gd_041","other","account_type_other","DROBNI INVENTAR"
"042","kn_gd_042","kn_gd_04","view","account_type_view","OPREMA IN NADOMESTNI DELI, VREDNOTENI PO MODELU PREVREDNOTENJA"
"042000","kn_gd_042000","kn_gd_042","other","account_type_other","OPREMA IN NADOMESTNI DELI, VREDNOTENI PO MODELU PREVREDNOTENJA"
"043","kn_gd_043","kn_gd_04","view","account_type_view","BIOLOŠKA SREDSTVA"
"043000","kn_gd_043000","kn_gd_043","other","account_type_other","BIOLOŠKA SREDSTVA"
"044","kn_gd_044","kn_gd_04","view","account_type_view","VLAGANJA V OPREDMETENA OSNOVNA SREDSTVA V TUJI LASTI"
"044000","kn_gd_044000","kn_gd_044","other","account_type_other","VLAGANJA V OPREDMETENA OSNOVNA SREDSTVA V TUJI LASTI"
"045","kn_gd_045","kn_gd_04","view","account_type_view","DRUGA OPREDMETENA OSNOVNA SREDSTVA"
"045000","kn_gd_045000","kn_gd_045","other","account_type_other","DRUGA OPREDMETENA OSNOVNA SREDSTVA"
"047","kn_gd_047","kn_gd_04","view","account_type_view","OPREMA IN DRUGA OPREDMETENA OSNOVNA SREDSTVA V GRADNJI OZIROMA IZDELAVI"
"047000","kn_gd_047000","kn_gd_047","other","account_type_other","OPREMA IN DRUGA OPREDMETENA OSNOVNA SREDSTVA V GRADNJI OZIROMA IZDELAVI"
"05","kn_gd_05","kn_gd_0","view","account_type_view","POPRAVEK IN OSLABITEV VREDNOSTI OPREME IN DRUGIH OPREDMETENIH OSNOVNIH SREDSTEV"
"050","kn_gd_050","kn_gd_05","view","account_type_view","POPRAVEK VREDNOSTI OPREME IN NADOMESTNIH DELOV ZARADI AMORTIZIRANJA"
"050000","kn_gd_050000","kn_gd_050","other","account_type_other","POPRAVEK VREDNOSTI OPREME IN NADOMESTNIH DELOV ZARADI AMORTIZIRANJA"
"051","kn_gd_051","kn_gd_05","view","account_type_view","POPRAVEK VREDNOSTI DROBNEGA INVENTARJA ZARADI AMORTIZIRANJA"
"051000","kn_gd_051000","kn_gd_051","other","account_type_other","POPRAVEK VREDNOSTI DROBNEGA INVENTARJA ZARADI AMORTIZIRANJA"
"052","kn_gd_052","kn_gd_05","view","account_type_view","OSLABITEV VREDNOSTI OPREME IN NADOMESTNIH DELOV"
"052000","kn_gd_052000","kn_gd_052","other","account_type_other","OSLABITEV VREDNOSTI OPREME IN NADOMESTNIH DELOV"
"053","kn_gd_053","kn_gd_05","view","account_type_view","POPRAVEK VREDNOSTI BIOLOŠKIH SREDSTEV"
"053000","kn_gd_053000","kn_gd_053","other","account_type_other","POPRAVEK VREDNOSTI BIOLOŠKIH SREDSTEV"
"054","kn_gd_054","kn_gd_05","view","account_type_view","POPRAVEK VREDNOSTI VLAGANJ V OPREDMETENA OSNOVNA SREDSTVA V TUJI LASTI"
"054000","kn_gd_054000","kn_gd_054","other","account_type_other","POPRAVEK VREDNOSTI VLAGANJ V OPREDMETENA OSNOVNA SREDSTVA V TUJI LASTI"
"055","kn_gd_055","kn_gd_05","view","account_type_view","POPRAVEK VREDNOSTI DRUGIH OPREDMETENIH OSNOVNIH SREDSTEV ZARADI AMORTIZIRANJA"
"055000","kn_gd_055000","kn_gd_055","other","account_type_other","POPRAVEK VREDNOSTI DRUGIH OPREDMETENIH OSNOVNIH SREDSTEV ZARADI AMORTIZIRANJA"
"059","kn_gd_059","kn_gd_05","view","account_type_view","OSLABITEV VREDNOSTI DRUGIH OPREDMETENIH OSNOVNIH SREDSTEV"
"059000","kn_gd_059000","kn_gd_059","other","account_type_other","OSLABITEV VREDNOSTI DRUGIH OPREDMETENIH OSNOVNIH SREDSTEV"
"06","kn_gd_06","kn_gd_0","view","account_type_view","DOLGOROČNE FINANČNE NALOŽBE, RAZEN POSOJIL"
"060","kn_gd_060","kn_gd_06","view","account_type_view","DOLGOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE DRUŽB V SKUPINI, RAZPOREJENE IN IZMERJENE PO NABAVNI VREDNOSTI"
"060000","kn_gd_060000","kn_gd_060","other","account_type_other","DOLGOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE DRUŽB V SKUPINI, RAZPOREJENE IN IZMERJENE PO NABAVNI VREDNOSTI"
