id,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_survey_all,model_survey_survey,,0,0,0,0
access_survey_user,model_survey_survey,base.group_user,0,0,0,0
access_survey_survey_user,model_survey_survey,group_survey_user,1,1,1,1
access_survey_survey_manager,model_survey_survey,group_survey_manager,1,1,1,1
access_survey_question_all,model_survey_question,,0,0,0,0
access_survey_question_user,model_survey_question,base.group_user,0,0,0,0
access_survey_question_survey_user,model_survey_question,group_survey_user,1,1,1,1
access_survey_question_survey_manager,model_survey_question,group_survey_manager,1,1,1,1
access_survey_question_answer_all,model_survey_question_answer,,0,0,0,0
access_survey_question_answer_user,model_survey_question_answer,base.group_user,0,0,0,0
access_survey_question_answer_survey_user,model_survey_question_answer,group_survey_user,1,1,1,1
access_survey_question_answer_survey_manager,model_survey_question_answer,group_survey_manager,1,1,1,1
access_survey_user_input_all,model_survey_user_input,,0,0,0,0
access_survey_user_input_user,model_survey_user_input,base.group_user,0,0,0,0
access_survey_user_input_survey_user,model_survey_user_input,group_survey_user,1,1,1,1
access_survey_user_input_survey_manager,model_survey_user_input,group_survey_manager,1,1,1,1
access_survey_user_input_line_all,model_survey_user_input_line,,0,0,0,0
access_survey_user_input_line_user,model_survey_user_input_line,base.group_user,0,0,0,0
access_survey_user_input_line_survey_user,model_survey_user_input_line,group_survey_user,1,0,0,0
access_survey_user_input_line_survey_manager,model_survey_user_input_line,group_survey_manager,1,1,1,1
access_gamification_badge_survey_user,model_gamification_badge,group_survey_user,1,1,1,1
access_survey_invite,model_survey_invite,survey.group_survey_user,1,1,1,0
