id,code,description,depreciation_min,depreciation_max
l10n_ro_saft_1_1_1,1.1.1,Industrial buildings apart from the buildings in:,40,60
l10n_ro_saft_1_1_1_1,1.1.1.1,"food industry, construction materials industry, metallurgical industry and steel industry;",28,42
l10n_ro_saft_1_1_1_2,1.1.1.2,- chemical industry.,24,36
l10n_ro_saft_1_1_2,1.1.2,"Light constructions with metal structures (production halls, assembly halls, etc.) except for:",16,24
l10n_ro_saft_1_1_2_1,1.1.2.1,"- barracks, sopronas, etc.",8,12
l10n_ro_saft_1_1_3,1.1.3,"Hydroelectric plants, substations and substations, connection stations, except for:",40,60
l10n_ro_saft_1_1_3_1,1.1.3.1,- special metal constructions;,32,48
l10n_ro_saft_1_1_3_2,1.1.3.2,- special concrete constructions,24,36
l10n_ro_saft_1_1_4,1.1.4,"Thermoelectric and nuclear-electric plants, apart from:",32,48
l10n_ro_saft_1_1_4_1,1.1.4.1,- the reactor building,24,36
l10n_ro_saft_1_1_5_1,1.1.5.1,- of concrete;,24,36
l10n_ro_saft_1_1_5_2,1.1.5.2,"- from ballast, macadam.",16,24
l10n_ro_saft_1_1_6_1,1.1.6.1,"- oil, gas and salt wells",8,12
l10n_ro_saft_1_1_6_2,1.1.6.2,- marine drilling and extraction platforms,24,36
l10n_ro_saft_1_1_7,1.1.7,Mining extraction towers.,24,36
l10n_ro_saft_1_1_8,1.1.8,"Mine shafts, galleries, inclined planes and shaft ramps.",20,30
l10n_ro_saft_1_1_9,1.1.9,"Support structures, scaffolding and color for belt conveyors.",24,36
l10n_ro_saft_1_1_10,1.1.10,Loading-unloading ramps.,25,35
l10n_ro_saft_1_1_11,1.1.11,Underground mining constructions: for personnel; draws and draws; pumping stations; compressor stations; ventilation ducts; bunker; ascenders-descendants; And so on,20,30
l10n_ro_saft_1_1_12,1.1.12,Chimneys and cooling towers,24,36
l10n_ro_saft_1_1_13,1.1.13,Ponds for tailings settling,12,48
l10n_ro_saft_1_1_14,1.1.14,"Smoke, dedusting, drying rooms,",28,42
l10n_ro_saft_1_1_15,1.1.15,Excavation construction works for mining operations,8,12
l10n_ro_saft_1_1_16,1.1.16,Experimental testing grounds in the open air or in closed rooms.,12,18
l10n_ro_saft_1_1_17,1.1.17,Other industrial buildings not found in subgroup 1.1.,24,36
l10n_ro_saft_1_2_1,1.2.1,Agro-zootechnical buildings,24,36
l10n_ro_saft_1_2_2,1.2.2,"Light agricultural constructions (barracks, sheds, sheds, cabins)",8,12
l10n_ro_saft_1_2_3,1.2.3,Deposits of mineral or natural fertilizers (composting buildings).,16,24
l10n_ro_saft_1_2_4,1.2.4,Feed silos,24,36
l10n_ro_saft_1_2_5,1.2.5,Silos for grain storage and preservation.,28,42
l10n_ro_saft_1_2_6,1.2.6,Cots for corn storage.,20,30
l10n_ro_saft_1_2_7,1.2.7,"Buildings for raising animals and birds, paddocks.",20,30
l10n_ro_saft_1_2_8,1.2.8,"Helestees, ponds, pools; locks and elevators; dams; gutters etc. for fish farming.",24,36
l10n_ro_saft_1_2_9,1.2.9,"Arable terraces, orchards and vineyards.",32,48
l10n_ro_saft_1_2_10_1,1.2.10.1,"- from masonry, concrete, metal or wood and glass.",16,24
l10n_ro_saft_1_2_10_2,1.2.10.2,- light wood construction and plastic film.,2,4
l10n_ro_saft_1_2_11,1.2.11,Other agricultural buildings not found in subgroup 1.2.,16,24
l10n_ro_saft_1_3_1,1.3.1,"Transport buildings: bus stations, train stations, metro stations, airports, ports, hangars, depots, garages, workshops, except for:",32,48
l10n_ro_saft_1_3_1_1,1.3.1.1,- light buildings with metal structure,16,24
l10n_ro_saft_1_3_2_1,1.3.2.1,- normal and wide gauge.,40,60
l10n_ro_saft_1_3_2_2,1.3.2.2,- normal metro gauge.,32,48
l10n_ro_saft_1_3_2_3,1.3.2.3,"- narrow gauge, including forester.",28,42
l10n_ro_saft_1_3_2_4,1.3.2.4,- narrow mining gauge.,12,18
l10n_ro_saft_1_3_3,1.3.3,Infrastructure and tram stations.,24,36
l10n_ro_saft_1_3_4_1,1.3.4.1,- for railway lines.,24,36
l10n_ro_saft_1_3_4_2,1.3.4.2,- for tram lines and trolleybuses.,20,30
l10n_ro_saft_1_3_4_3,1.3.4.3,- for mining railway lines.,12,18
l10n_ro_saft_1_3_5,1.3.5,"Constructions for railway transport: platforms; level crossings; port-gauge; loading-unloading keys; for supplying and overhauling locomotives; channels for lowering axles; foundations of turning plates and bascule bridge; slag channels, etc.:",24,36
l10n_ro_saft_1_3_6,1.3.6,Track devices.,4,6
l10n_ro_saft_1_3_7_1,1.3.7.1,"- with clothing made of ballast, stabilized soil or macadam.",16,24
l10n_ro_saft_1_3_7_2,1.3.7.2,- with asphalt concrete covering or pavement on a flexible foundation.,20,30
l10n_ro_saft_1_3_7_3,1.3.7.3,- with cement concrete clothing.,28,42
l10n_ro_saft_1_3_7_4,1.3.7.4,- Forest road infrastructure,24,36
l10n_ro_saft_1_3_8,1.3.8,Runways for airports and parking platforms for airplanes and vehicles. Airport constructions.,32,48
l10n_ro_saft_1_3_9,1.3.9,"Quays, jetties and docks for ships.",40,60
l10n_ro_saft_1_3_10_1,1.3.10.1,- Wooden files.,12,18
l10n_ro_saft_1_3_10_2,1.3.10.2,"- Concrete fillets, reinforced concrete.",32,48
l10n_ro_saft_1_3_11,1.3.11,Channels for navigation.,40,60
l10n_ro_saft_1_3_12,1.3.12,"Accessory constructions for road, air, naval transport",24,36
l10n_ro_saft_1_3_13_1,1.3.13.1,on wooden poles.,12,18
l10n_ro_saft_1_3_13_2,1.3.13.2,- on metal or reinforced concrete poles.,24,36
l10n_ro_saft_1_3_14_1,1.3.14.1,"- with cable cars, gondolas or ski lifts.",20,30
l10n_ro_saft_1_3_14_2,1.3.14.2,- ski lifts.,9,15
l10n_ro_saft_1_3_15,1.3.15,Light-type forestry funicular lines.,4,6
l10n_ro_saft_1_3_16,1.3.16,Inclined planes above ground.,24,36
l10n_ro_saft_1_3_17_1,1.3.17.1,- made of wood.,8,12
l10n_ro_saft_1_3_17_2,1.3.17.2,"- from masonry, reinforced concrete or metal.",32,48
l10n_ro_saft_1_3_18,1.3.18,The tunnels.,40,60
l10n_ro_saft_1_3_19,1.3.19,"Buildings for post, telecommunications: telephone exchanges, radio broadcasting stations, studios for radio, television, etc.",36,54
l10n_ro_saft_1_3_20,1.3.20,"Aerial telecommunications lines and cables (poles, circuits, cables, crossbars, consoles, etc.).",9,15
l10n_ro_saft_1_3_21,1.3.21,"Underground networks and sewers of urban and interurban communications, except for:",16,24
l10n_ro_saft_1_3_21_1,1.3.21.1,"Support of telecommunications transmissions on optical fiber cable systems (submarine, subfluvial).",8,12
l10n_ro_saft_1_3_22,1.3.22,"Metal platforms, towers and pylons for radio, mobile, radio and TV antennas.",9,15
l10n_ro_saft_1_3_23,1.3.23,Phone booths.,4,6
l10n_ro_saft_1_3_24,1.3.24,"Light constructions for transport and telecommunications (barracks, sheds, sheds, cabins).",8,12
l10n_ro_saft_1_3_25,1.3.25,"Other constructions for transport, post and telecommunications not found in subgroup 1.3.",20,30
l10n_ro_saft_1_4_1,1.4.1,"Dams and dam accessory constructions (sluices, spillways, ports and waiting fronts, energy dissipators, bottom drains, derivation channels).",40,60
l10n_ro_saft_1_4_2_1,1.4.2.1,- from fascination; wood with boulder or stone;,16,24
l10n_ro_saft_1_4_2_2,1.4.2.2,- from raw stone; concrete blocks; stone masonry; reinforced concrete.,24,36
l10n_ro_saft_1_4_3,1.4.3,Adduction channels.,40,60
l10n_ro_saft_1_4_4,1.4.4,Pears.,24,36
l10n_ro_saft_1_4_5,1.4.5,"Hydrotechnical, hydrometric, hydrometeorological, oceanographic constructions, meteorological platforms; outside.",32,48
l10n_ro_saft_1_4_5_1,1.4.5.1,- light constructions.,8,12
l10n_ro_saft_1_4_6,1.4.6,Artificial reservoirs,40,60
l10n_ro_saft_1_4_7,1.4.7,Other hydrotechnical constructions not found in subgroup 1.4.,24,36
l10n_ro_saft_1_5_1,1.5.1,Business centers.,40,60
l10n_ro_saft_1_5_2,1.5.2,Commercial buildings for storage-commercialization and distribution. Stores.,32,48
l10n_ro_saft_1_5_3,1.5.3,"Buildings for the storage of consumer goods, industrial goods, construction materials and agricultural products.",24,36
l10n_ro_saft_1_5_4,1.5.4,"Constructions for the storage and sale of petroleum products (gas stations, etc.).",20,30
l10n_ro_saft_1_5_5,1.5.5,"Constructions for storing explosives, fuels and lubricants.",20,30
l10n_ro_saft_1_5_6,1.5.6,"Silos for mineral aggregates, ores, coal, powdery materials (cement, lime, plaster), etc.",20,30
l10n_ro_saft_1_5_7,1.5.7,"Tanks and basins for storage, except for:",20,30
l10n_ro_saft_1_5_7_1,1.5.7.1,- storage tanks with cathodic protection,32,48
l10n_ro_saft_1_5_8,1.5.8,Cold storage for food. The glaciers.,20,30
l10n_ro_saft_1_5_9,1.5.9,Platforms for storage and commercial activities.,20,30
l10n_ro_saft_1_5_10,1.5.10,"Tanks, reservoirs, drums and barrels for storing drinks.",24,36
l10n_ro_saft_1_5_11,1.5.11,Loading ramps.,20,30
l10n_ro_saft_1_5_12,1.5.12,"Light constructions for business, trade, storage (barracks, warehouses, warehouses, etc.).",8,12
l10n_ro_saft_1_5_13,1.5.13,Treasure rooms for storing values and data.,20,30
l10n_ro_saft_1_5_14,1.5.14,"Other constructions for business, trade, storage not found in subgroup 1.5.",16,24
l10n_ro_saft_1_6_1,1.6.1,"Residential buildings, hotels and hostels, except for:",40,60
l10n_ro_saft_1_6_1_1,1.6.1.1,"- buildings for social housing, motels and hostels located in industrial centers. Public toilets.",32,48
l10n_ro_saft_1_6_2,1.6.2,"Buildings for education; science; culture and art; health protection; social assistance; physical culture and leisure, apart from:",40,60
l10n_ro_saft_1_6_2_1,1.6.2.1,"- health centers, public baths and treatment bases.",28,42
l10n_ro_saft_1_6_3_1,1.6.3.1,- wood;,8,12
l10n_ro_saft_1_6_3_2,1.6.3.2,"- masonry, reinforced concrete, metal.",20,30
l10n_ro_saft_1_6_4,1.6.4,Administrative buildings.,40,60
l10n_ro_saft_1_6_5,1.6.5,Constructions for thermal power plants and thermal points,24,36
l10n_ro_saft_1_6_6,1.6.6,Support constructions for billboards and advertising.,6,10
l10n_ro_saft_1_6_7,1.6.7,"Constructions for clock towers, guard towers and other similar facilities.",9,15
l10n_ro_saft_1_6_8,1.6.8,Other residential and social-cultural constructions not found in subgroup 1.6.,20,30
l10n_ro_saft_1_7_1_1,1.7.1.1,- aerial on wooden poles.,9,15
l10n_ro_saft_1_7_1_2,1.7.1.2,- overhead on metal or reinforced concrete poles.,32,48
l10n_ro_saft_1_7_1_3,1.7.1.3,- underground.,12,18
l10n_ro_saft_1_7_2_1,1.7.2.1,- aerial or apparent.,9,15
l10n_ro_saft_1_7_2_2,1.7.2.2,bury,9,15
l10n_ro_saft_1_7_2_3,1.7.2.3,"- in a tube, channel or protection tunnel.",24,36
l10n_ro_saft_1_7_3,1.7.3,Other constructions for the transport of electricity not found in subgroup 1.7.,16,24
l10n_ro_saft_1_8_1,1.8.1,Excavated or drilled wells.,24,36
l10n_ro_saft_1_8_2,1.8.2,Drains for water supply.,24,36
l10n_ro_saft_1_8_3,1.8.3,Catchments and water intakes.,32,48
l10n_ro_saft_1_8_4,1.8.4,Channels for water supply and drainage.,32,48
l10n_ro_saft_1_8_5,1.8.5,Galleries for water supply and drainage.,32,48
l10n_ro_saft_1_8_6,1.8.6,"Pipes for water supply, including crossings; distribution networks. Underground galleries for technical-building installations.",24,36
l10n_ro_saft_1_8_7,1.8.7,"Pipes for sewerage, except for:",32,48
l10n_ro_saft_1_8_7_1,1.8.7.1,- technological pipelines for acidic waters.,12,18
l10n_ro_saft_1_8_8,1.8.8,"Water treatment, neutralization and purification stations.",24,36
l10n_ro_saft_1_8_9,1.8.9,Water castles.,32,48
l10n_ro_saft_1_8_10,1.8.10,"Storage ponds; sludge drying beds; irrigation and infiltration fields, except for:",16,24
l10n_ro_saft_1_8_10_1,1.8.10.1,- irrigation canals.,24,36
l10n_ro_saft_1_8_11,1.8.11,Reinforced concrete tanks for storing water.,40,60
l10n_ro_saft_1_8_12,1.8.12,"Water pumping and separation stations, except for:",32,48
l10n_ro_saft_1_8_12_1,1.8.12.1,- floating pumping stations,16,24
l10n_ro_saft_1_8_13,1.8.13,Constructions and technological installations for water supply and sewage.,32,48
l10n_ro_saft_1_8_14,1.8.14,"Light constructions (barracks, sheds, sheds, etc.).",8,12
l10n_ro_saft_1_8_15,1.8.15,"Other constructions for water supply, sewerage and land improvements not found in subgroup 1.8.",24,36
l10n_ro_saft_1_9_1,1.9.1,"Main pipelines for the transport of petroleum products, gases and industrial liquids, including crossings and technological installations, except for:",20,30
l10n_ro_saft_1_9_1_1,1.9.1.1,- main pipelines for the transport of petroleum products provided with cathodic protection.,40,60
l10n_ro_saft_1_9_2_1,1.9.2.1,- aerial or in the visited protection channels.,20,30
l10n_ro_saft_1_9_2_2,1.9.2.2,- in unvisitable channels.,16,24
l10n_ro_saft_1_9_3,1.9.3,"Pipes, connections and technological installations for the distribution of gases, petroleum products and industrial liquids, salt water, from outside and inside buildings.",12,18
