id,nombre
evaluaciones.categoria_1,Datos generales
evaluaciones.categoria_2,Reclutamiento y selección de personal
evaluaciones.categoria_3,Formación y capacitación
evaluaciones.categoria_4,Permanencia y ascenso
evaluaciones.categoria_5,"Corresponsabilidad en la vida laboral, familiar y personal"
evaluaciones.categoria_6,Clima laboral libre de violencia
evaluaciones.categoria_7,Acoso y Hostigamiento
evaluaciones.categoria_8,Accesibilidad
evaluaciones.categoria_9,Respeto a la diversidad
evaluaciones.categoria_10,Condiciones generales de trabajo
