id,template_id,pregunta_id
,332,259
,332,260
,332,261
,332,262
,332,263
,332,264
,332,265
,332,266
,332,267
,332,268
,332,269
,332,270
,332,271
,332,272
,332,273
,332,274
,332,275
,332,276
,332,277
,332,278
,332,279
,332,280
,332,281
,332,282
,332,283
,332,284
,332,285
,332,286
,332,287
,332,288
,332,289
,332,290
,332,291
,332,292
,332,293
,332,294
,332,295
,332,296
,332,297
,332,298
,332,299
,332,300
,332,301
,332,302
,332,303
,332,304
,332,305
,332,306
,332,307
,332,308
,332,309
,332,310
,332,311
,332,312
,332,313
,332,314
,332,315
,332,316
,332,317
,332,318
,332,319
,332,320
,332,321
,332,322
,332,323
,332,324
,332,325
,332,326
,332,327
,332,328
,332,329
,332,330
,331,191
,331,192
,331,193
,331,194
,331,195
,331,196
,331,197
,331,198
,331,199
,331,200
,331,201
,331,202
,331,203
,331,204
,331,205
,331,206
,331,207
,331,208
,331,209
,331,210
,331,211
,331,212
,331,213
,331,214
,331,215
,331,216
,331,217
,331,218
,331,219
,331,220
,331,221
,331,222
,331,223
,331,224
,331,225
,331,226
,331,227
,331,228
,331,229
,331,230
,331,231
,331,232
,331,233
,331,234
,331,235
,331,236
,331,237
,331,238
,331,239
,331,240
,331,241
,331,242
,331,243
,331,244
,331,245
,331,246
,331,247
,331,248
,331,249
,331,250
,331,251
,331,252
,331,253
,331,254
,331,255
,331,256
,331,257
,331,258
