id,pregunta_texto,tipo,ponderacion,categoria,dominio
evaluaciones.pregunta_1,¿Comprende las necesidades del otro?,multiple_choice,,,
evaluaciones.pregunta_2,¿Identifica las expectativas de las personas?,multiple_choice,,,
evaluaciones.pregunta_3,¿Se interesa por ayudar a los demás?,multiple_choice,,,
evaluaciones.pregunta_4,¿Ejecuta las acciones requeridas para atenderlos?,multiple_choice,,,
evaluaciones.pregunta_5,¿Visualiza las necesidades potenciales o futuras?,multiple_choice,,,
evaluaciones.pregunta_6,¿Establece relaciones interpersonales?,multiple_choice,,,
evaluaciones.pregunta_7,¿Escucha las necesidades del otro?,multiple_choice,,,
evaluaciones.pregunta_8,¿Se comunica con impacto?,multiple_choice,,,
evaluaciones.pregunta_9,¿Muestra capacidad de persuasión?,multiple_choice,,,
evaluaciones.pregunta_10,¿Persiste ante las dificultades?,multiple_choice,,,
evaluaciones.pregunta_11,¿Establece relaciones interpersonales?,multiple_choice,,,
evaluaciones.pregunta_12,¿Escucha con empatía?,multiple_choice,,,
evaluaciones.pregunta_13,¿Comprende de las necesidades del cliente?,multiple_choice,,,
evaluaciones.pregunta_14,¿Plantea soluciones efectivas?,multiple_choice,,,
evaluaciones.pregunta_15,¿Influencia las decisiones de los demás?,multiple_choice,,,
evaluaciones.pregunta_16,¿Conoce y acepta las reglas?,multiple_choice,,,
evaluaciones.pregunta_17,¿Está convencido de su importancia como reguladores sociales?,multiple_choice,,,
evaluaciones.pregunta_18,¿Adhiere su conducta cotidiana a los convencionalismos?,multiple_choice,,,
evaluaciones.pregunta_19,¿Controla sus propios impulsos?,multiple_choice,,,
evaluaciones.pregunta_20,¿Se interesa por mostrar una imagen socialmente adecuada?,multiple_choice,,,
evaluaciones.pregunta_21,¿Abstrae la información relevante del entorno?,multiple_choice,,,
evaluaciones.pregunta_22,¿Vincula los datos nuevos con los ya conocidos?,multiple_choice,,,
evaluaciones.pregunta_23,¿Aplica lo que aprende en su labor cotidiana?,multiple_choice,,,
evaluaciones.pregunta_24,¿Muestra curiosidad intelectual?,multiple_choice,,,
evaluaciones.pregunta_25,¿Reconoce las necesidades de mejora?,multiple_choice,,,
evaluaciones.pregunta_26,¿Se interesa por realizar las actividades que se le solicitan?,multiple_choice,,,
evaluaciones.pregunta_27,¿Se esmera por apegarse a los requisitos de calidad?,multiple_choice,,,
evaluaciones.pregunta_28,¿Es perfeccionista y meticuloso?,multiple_choice,,,
evaluaciones.pregunta_29,¿Cuida la puntualidad en sus entregas?,multiple_choice,,,
evaluaciones.pregunta_30,¿Dispuesto a satisfacer las expectativas que hay sobre su persona?,multiple_choice,,,
evaluaciones.pregunta_31,¿Cumple las tareas asignadas?,multiple_choice,,,
evaluaciones.pregunta_32,¿Se apega a los estándares definidos?,multiple_choice,,,
evaluaciones.pregunta_33,¿Puede realizar actividades más complejas?,multiple_choice,,,
evaluaciones.pregunta_34,¿Es confiable?,multiple_choice,,,
evaluaciones.pregunta_35,¿Muestra interés por superarse?,multiple_choice,,,
evaluaciones.pregunta_36,¿Capaz de escuchar y dispuesto a hacerlo?,multiple_choice,,,
evaluaciones.pregunta_37,¿Entiende los mensajes verbales?,multiple_choice,,,
evaluaciones.pregunta_38,¿Comprende los aspectos no verbales de la comunicación?,multiple_choice,,,
evaluaciones.pregunta_39,¿Expresa sus ideas con claridad y coherencia?,multiple_choice,,,
evaluaciones.pregunta_40,¿Genera el impacto deseado en sus interlocutores?,multiple_choice,,,
evaluaciones.pregunta_41,¿Comprende adecuadamente lo que lee?,multiple_choice,,,
evaluaciones.pregunta_42,¿Usa correctamente la gramática inglesa?,multiple_choice,,,
evaluaciones.pregunta_43,¿Entiende las conversaciones en el idioma?,multiple_choice,,,
evaluaciones.pregunta_44,¿Posee un amplio vocabulario en inglés?,multiple_choice,,,
evaluaciones.pregunta_45,¿Se expresa verbalmente con claridad y fluidez?,multiple_choice,,,
evaluaciones.pregunta_46,¿Se concentra en la tarea designada?,multiple_choice,,,
evaluaciones.pregunta_47,¿Es meticuloso con los detalles?,multiple_choice,,,
evaluaciones.pregunta_48,¿Le agradan los entornos estables y las actividades rutinarias?,multiple_choice,,,
evaluaciones.pregunta_49,¿Puede apegarse a los procedimientos definidos?,multiple_choice,,,
evaluaciones.pregunta_50,¿Interés por cumplir con los requisitos de calidad?,multiple_choice,,,
evaluaciones.pregunta_51,¿Establece planes de trabajo objetivos?,multiple_choice,,,
evaluaciones.pregunta_52,¿Coordina distintas actividades?,multiple_choice,,,
evaluaciones.pregunta_53,¿Da un seguimiento oportuno y proactivo?,multiple_choice,,,
evaluaciones.pregunta_54,¿Administra efectivamente el riesgo?,multiple_choice,,,
evaluaciones.pregunta_55,¿Da una respuesta efectiva ante desviaciones o fallas en el plan?,multiple_choice,,,
evaluaciones.pregunta_56,¿Comprende la esencia de las situaciones?,multiple_choice,,,
evaluaciones.pregunta_57,¿Cuestiona lo convenciona?,multiple_choice,,,
evaluaciones.pregunta_58,¿Le motivan el cambio y la innovación?,multiple_choice,,,
evaluaciones.pregunta_59,¿Muestra seguridad personal para proponer sus ideas?,multiple_choice,,,
evaluaciones.pregunta_60,¿Se interesa por generar nuevas soluciones?,multiple_choice,,,
evaluaciones.pregunta_61,¿Comprende los requerimientos?,multiple_choice,,,
evaluaciones.pregunta_62,¿Idea alguna manera de lograr los resultados esperados?,multiple_choice,,,
evaluaciones.pregunta_63,¿Se concentra en la realización de las actividades?,multiple_choice,,,
evaluaciones.pregunta_64,¿Persevera hasta concluir la tarea?,multiple_choice,,,
evaluaciones.pregunta_65,¿Enfatiza la calidad de sus entregables?,multiple_choice,,,
evaluaciones.pregunta_66,¿Entiende los objetivos y su alcance?,multiple_choice,,,
evaluaciones.pregunta_67,¿Concentra su energía en el logro de resultados?,multiple_choice,,,
evaluaciones.pregunta_68,¿Muestra empuje para hacer que las cosas sucedan?,multiple_choice,,,
evaluaciones.pregunta_69,¿Actúa con autonomía e iniciativa?,multiple_choice,,,
evaluaciones.pregunta_70,"¿Le motiva alcanzar metas, incluso desafiantes?",multiple_choice,,,
evaluaciones.pregunta_71,¿Se conoce a sí mismo profundamente?,multiple_choice,,,
evaluaciones.pregunta_72,¿Percibe objetivamente sus fortalezas y debilidades?,multiple_choice,,,
evaluaciones.pregunta_73,¿Confía en sus propias capacidades?,multiple_choice,,,
evaluaciones.pregunta_74,¿Percibe objetivamente a los demás?,multiple_choice,,,
evaluaciones.pregunta_75,¿Regula sus emociones apropiadamente ante el estrés?,multiple_choice,,,
evaluaciones.pregunta_76,¿Se apega a las normas sociales vigentes?,multiple_choice,,,
evaluaciones.pregunta_77,¿Privilegia el deber sobre sus propios intereses?,multiple_choice,,,
evaluaciones.pregunta_78,¿Se interesa por mostrar una imagen socialmente adecuada?,multiple_choice,,,
evaluaciones.pregunta_79,¿Se interesa por hacer lo correcto sin importar las circunstancias?,multiple_choice,,,
evaluaciones.pregunta_80,¿Toma decisiones con base en una moral rigurosa?,multiple_choice,,,
evaluaciones.pregunta_81,¿Identifica cuándo se requiere una acción?,multiple_choice,,,
evaluaciones.pregunta_82,¿Define soluciones efectivas y acordes a las necesidades?,multiple_choice,,,
evaluaciones.pregunta_83,¿Agilidad y disposición para lograr que las cosas sucedan?,multiple_choice,,,
evaluaciones.pregunta_84,¿Muestra seguridad personal para proponer y actuar?,multiple_choice,,,
evaluaciones.pregunta_85,¿Tomar acciones de manera autónoma?,multiple_choice,,,
evaluaciones.pregunta_86,¿Cumple los acuerdos que establece?,multiple_choice,,,
evaluaciones.pregunta_87,¿Toma decisiones basándose en criterios éticos?,multiple_choice,,,
evaluaciones.pregunta_88,¿Congruente entre lo que dice y lo que hace?,multiple_choice,,,
evaluaciones.pregunta_89,¿Inspira la confianza de los demás?,multiple_choice,,,
evaluaciones.pregunta_90,¿Actúa de manera honorable?,multiple_choice,,,
evaluaciones.pregunta_91,¿Identifica y acepta sus propias emociones?,multiple_choice,,,
evaluaciones.pregunta_92,¿Regula y canaliza adecuadamente sus emociones?,multiple_choice,,,
evaluaciones.pregunta_93,¿Reconoce y comprende las emociones de los demás?,multiple_choice,,,
evaluaciones.pregunta_94,¿Enfoca sus emociones hacia un fin productivo y/o creativo?,multiple_choice,,,
evaluaciones.pregunta_95,¿Transforma emociones negativas en resultados positivos?,multiple_choice,,,
evaluaciones.pregunta_96,¿Determina cuáles son los resultados esperados?,multiple_choice,,,
evaluaciones.pregunta_97,¿Define de un plan de acción para obtenerlos?,multiple_choice,,,
evaluaciones.pregunta_98,¿Asegura que sus colaboradores se enfoquen en lograrlos?,multiple_choice,,,
evaluaciones.pregunta_99,¿Da seguimiento para asegurar la calidad de los entregables?,multiple_choice,,,
evaluaciones.pregunta_100,¿Agrado por los roles de autoridad?,multiple_choice,,,
evaluaciones.pregunta_101,¿Define objetivos beneficiosos para la empresa y el colaborador?,multiple_choice,,,
evaluaciones.pregunta_102,¿Los comunica inspirando entusiasmo por lograrlos?,multiple_choice,,,
evaluaciones.pregunta_103,¿Involucra a su equipo en la planeación?,multiple_choice,,,
evaluaciones.pregunta_104,¿Retroalimenta y da coaching?,multiple_choice,,,
evaluaciones.pregunta_105,¿Comparte su experiencia y facilita el aprendizaje?,multiple_choice,,,
evaluaciones.pregunta_106,¿Comprende el origen del conflicto?,multiple_choice,,,
evaluaciones.pregunta_107,"¿Identifica las emociones de los involucrados, incluyéndose?",multiple_choice,,,
evaluaciones.pregunta_108,¿Conserva la calma y expresa con asertividad su opinión?,multiple_choice,,,
evaluaciones.pregunta_109,¿Escucha con empatía el punto de vista de los demás?,multiple_choice,,,
evaluaciones.pregunta_110,¿Colabora para llegar a una solución satisfactoria para todos?,multiple_choice,,,
evaluaciones.pregunta_111,¿Identifica el objetivo real deseado por cada parte?,multiple_choice,,,
evaluaciones.pregunta_112,¿Expone con claridad y seguridad cuál es el beneficio que busca?,multiple_choice,,,
evaluaciones.pregunta_113,¿Escucha con atención las necesidades del otro?,multiple_choice,,,
evaluaciones.pregunta_114,¿Colabora en la generación de propuestas equitativas?,multiple_choice,,,
evaluaciones.pregunta_115,¿Genera acuerdos satisfactorios que ayudan a todos a ganar?,multiple_choice,,,
evaluaciones.pregunta_116,¿Identifica el objetivo real deseado por cada parte?,multiple_choice,,,
evaluaciones.pregunta_117,¿Se comunica con asertividad?,multiple_choice,,,
evaluaciones.pregunta_118,¿Colabora en la generación de propuestas equitativas?,multiple_choice,,,
evaluaciones.pregunta_119,¿Genera acuerdos satisfactorios que ayudan a todos a ganar?,multiple_choice,,,
evaluaciones.pregunta_120,¿Privilegia la relación de negocio sobre el cierre de una venta?,multiple_choice,,,
evaluaciones.pregunta_121,¿Mantiene el orden en su espacio y actividades?,multiple_choice,,,
evaluaciones.pregunta_122,¿Busca estructurar las tareas a realizar?,multiple_choice,,,
evaluaciones.pregunta_123,¿Comprende las secuencias y se apega a ellas?,multiple_choice,,,
evaluaciones.pregunta_124,¿Cuida los detalles de su trabajo?,multiple_choice,,,
evaluaciones.pregunta_125,¿Conserva la disciplina para favorecer el cumplimiento de resultados?,multiple_choice,,,
evaluaciones.pregunta_126,¿Comprende el objetivo a lograr?,multiple_choice,,,
evaluaciones.pregunta_127,¿Define las acciones necesarias para alcanzarlo?,multiple_choice,,,
evaluaciones.pregunta_128,¿Identifica las prioridades?,multiple_choice,,,
evaluaciones.pregunta_129,¿Asigna racionalmente los tiempos y recursos?,multiple_choice,,,
evaluaciones.pregunta_130,¿Visualiza las distintas opciones y construye escenarios viables?,multiple_choice,,,
evaluaciones.pregunta_131,¿Identifica con objetividad sus fortalezas y áreas de oportunidad?,multiple_choice,,,
evaluaciones.pregunta_132,"¿Reconoce la necesidad de aprender, cambiar y desarrollarse?",multiple_choice,,,
evaluaciones.pregunta_133,¿Busca oportunidades para crecer y las aprovecha?,multiple_choice,,,
evaluaciones.pregunta_134,"¿Muestra apertura al reto, enfocándose en obtener logros?",multiple_choice,,,
evaluaciones.pregunta_135,¿Muestra iniciativa y constancia para concretar su intención en resultados?,multiple_choice,,,
evaluaciones.pregunta_136,¿Privilegia el bien común sobre sus propios intereses?,multiple_choice,,,
evaluaciones.pregunta_137,¿Enfoca su conducta en el beneficio de los demás?,multiple_choice,,,
