"id","name","type_tax_use","amount","amount_type","description","invoice_label","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
"uae_sale_tax_5_dubai","5% DB","sale","5.0","percent","Vat 5% Dubai","VAT 5%","ae_tax_group_5","base","invoice","+b. Dubai (Base)","",""
"","","","","","","","","tax","invoice","+b. Dubai (Tax)","uae_account_201017",""
"","","","","","","","","base","refund","-b. Dubai (Base)","",""
"","","","","","","","","tax","refund","-b. Dubai (Tax)","uae_account_201017",""
"uae_sale_tax_5_abu_dhabi","5% AD","sale","5.0","percent","VAT 5% Abu Dhabi","VAT 5%","ae_tax_group_5","base","invoice","+a. Abu Dhabi (Base)","",""
"","","","","","","","","tax","invoice","+a. Abu Dhabi (Tax)","uae_account_201017",""
"","","","","","","","","base","refund","-a. Abu Dhabi (Base)","",""
"","","","","","","","","tax","refund","-a. Abu Dhabi (Tax)","uae_account_201017",""
"uae_sale_tax_5_sharjah","5% S","sale","5.0","percent","VAT 5% Sharjah","VAT 5%","ae_tax_group_5","base","invoice","+c. Sharjah (Base)","",""
"","","","","","","","","tax","invoice","+c. Sharjah (Tax)","uae_account_201017",""
"","","","","","","","","base","refund","-c. Sharjah (Base)","",""
"","","","","","","","","tax","refund","-c. Sharjah (Tax)","uae_account_201017",""
"uae_sale_tax_5_ajman","5% A","sale","5.0","percent","VAT 5% Ajman","VAT 5%","ae_tax_group_5","base","invoice","+d. Ajman (Base)","",""
"","","","","","","","","tax","invoice","+d. Ajman (Tax)","uae_account_201017",""
"","","","","","","","","base","refund","-d. Ajman (Base)","",""
"","","","","","","","","tax","refund","-d. Ajman (Tax)","uae_account_201017",""
"uae_sale_tax_5_umm_al_quwain","5% UAQ","sale","5.0","percent","VAT 5% Umm Al Quwain","VAT 5%","ae_tax_group_5","base","invoice","+e. Umm Al Quwain (Base)","",""
"","","","","","","","","tax","invoice","+e. Umm Al Quwain (Tax)","uae_account_201017",""
"","","","","","","","","base","refund","-e. Umm Al Quwain (Base)","",""
"","","","","","","","","tax","refund","-e. Umm Al Quwain (Tax)","uae_account_201017",""
"uae_sale_tax_5_ras_al_khaima","5% RAK","sale","5.0","percent","VAT 5% Ras Al-Khaima","VAT 5%","ae_tax_group_5","base","invoice","+f. Ras Al-Khaima (Base)","",""
"","","","","","","","","tax","invoice","+f. Ras Al-Khaima (Tax)","uae_account_201017",""
"","","","","","","","","base","refund","-f. Ras Al-Khaima (Base)","",""
"","","","","","","","","tax","refund","-f. Ras Al-Khaima (Tax)","uae_account_201017",""
"uae_sale_tax_5_fujairah","5% F","sale","5.0","percent","VAT 5% Fujairah","VAT 5%","ae_tax_group_5","base","invoice","+g. Fujairah (Base)","",""
"","","","","","","","","tax","invoice","+g. Fujairah (Tax)","uae_account_201017",""
"","","","","","","","","base","refund","-g. Fujairah (Base)","",""
"","","","","","","","","tax","refund","-g. Fujairah (Tax)","uae_account_201017",""
"uae_sale_tax_exempted","0% Exempt","sale","0.0","percent","Exempted","Exempted","ae_tax_group_exempted","base","invoice","+5. Exempt supplies (Base)","",""
"","","","","","","","","tax","invoice","","",""
"","","","","","","","","base","refund","-5. Exempt supplies (Base)","",""
"","","","","","","","","tax","refund","","",""
"uae_sale_tax_0","0%","sale","0.0","percent","","VAT 0%","ae_tax_group_0","base","invoice","+4. Zero rated supplies (Base)","",""
"","","","","","","","","tax","invoice","","",""
"","","","","","","","","base","refund","-4. Zero rated supplies (Base)","",""
"","","","","","","","","tax","refund","","",""
"uae_export_tax","0% EX","sale","0.0","percent","Export Tax","Export Tax","","base","invoice","","",""
"","","","","","","","","tax","invoice","","",""
"","","","","","","","","base","refund","","",""
"","","","","","","","","tax","refund","","",""
"uae_sale_tax_reverse_charge_dubai","5% R C D","sale","5.0","percent","Supplies subject to reverse charge provisions (Dubai)","Supplies subject to reverse charge provisions","","base","invoice","+11. Supplies subject to the reverse charge provisions (Base)||+3. Supplies subject to reverse charge provisions (Base)","",""
"","","","","","","","","tax","invoice","+11. Supplies subject to the reverse charge provisions (Tax)","uae_account_104041",""
"","","","","","","","","tax","invoice","-3. Supplies subject to reverse charge provisions (Tax)","uae_account_201017","-100"
"","","","","","","","","base","refund","-11. Supplies subject to the reverse charge provisions (Base)||-3. Supplies subject to reverse charge provisions (Base)","",""
"","","","","","","","","tax","refund","-11. Supplies subject to the reverse charge provisions (Tax)","uae_account_104041",""
"","","","","","","","","tax","refund","+3. Supplies subject to reverse charge provisions (Tax)","uae_account_201017","-100"
"uae_sale_tax_reverse_charge_abu_dhabi","5% R C AD","sale","5.0","percent","Supplies subject to reverse charge provisions (Abu Dhabi)","Supplies subject to reverse charge provisions","","base","invoice","+11. Supplies subject to the reverse charge provisions (Base)||+3. Supplies subject to reverse charge provisions (Base)","",""
"","","","","","","","","tax","invoice","+11. Supplies subject to the reverse charge provisions (Tax)","uae_account_104041",""
"","","","","","","","","tax","invoice","-3. Supplies subject to reverse charge provisions (Tax)","uae_account_201017","-100"
"","","","","","","","","base","refund","-11. Supplies subject to the reverse charge provisions (Base)||-3. Supplies subject to reverse charge provisions (Base)","",""
"","","","","","","","","tax","refund","-11. Supplies subject to the reverse charge provisions (Tax)","uae_account_104041",""
"","","","","","","","","tax","refund","+3. Supplies subject to reverse charge provisions (Tax)","uae_account_201017","-100"
"uae_sale_tax_reverse_charge_sharjah","5% R C S","sale","5.0","percent","Supplies subject to reverse charge provisions (Sharjah)","Supplies subject to reverse charge provisions","","base","invoice","+11. Supplies subject to the reverse charge provisions (Base)||+3. Supplies subject to reverse charge provisions (Base)","",""
"","","","","","","","","tax","invoice","+11. Supplies subject to the reverse charge provisions (Tax)","uae_account_104041",""
"","","","","","","","","tax","invoice","-3. Supplies subject to reverse charge provisions (Tax)","uae_account_201017","-100"
"","","","","","","","","base","refund","-11. Supplies subject to the reverse charge provisions (Base)||-3. Supplies subject to reverse charge provisions (Base)","",""
"","","","","","","","","tax","refund","-11. Supplies subject to the reverse charge provisions (Tax)","uae_account_104041",""
"","","","","","","","","tax","refund","+3. Supplies subject to reverse charge provisions (Tax)","uae_account_201017","-100"
"uae_sale_tax_reverse_charge_ajman","5% R C A","sale","5.0","percent","Supplies subject to reverse charge provisions (Ajman)","Supplies subject to reverse charge provisions","","base","invoice","+11. Supplies subject to the reverse charge provisions (Base)||+3. Supplies subject to reverse charge provisions (Base)","",""
"","","","","","","","","tax","invoice","+11. Supplies subject to the reverse charge provisions (Tax)","uae_account_104041",""
"","","","","","","","","tax","invoice","-3. Supplies subject to reverse charge provisions (Tax)","uae_account_201017","-100"
"","","","","","","","","base","refund","-11. Supplies subject to the reverse charge provisions (Base)||-3. Supplies subject to reverse charge provisions (Base)","",""
"","","","","","","","","tax","refund","-11. Supplies subject to the reverse charge provisions (Tax)","uae_account_104041",""
"","","","","","","","","tax","refund","+3. Supplies subject to reverse charge provisions (Tax)","uae_account_201017","-100"
"uae_sale_tax_reverse_charge_umm_al_quwain","5% R C UAQ","sale","5.0","percent","Supplies subject to reverse charge provisions (Umm Al Quwain)","Supplies subject to reverse charge provisions","","base","invoice","+11. Supplies subject to the reverse charge provisions (Base)||+3. Supplies subject to reverse charge provisions (Base)","",""
"","","","","","","","","tax","invoice","+11. Supplies subject to the reverse charge provisions (Tax)","uae_account_104041",""
"","","","","","","","","tax","invoice","-3. Supplies subject to reverse charge provisions (Tax)","uae_account_201017","-100"
"","","","","","","","","base","refund","-11. Supplies subject to the reverse charge provisions (Base)||-3. Supplies subject to reverse charge provisions (Base)","",""
"","","","","","","","","tax","refund","-11. Supplies subject to the reverse charge provisions (Tax)","uae_account_104041",""
"","","","","","","","","tax","refund","+3. Supplies subject to reverse charge provisions (Tax)","uae_account_201017","-100"
"uae_sale_tax_reverse_charge_ras_al_khaima","5% R C RAK","sale","5.0","percent","Supplies subject to reverse charge provisions (Ras Al-Khaima)","Supplies subject to reverse charge provisions","","base","invoice","+11. Supplies subject to the reverse charge provisions (Base)||+3. Supplies subject to reverse charge provisions (Base)","",""
"","","","","","","","","tax","invoice","+11. Supplies subject to the reverse charge provisions (Tax)","uae_account_104041",""
"","","","","","","","","tax","invoice","-3. Supplies subject to reverse charge provisions (Tax)","uae_account_201017","-100"
"","","","","","","","","base","refund","-11. Supplies subject to the reverse charge provisions (Base)||-3. Supplies subject to reverse charge provisions (Base)","",""
"","","","","","","","","tax","refund","-11. Supplies subject to the reverse charge provisions (Tax)","uae_account_104041",""
"","","","","","","","","tax","refund","+3. Supplies subject to reverse charge provisions (Tax)","uae_account_201017","-100"
"uae_sale_tax_reverse_charge_fujairah","5% R C F","sale","5.0","percent","Supplies subject to reverse charge provisions (Fujairah)","Supplies subject to reverse charge provisions","","base","invoice","+11. Supplies subject to the reverse charge provisions (Base)||+3. Supplies subject to reverse charge provisions (Base)","",""
"","","","","","","","","tax","invoice","+11. Supplies subject to the reverse charge provisions (Tax)","uae_account_104041",""
"","","","","","","","","tax","invoice","-3. Supplies subject to reverse charge provisions (Tax)","uae_account_201017","-100"
"","","","","","","","","base","refund","-11. Supplies subject to the reverse charge provisions (Base)||-3. Supplies subject to reverse charge provisions (Base)","",""
"","","","","","","","","tax","refund","-11. Supplies subject to the reverse charge provisions (Tax)","uae_account_104041",""
"","","","","","","","","tax","refund","+3. Supplies subject to reverse charge provisions (Tax)","uae_account_201017","-100"
"uae_sale_tax_tourist_refund","5% T R","sale","5.0","percent","Tax Refunds provided to Tourists under the Tax Refunds for Tourists Scheme","Tax Refunds provided to Tourists under the Tax Refunds for Tourists Scheme","","base","invoice","+2. Tax Refunds provided to Tourists under the Tax Refunds for Tourists Scheme (Base)","",""
"","","","","","","","","tax","invoice","+2. Tax Refunds provided to Tourists under the Tax Refunds for Tourists Scheme (Tax)","uae_account_201017",""
"","","","","","","","","base","refund","-2. Tax Refunds provided to Tourists under the Tax Refunds for Tourists Scheme (Base)","",""
"","","","","","","","","tax","refund","-2. Tax Refunds provided to Tourists under the Tax Refunds for Tourists Scheme (Tax)","uae_account_201017",""
"uae_purchase_tax_5","5%","purchase","5.0","percent","","VAT 5%","ae_tax_group_5","base","invoice","+10. Standard rated expenses (Base)","",""
"","","","","","","","","tax","invoice","+10. Standard rated expenses (Tax)","uae_account_104041",""
"","","","","","","","","base","refund","-10. Standard rated expenses (Base)","",""
"","","","","","","","","tax","refund","-10. Standard rated expenses (Tax)","uae_account_104041",""
"uae_purchase_tax_exempted","0% Exempt","purchase","0.0","percent","Exempted Tax","Exempted Tax","ae_tax_group_exempted","base","invoice","","",""
"","","","","","","","","tax","invoice","","",""
"","","","","","","","","base","refund","","",""
"","","","","","","","","tax","refund","","",""
"uae_purchase_tax_0","0%","purchase","0.0","percent","","VAT 0%","ae_tax_group_0","base","invoice","","",""
"","","","","","","","","tax","invoice","","",""
"","","","","","","","","base","refund","","",""
"","","","","","","","","tax","refund","","",""
"uae_import_tax","5% EX","purchase","5.0","percent","Import Tax","Import Tax","","base","invoice","+7. Goods imported into the UAE (Base)","",""
"","","","","","","","","tax","invoice","+7. Goods imported into the UAE (Tax)","uae_account_104041",""
"","","","","","","","","base","refund","-7. Goods imported into the UAE (Base)","",""
"","","","","","","","","tax","refund","-7. Goods imported into the UAE (Tax)","uae_account_104041",""
