"id","sequence","description","invoice_label","name","price_include","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id"
"VAT_S_IN_RW_18","1","Local 18% sales","Local 18% sales","18%","False","18.0","percent","sale","tax_group_vat_18","100","base","invoice","+5.base",""
"","","","","","","","","","","100","tax","invoice","+35.tax","rw_307"
"","","","","","","","","","","100","base","refund","+5.base",""
"","","","","","","","","","","100","tax","refund","+35.tax","rw_307"
"VAT_S_exempt_O","2","Exempt","Exempt","0% EXEMPT","False","0.0","percent","sale","tax_group_vat_0","100","base","invoice","+10.base",""
"","","","","","","","","","","100","tax","invoice","",""
"","","","","","","","","","","100","base","refund","+10.base",""
"","","","","","","","","","","100","tax","refund","",""
"VAT_S_IN_O","3","Local 0% sales","Local 0% sales","0%","False","0.0","percent","sale","tax_group_vat_0","100","base","invoice","+15.base",""
"","","","","","","","","","","100","tax","invoice","",""
"","","","","","","","","","","100","base","refund","+15.base",""
"","","","","","","","","","","100","tax","refund","",""
"VAT_S_EXPORT","4","Export 0%","Export 0%","0% EX","False","0.0","percent","sale","tax_group_vat_0","100","base","invoice","+20.base",""
"","","","","","","","","","","100","tax","invoice","",""
"","","","","","","","","","","100","base","refund","+20.base",""
"","","","","","","","","","","100","tax","refund","",""
"VAT_S_reverse_O","5","Reverse charge 0%","Reverse charge 0%","0% R C","False","0.0","percent","sale","tax_group_vat_0","100","base","invoice","+40.base",""
"","","","","","","","","","","100","tax","invoice","",""
"","","","","","","","","","","100","base","refund","+40.base",""
"","","","","","","","","","","100","tax","refund","",""
"VAT_P_IMPORT","6","Import 18%","Import 18%","18% EX","False","18.0","percent","purchase","tax_group_vat_0","100","base","invoice","",""
"","","","","","","","","","","100","tax","invoice","+50.tax",""
"","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","100","tax","refund","+50.tax",""
"VAT_P_IN_RW_0","7","Local 0% purchases","Local 0% purchases","0%","False","0.0","percent","purchase","tax_group_vat_0","100","base","invoice","",""
"","","","","","","","","","","100","tax","invoice","",""
"","","","","","","",,"","","100","base","refund","",""
"","","","","","","","","","","100","tax","refund","",""
"VAT_P_IN_RW_18","8","Local 0% purchases","Local 0% purchases","18%","False","18.0","percent","purchase","tax_group_vat_18","100","base","invoice","",""
"","","","","","","",,"","","100","tax","invoice","+55.tax","rw_107"
"","","","","","","",,"","","100","base","refund","",""
"","","","","","","","","","","100","tax","refund","+55.tax","rw_107"
"VAT_P_reverse_18","9","Reverse charge 18%","Reverse charge 0%","18% R C","False","18.0","percent","purchase","tax_group_vat_0","100","base","invoice","",""
"","","","","","","","","","","100","tax","invoice","+65.tax","rw_107"
"","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","100","tax","refund","+65.tax","rw_107"
