"id","workplace_code","code","name","region"
"tax_office_1","2001","451","Regional office for Prague 1","Prague"
"tax_office_2","2002","451","Regional office for Prague 2","Prague"
"tax_office_3","2003","451","Regional office for Prague 3","Prague"
"tax_office_4","2004","451","Regional office for Prague 4","Prague"
"tax_office_5","2005","451","Regional office for Prague 5","Prague"
"tax_office_6","2006","451","Regional office for Prague 6","Prague"
"tax_office_7","2007","451","Regional office for Prague 7","Prague"
"tax_office_8","2008","451","Regional office for Prague 8","Prague"
"tax_office_9","2009","451","Regional office for Prague 9","Prague"
"tax_office_10","2010","451","Regional office for Prague 10","Prague"
"tax_office_11","2011","451","Regional office for Prague - South City","Prague"
"tax_office_12","2012","451","Regional office for Prague - Modřany","Prague"
"tax_office_13","2100","452","Tax Office for the Central Bohemian Region","Central Bohemian"
"tax_office_14","2101","452","Regional office in Prague - East","Central Bohemian"
"tax_office_15","2102","452","Regional office in Prague - West","Central Bohemian"
"tax_office_16","2103","452","Regional office in Benesov","Central Bohemian"
"tax_office_17","2104","452","Regional office in Beroun","Central Bohemian"
"tax_office_18","2105","452","Regional office in Brandys nad Labem - Old Boleslav","Central Bohemian"
"tax_office_19","2106","452","Regional office in Caslav","Central Bohemian"
"tax_office_20","2107","452","Regional office in the Czech Brod","Central Bohemian"
"tax_office_21","2108","452","Regional office in Dobříš","Central Bohemian"
"tax_office_22","2109","452","Regional office in Hořovice","Central Bohemian"
"tax_office_23","2110","452","Regional office in Kladno","Central Bohemian"
"tax_office_24","2111","452","Regional office in Kolín","Central Bohemian"
"tax_office_25","2112","452","Regional office in Kralupy nad Vltavou","Central Bohemian"
"tax_office_26","2113","452","Regional office in Kutna Hora","Central Bohemian"
"tax_office_27","2114","452","Regional office in Melnik","Central Bohemian"
"tax_office_28","2115","452","Regional office in Mlada Boleslav","Central Bohemian"
"tax_office_29","2116","452","Regional office in Munich Hradiste","Central Bohemian"
"tax_office_30","2117","452","Regional office in Neratovice","Central Bohemian"
"tax_office_31","2118","452","Regional office in Nymburk","Central Bohemian"
"tax_office_32","2119","452","Regional office in Podebrady","Central Bohemian"
"tax_office_33","2120","452","Regional office in Pribram","Central Bohemian"
"tax_office_34","2121","452","Regional office in Rakovnik","Central Bohemian"
"tax_office_35","2122","452","Regional office in Ricanech","Central Bohemian"
"tax_office_36","2123","452","Regional office of the Town","Central Bohemian"
"tax_office_37","2124","452","Regional office in Slaný","Central Bohemian"
"tax_office_38","2125","452","Regional office in Vlašimi","Central Bohemian"
"tax_office_39","2126","452","Regional office in Voticích","Central Bohemian"
"tax_office_40","2200","453","Tax Office for South Bohemia","South Bohemian"
"tax_office_41","2201","453","Regional office in the Czech Budejovice","South Bohemian"
