"id","code_prefix_start","name","chart_template_id/id"
"chart_cz_0","0","Dlouhodobý majetek","l10n_cz.cz_chart_template"
"chart_cz_01","01","Dlouhodobý nehmotný majetek","l10n_cz.cz_chart_template"
"chart_cz_012","012","Nehmotné výsledky výzkumu a vývoje","l10n_cz.cz_chart_template"
"chart_cz_013","013","Software","l10n_cz.cz_chart_template"
"chart_cz_014","014","Ostatní ocenitelná práva","l10n_cz.cz_chart_template"
"chart_cz_015","015","Goodwill","l10n_cz.cz_chart_template"
"chart_cz_016","016","Povolenky na emise","l10n_cz.cz_chart_template"
"chart_cz_017","017","Preferenční limity","l10n_cz.cz_chart_template"
"chart_cz_019","019","Ostatní dlouhodobý nehmotný majetek","l10n_cz.cz_chart_template"
"chart_cz_02","02","Dlouhodobý hmotný majetek - odpisovaný","l10n_cz.cz_chart_template"
"chart_cz_021","021","Stavby","l10n_cz.cz_chart_template"
"chart_cz_022","022","Hmotné movité věci a jejich soubory","l10n_cz.cz_chart_template"
"chart_cz_025","025","Pěstitelské celky trvalých porostů","l10n_cz.cz_chart_template"
"chart_cz_026","026","Dospělá zvířata a jejich skupiny","l10n_cz.cz_chart_template"
"chart_cz_027","027","Oceňovací rozdíl k nabytému majetku","l10n_cz.cz_chart_template"
"chart_cz_029","029","Jiný dlouhodobý hmotný majetek","l10n_cz.cz_chart_template"
"chart_cz_03","03","Dlouhodobý hmotný majetek - neodpisovaný","l10n_cz.cz_chart_template"
"chart_cz_031","031","Pozemky","l10n_cz.cz_chart_template"
"chart_cz_032","032","Umělecká díla a sbírky","l10n_cz.cz_chart_template"
"chart_cz_04","04","Nedokončený dlouhodobý nehmotný a hmotný majetek","l10n_cz.cz_chart_template"
"chart_cz_041","041","Pořízení dlouhodobého nehmotného majetku","l10n_cz.cz_chart_template"
"chart_cz_042","042","Pořízení dlouhodobého hmotného majetku","l10n_cz.cz_chart_template"
"chart_cz_043","043","Pořízení dlouhodobého finančního majetku","l10n_cz.cz_chart_template"
"chart_cz_05","05","Poskytnuté zálohy na dlouhodobý majetek","l10n_cz.cz_chart_template"
"chart_cz_051","051","Poskytnuté zálohy na dlouhodobý nehmotný majetek","l10n_cz.cz_chart_template"
"chart_cz_052","052","Poskytnuté zálohy na dlouhodobý hmotný majetek","l10n_cz.cz_chart_template"
"chart_cz_055","055","Poskytnuté zálohy na dlouhodobý finanční majetek","l10n_cz.cz_chart_template"
