"id","code","name","user_type_id/id","tag_ids/id","reconcile","chart_template_id/id"
"no_a_cash","1000","Forskning og utvikling","account.data_account_type_current_assets","","False","no_chart_template"
"chart1010","1010","Forskning og utvikling, egenutviklet","account.data_account_type_current_assets","","False","no_chart_template"
"chart1020","1020","Konsesjoner","account.data_account_type_current_assets","","False","no_chart_template"
"chart1030","1030","Patenter","account.data_account_type_current_assets","","False","no_chart_template"
"chart1040","1040","Lisenser","account.data_account_type_current_assets","","False","no_chart_template"
"chart1050","1050","Varemerker","account.data_account_type_current_assets","","False","no_chart_template"
"chart1060","1060","Andre rettigheter","account.data_account_type_current_assets","","False","no_chart_template"
"chart1070","1070","Utsatt skattefordel","account.data_account_type_current_assets","","False","no_chart_template"
"chart1080","1080","Goodwill","account.data_account_type_current_assets","","False","no_chart_template"
"chart1100","1100","Bygninger","account.data_account_type_current_assets","","False","no_chart_template"
"chart1120","1120","Bygningsmessige anlegg","account.data_account_type_current_assets","","False","no_chart_template"
"chart1130","1130","Anlegg under utførelse","account.data_account_type_current_assets","","False","no_chart_template"
"chart1140","1140","Jord- og skogbrukseiendommer","account.data_account_type_current_assets","","False","no_chart_template"
"chart1150","1150","Tomter og andre grunnarealer","account.data_account_type_current_assets","","False","no_chart_template"
"chart1160","1160","Boliger inklusive tomter","account.data_account_type_current_assets","","False","no_chart_template"
"chart1190","1190","Andre anleggsmidler","account.data_account_type_current_assets","","False","no_chart_template"
"chart1200","1200","Maskiner og anlegg","account.data_account_type_current_assets","","False","no_chart_template"
"chart1210","1210","Maskiner og anlegg under utførelse","account.data_account_type_current_assets","","False","no_chart_template"
"chart1220","1220","Skip, rigger, fly","account.data_account_type_current_assets","","False","no_chart_template"
"chart1230","1230","Biler","account.data_account_type_current_assets","","False","no_chart_template"
"chart1239","1239","Vogntog, lastebiler og busser","account.data_account_type_current_assets","","False","no_chart_template"
"chart1240","1240","Andre transportmidler","account.data_account_type_current_assets","","False","no_chart_template"
"chart1249","1249","Andre transportmidler","account.data_account_type_current_assets","","False","no_chart_template"
"chart1250","1250","Inventar","account.data_account_type_current_assets","","False","no_chart_template"
"chart1260","1260","Fast bygningsinventar med annen avskrivning","account.data_account_type_current_assets","","False","no_chart_template"
"chart1270","1270","Verktøy mv.","account.data_account_type_current_assets","","False","no_chart_template"
"chart1280","1280","Kontormaskiner","account.data_account_type_current_assets","","False","no_chart_template"
