"id","code","name","tag_ids/id","account_type","chart_template_id/id","reconcile"
"account_0005","0005","Rückständige fällige Einzahlungen auf Geschäftsanteile","l10n_de.tag_de_asset_bs_A_I_2","asset_non_current","l10n_de_skr03.l10n_de_chart_template","False"
"account_0010","0010","Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten","l10n_de.tag_de_asset_bs_A_I_2","asset_non_current","l10n_de_skr03.l10n_de_chart_template","False"
"account_0015","0015","Konzessionen","l10n_de.tag_de_asset_bs_A_I_2","asset_non_current","l10n_de_skr03.l10n_de_chart_template","False"
"account_0020","0020","Gewerbliche Schutzrechte","l10n_de.tag_de_asset_bs_A_I_2","asset_non_current","l10n_de_skr03.l10n_de_chart_template","False"
"account_0025","0025","Ähnliche Rechte und Werte","l10n_de.tag_de_asset_bs_A_I_2","asset_non_current","l10n_de_skr03.l10n_de_chart_template","False"
"account_0027","0027","EDV-Software","l10n_de.tag_de_asset_bs_A_I_2","asset_non_current","l10n_de_skr03.l10n_de_chart_template","False"
"account_0030","0030","Lizenzen an gewerblichen Schutzrechten","l10n_de.tag_de_asset_bs_A_I_2","asset_non_current","l10n_de_skr03.l10n_de_chart_template","False"
"account_0035","0035","Geschäfts- oder Firmenwert","l10n_de.tag_de_asset_bs_A_I_3","asset_non_current","l10n_de_skr03.l10n_de_chart_template","False"
"account_0038","0038","Anzahlungen auf Geschäfts-, Firmenwert","l10n_de.tag_de_asset_bs_A_I_4","asset_non_current","l10n_de_skr03.l10n_de_chart_template","False"
"account_0039","0039","Anzahlungen immaterielle VermG","l10n_de.tag_de_asset_bs_A_I_4","asset_non_current","l10n_de_skr03.l10n_de_chart_template","False"
"account_0040","0040","Verschmelzungsmehrwert","l10n_de.tag_de_asset_bs_A_I_3","asset_non_current","l10n_de_skr03.l10n_de_chart_template","False"
"account_0043","0043","Selbst geschaffene immaterielle Vermögensgegenstände","l10n_de.tag_de_asset_bs_A_I_1","asset_non_current","l10n_de_skr03.l10n_de_chart_template","False"
"account_0045","0045","Lizenzen und Franchiseverträge","l10n_de.tag_de_asset_bs_A_I_1","asset_non_current","l10n_de_skr03.l10n_de_chart_template","False"
"account_0046","0046","Konzessionen und gewerbliche Schutzrechte","l10n_de.tag_de_asset_bs_A_I_1","asset_non_current","l10n_de_skr03.l10n_de_chart_template","False"
"account_0047","0047","Rezepte, Verfahren, Prototypen","l10n_de.tag_de_asset_bs_A_I_1","asset_non_current","l10n_de_skr03.l10n_de_chart_template","False"
"account_0048","0048","Immaterielle Vermögensgegenstände in Entwicklung","l10n_de.tag_de_asset_bs_A_I_1","asset_non_current","l10n_de_skr03.l10n_de_chart_template","False"
"account_0050","0050","Grundstücke,grndst.Rechte und Bauten","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","l10n_de_skr03.l10n_de_chart_template","False"
"account_0059","0059","Grundstücksanteil häusl. Arbeitszimmer","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","l10n_de_skr03.l10n_de_chart_template","False"
"account_0060","0060","Grundstücksgleiche Rechte ohne Bauten","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","l10n_de_skr03.l10n_de_chart_template","False"
"account_0065","0065","Unbebaute Grundstücke","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","l10n_de_skr03.l10n_de_chart_template","False"
"account_0070","0070","Grundstücksgleiche Rechte","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","l10n_de_skr03.l10n_de_chart_template","False"
"account_0075","0075","Grundstücke mit Substanzverzehr","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","l10n_de_skr03.l10n_de_chart_template","False"
"account_0079","0079","Anzahlungen a.Grundstücke ohne Bauten","l10n_de.tag_de_asset_bs_A_II_4","asset_fixed","l10n_de_skr03.l10n_de_chart_template","False"
"account_0080","0080","Bauten auf eigenen Grundstücken","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","l10n_de_skr03.l10n_de_chart_template","False"
"account_0085","0085","Grundstückswert bebauter Grundstücke","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","l10n_de_skr03.l10n_de_chart_template","False"
"account_0090","0090","Geschäftsbauten","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","l10n_de_skr03.l10n_de_chart_template","False"
"account_0100","0100","Fabrikbauten","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","l10n_de_skr03.l10n_de_chart_template","False"
"account_0110","0110","Garagen","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","l10n_de_skr03.l10n_de_chart_template","False"
"account_0111","0111","Außenanlagen","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","l10n_de_skr03.l10n_de_chart_template","False"
"account_0112","0112","Hof- und Wegebefestigungen","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","l10n_de_skr03.l10n_de_chart_template","False"
