"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@vi_VN"
"tax_purchase_vat10","10%","Deductible VAT 10%","Deductible VAT 10%","10.0","percent","purchase","tax_group_10","base","invoice","+Untaxed Purchase of Goods and Services taxed 10%","","Thuế GTGT được khấu trừ 10%"
"","","","","","","","","tax","invoice","+VAT on purchase of goods and services 10%","chart1331",""
"","","","","","","","","base","refund","-Untaxed Purchase of Goods and Services taxed 10%","",""
"","","","","","","","","tax","refund","-VAT on purchase of goods and services 10%","chart1331",""
"tax_purchase_vat5","5%","Deductible VAT 5%","Deductible VAT 5%","5.0","percent","purchase","tax_group_5","base","invoice","+Untaxed Purchase of Goods and Services taxed 5%","","Thuế GTGT được khấu trừ 5%"
"","","","","","","","","tax","invoice","+VAT on purchase of goods and services 5%","chart1331",""
"","","","","","","","","base","refund","-Untaxed Purchase of Goods and Services taxed 5%","",""
"","","","","","","","","tax","refund","-VAT on purchase of goods and services 5%","chart1331",""
"tax_purchase_vat0","0%","Deductible VAT 0%","Deductible VAT 0%","0.0","percent","purchase","tax_group_0","base","invoice","+Untaxed Purchase of Goods and Services taxed 0%","","Thuế GTGT được khấu trừ 0%"
"","","","","","","","","tax","invoice","","",""
"","","","","","","","","base","refund","-Untaxed Purchase of Goods and Services taxed 0%","",""
"","","","","","","","","tax","refund","","",""
"tax_purchase_vat_exemption","VAT EXEMPTION","VAT Exemption","VAT EXEMPTION","0.0","percent","purchase","tax_group_exemption","base","invoice","+Untaxed Purchase of Goods and Services taxed VAT Exemption","","Không thuộc đối tượng chịu thuế GTGT"
"","","","","","","","","tax","invoice","","",""
"","","","","","","","","base","refund","-Untaxed Purchase of Goods and Services taxed VAT Exemption","",""
"","","","","","","","","tax","refund","","",""
"tax_sale_vat10","10%","Value Added Tax (VAT) 10%","Value Added Tax (VAT) 10%","10.0","percent","sale","tax_group_10","base","invoice","+Untaxed sales of goods and services taxed 10%","","Thuế GTGT phải nộp 10%"
"","","","","","","","","tax","invoice","+VAT on sales of goods and services 10%","chart33311",""
"","","","","","","","","base","refund","-Untaxed sales of goods and services taxed 10%","",""
"","","","","","","","","tax","refund","-VAT on sales of goods and services 10%","chart33311",""
"tax_sale_vat5","5%","Value Added Tax (VAT) 5%","Value Added Tax (VAT) 5%","5.0","percent","sale","tax_group_5","base","invoice","+Untaxed sales of goods and services taxed 5%","","Thuế GTGT phải nộp 5%"
"","","","","","","","","tax","invoice","+VAT on sales of goods and services 5%","chart33311",""
"","","","","","","","","base","refund","-Untaxed sales of goods and services taxed 5%","",""
"","","","","","","","","tax","refund","-VAT on sales of goods and services 5%","chart33311",""
"tax_sale_vat0","0%","Value Added Tax (VAT) 0%","Value Added Tax (VAT) 0%","0.0","percent","sale","tax_group_0","base","invoice","+Untaxed sales of goods and services taxed 0%","","Thuế GTGT phải nộp 0%"
"","","","","","","","","tax","invoice","","",""
"","","","","","","","","base","refund","-Untaxed sales of goods and services taxed 0%","",""
"","","","","","","","","tax","refund","","",""
"tax_sale_vat_exemption","VAT EXEMPTION","VAT Exemption","VAT EXEMPTION","0.0","percent","sale","tax_group_exemption","base","invoice","+Untaxed sales of goods and services taxed VAT Exemption","","Không thuộc đối tượng chịu thuế GTGT"
"","","","","","","","","tax","invoice","","",""
"","","","","","","","","base","refund","-Untaxed sales of goods and services taxed VAT Exemption","",""
"","","","","","","","","tax","refund","","",""
