"id","tax_group_id","name","type_tax_use","amount","amount_type","sequence","description","invoice_label","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@lt"
"account_tax_template_sales_0_vat5","tax_group_vat_0","0% EXEMPT","sale","0.0","percent","10","Sale 0% (VAT5) Tax Exempt in LT","","base","invoice","","","Pardavimo 0% (PVM5) neapmokestinamas LT"
"","","","","","","","","","tax","invoice","account_account_template_4492","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_4492","",""
"account_tax_template_sales_0_vat12","tax_group_vat_0","0% EX","sale","0.0","percent","10","Sale 0% (VAT12) export","0% VAT","base","invoice","","","Pardavimo 0% (PVM12) eksportas"
"","","","","","","","","","tax","invoice","account_account_template_4492","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_4492","",""
"account_tax_template_sales_0_vat13","tax_group_vat_0","0%","sale","0.0","percent","10","Sale 0% (VAT13)","0% VAT","base","invoice","","","Pardavimo 0% (PVM13)"
"","","","","","","","","","tax","invoice","account_account_template_4492","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_4492","",""
"account_tax_template_sales_0_vat15","tax_group_vat_0","0% EX S","sale","0.0","percent","10","Sale 0% (VAT15) Service not in EU","","base","invoice","","","Pardavimo 0% (PVM15) paslaugos ne ES"
"","","","","","","","","","tax","invoice","account_account_template_4492","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_4492","",""
"account_tax_template_sales_5","tax_group_vat_5","5%","sale","5.0","percent","10","Sale 5% (VAT3)","5% VAT","base","invoice","","","Pardavimo 5% (PVM3)"
"","","","","","","","","","tax","invoice","account_account_template_4492","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_4492","",""
"account_tax_template_sales_21","tax_group_vat_21","21%","sale","21.0","percent","1","Sale 21% (VAT1)","21% VAT","base","invoice","","","Pardavimo 21% (PVM1)"
"","","","","","","","","","tax","invoice","account_account_template_4492","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_4492","",""
"account_tax_template_sales_reversed_21","tax_group_vat_21","21% R","sale","21.0","percent","10","Reversed Sale 21% (VAT25)","21% VAT","base","invoice","","","Atvirkštinis pardavimo 21% (PVM25)"
"","","","","","","","","","tax","invoice","account_account_template_4492","",""
"","","","","","","","","","tax","invoice","account_account_template_4492","-100",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_4492","",""
"","","","","","","","","","tax","refund","account_account_template_4492","-100",""
"account_tax_template_purchase_0_vat5","tax_group_vat_0","0% EXEMPT","purchase","0.0","percent","10","Purchase 0% (VAT5) Tax Exempt LT","","base","invoice","","","Pirkimo 0% (PVM5) neapmokestinamas LT"
"","","","","","","","","","tax","invoice","account_account_template_2441","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_2441","",""
"account_tax_template_purchase_0_vat14","tax_group_vat_0","0% EX","purchase","0.0","percent","10","Purchase 0% (VAT14) export, transportation","0% VAT","base","invoice","","","Pirkimo 0% (PVM14) eksportas, transportavimas"
"","","","","","","","","","tax","invoice","account_account_template_2441","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_2441","",""
"account_tax_template_purchase_0","tax_group_vat_0","0% VAT15","purchase","0.0","percent","10","Purchase 0% (VAT15)","0% VAT","base","invoice","","","Pirkimo 0% (PVM15)"
"","","","","","","","","","tax","invoice","account_account_template_2441","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_2441","",""
"account_tax_template_purchase_0_vat42","tax_group_vat_0","0% VAT42","purchase","0.0","percent","10","Purchase 0% (VAT42)","","base","invoice","","","Pirkimo 0% (PVM42)"
"","","","","","","","","","tax","invoice","account_account_template_2441","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_2441","",""
"account_tax_template_purchase_0_vat100","tax_group_vat_0","0% VAT100","purchase","0.0","percent","10","Purchase 0% (VAT100) other cases","","base","invoice","","","Pirkimo 0% (PVM100) kiti atvejai"
"","","","","","","","","","tax","invoice","account_account_template_2441","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_2441","",""
"account_tax_template_purchase_5","tax_group_vat_5","5%","purchase","5.0","percent","10","Purchase 5% (VAT3)","5% VAT","base","invoice","","","Pirkimo 5% (PVM3)"
"","","","","","","","","","tax","invoice","account_account_template_2441","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_2441","",""
"account_tax_template_purchase_not_deductible_9","tax_group_vat_9","9% ND","purchase","9.0","percent","10","Purchase 9% (VAT2) not deductible","9% VAT","base","invoice","","","Pirkimo 9% (PVM2) neatskaitomas"
"","","","","","","","","","tax","invoice","account_account_template_63081","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_63081","",""
"account_tax_template_purchase_9","tax_group_vat_9","9%","purchase","9.0","percent","10","Purchase 9% (VAT2)","9% VAT","base","invoice","","","Pirkimo 9% (PVM2)"
"","","","","","","","","","tax","invoice","account_account_template_2441","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_2441","",""
"account_tax_template_purchase_not_deductible_21","tax_group_vat_21","21% ND","purchase","21.0","percent","10","Purchase 21% (VAT1) not deductible","21% VAT","base","invoice","","","Pirkimo 21% (PVM1) neatskaitomas"
"","","","","","","","","","tax","invoice","account_account_template_63081","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_63081","",""
"account_tax_template_purchase_21","tax_group_vat_21","21%","purchase","21.0","percent","1","Purchase 21% (VAT1)","21% VAT","base","invoice","","","Pirkimo 21% (PVM1)"
"","","","","","","","","","tax","invoice","account_account_template_2441","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_2441","",""
"account_tax_template_purchase_reversed_21","tax_group_vat_21","21% R","purchase","21.0","percent","90","Reversed Purchase 21% (VAT25)","21% VAT","base","invoice","","","Atvirkštinis pirkimo 21% (PVM25)"
"","","","","","","","","","tax","invoice","account_account_template_4492","",""
"","","","","","","","","","tax","invoice","account_account_template_4492","-100",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_4492","",""
"","","","","","","","","","tax","refund","account_account_template_4492","-100",""
"account_tax_template_purchase_assumed_21_vat16","tax_group_vat_21","21% EU A","purchase","21.0","percent","100","Assumed Purchase 21% (VAT16) from EU","Assumed 21% VAT","base","invoice","","","Menamas pirkimo 21% (PVM16) iš ES"
"","","","","","","","","","tax","invoice","account_account_template_2441","",""
"","","","","","","","","","tax","invoice","account_account_template_4492","-100",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_2441","",""
"","","","","","","","","","tax","refund","account_account_template_4492","-100",""
"account_tax_template_purchase_assumed_21_vat20","tax_group_vat_21","21% A","purchase","21.0","percent","110","Assumed Purchase 21% (VAT20)","Assumed 21% VAT","base","invoice","","","Menamas pirkimo 21% PVM (PVM20)"
"","","","","","","","","","tax","invoice","account_account_template_2441","",""
"","","","","","","","","","tax","invoice","account_account_template_4492","-100",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_2441","",""
"","","","","","","","","","tax","refund","account_account_template_4492","-100",""
"account_tax_template_purchase_assumed_21","tax_group_vat_21","21% G S","purchase","21.0","percent","120","Assumed Purchase 21% (VAT21) Goods/Services","Assumed 21% VAT","base","invoice","","","Menamas pirkimo 21% PVM (PVM21) prekių/paslaugų"
"","","","","","","","","","tax","invoice","account_account_template_2441","",""
"","","","","","","","","","tax","invoice","account_account_template_4492","-100",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_2441","",""
"","","","","","","","","","tax","refund","account_account_template_4492","-100",""
