"id","sequence","name","description","invoice_label","amount_type","amount","type_tax_use","price_include","active","tax_group_id","l10n_de_datev_code","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/account_id",description@de,"invoice_label@de"
"tax_eu_19_purchase_skr03","20","19% EU","","Intragem. Acquisition 19%","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","+89_BASE","","","","innergem. Erwerb 19%"
"","","","","","","","","","","","","tax","invoice","-89_TAX","-100","account_1774","",""
"","","","","","","","","","","","","tax","invoice","-61","","account_1574","",""
"","","","","","","","","","","","","base","refund","-89_BASE","","","",""
"","","","","","","","","","","","","tax","refund","+89_TAX","-100","account_1774","",""
"","","","","","","","","","","","","tax","refund","+61","","account_1574","",""
"tax_eu_7_purchase_skr03","25","7% EU","","Intragem. Acquisition 7%","percent","7.0","purchase","False","True","tax_group_0","","base","invoice","+93_BASE","","","","innergem. Erwerb 7%"
"","","","","","","","","","","","","tax","invoice","-93_TAX","-100","account_1772","",""
"","","","","","","","","","","","","tax","invoice","-61","","account_1572","",""
"","","","","","","","","","","","","base","refund","-93_BASE","","","",""
"","","","","","","","","","","","","tax","refund","+93_TAX","-100","account_1772","",""
"","","","","","","","","","","","","tax","refund","+61","","account_1572","",""
"tax_eu_19_purchase_no_vst_skr03","20","19% EU 0V","Intragem. Acquisition 19% - 0% input tax","Intragem. Acquisition 19% - 0% input tax","percent","19.0","purchase","","","tax_group_19","","base","invoice","+89_BASE","","","Innergem. Erwerb 19%USt/0%VSt","innergem. Erwerb 19% - 0% Vorsteuer"
"","","","","","","","","","","","","tax","invoice","-89_TAX","-100","account_1779","",""
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","-89_BASE","","","",""
"","","","","","","","","","","","","tax","refund","+89_TAX","-100","account_1779","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"tax_eu_7_purchase_no_vst_skr03","20","7% EU 0V","Intragem. Acquisition 19% - 0% input tax","Intragem. Acquisition 7% - 0% input tax","percent","7.0","purchase","","","tax_group_7","","base","invoice","+93_BASE","","","Innergem. Erwerb 7%USt/0%VSt","innergem. Erwerb 7% - 0% Vorsteuer"
"","","","","","","","","","","","","tax","invoice","-93_TAX","-100","account_1779","",""
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","-93_BASE","","","",""
"","","","","","","","","","","","","tax","refund","+93_TAX","-100","account_1779","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"tax_eu_car_purchase_skr03","23","19% EU Car","Intragem. Acquisition new vehicle 19%","Intragem. Acquisition new vehicle 19%","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","+94","","","Innergem. Erwerb Neufahrzeug 19%USt/19%VSt","innergem. Erwerb Neufahrzeug 19%"
"","","","","","","","","","","","","tax","invoice","-96","-100","account_1772","",""
