"id","sequence","name","description","invoice_label","amount_type","amount","type_tax_use","price_include","active","tax_group_id","l10n_de_datev_code","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/account_id",description@de,"invoice_label@de"
"tax_eu_19_purchase_skr04","20","19% EU","Intragem. Acquisition 19%","Intragem. Acquisition 19%","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","+89_BASE","","","Innergem. Erwerb 19%USt/19%VSt","innergem. Erwerb 19%"
"","","","","","","","","","","","","tax","invoice","-89_TAX","-100","chart_skr04_3804","",""
"","","","","","","","","","","","","tax","invoice","-61","","chart_skr04_1404","",""
"","","","","","","","","","","","","base","refund","-89_BASE","","","",""
"","","","","","","","","","","","","tax","refund","+89_TAX","-100","chart_skr04_3804","",""
"","","","","","","","","","","","","tax","refund","+61","","chart_skr04_1404","",""
"tax_eu_7_purchase_skr04","25","7% EU","7% EU","Intragem. Acquisition 7%","percent","7.0","purchase","False","True","tax_group_0","","base","invoice","+93_BASE","","","Innergem. Erwerb 7%USt/7%VSt","innergem. Erwerb 7%"
"","","","","","","","","","","","","tax","invoice","-93_TAX","-100","chart_skr04_3802","",""
"","","","","","","","","","","","","tax","invoice","-61","","chart_skr04_1402","",""
"","","","","","","","","","","","","base","refund","-93_BASE","","","",""
"","","","","","","","","","","","","tax","refund","+93_TAX","-100","chart_skr04_3802","",""
"","","","","","","","","","","","","tax","refund","+61","","chart_skr04_1402","",""
"tax_eu_19_purchase_no_vst_skr04","20","19% EU 0V","Intragem. Acquisition 19% - 0% input tax","Intragem. Acquisition 19% - 0% Input tax","percent","19.0","purchase","","","tax_group_19","","base","invoice","+89_BASE","","","Innergem. Erwerb 19%USt/0%VSt","innergem. Erwerb 19% - 0% Vorsteuer"
"","","","","","","","","","","","","tax","invoice","-89_TAX","-100","chart_skr04_3809","",""
"","","","","","","","","","","","","tax","invoice","","","","",""
