"id","sequence","name","description","invoice_label","amount_type","amount","type_tax_use","price_include","active","tax_group_id","l10n_de_datev_code","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/account_id",description@de,"invoice_label@de"
"","","","","","","","","","","","","base","refund","-89_BASE","","","",""
"","","","","","","","","","","","","tax","refund","+89_TAX","-100","chart_skr04_3809","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"tax_eu_7_purchase_no_vst_skr04","20","7% EU 0V","Intragem. Acquisition 7% - 0% Input tax","Intragem. Acquisition 7% - 0% Input tax","percent","7.0","purchase","","","tax_group_7","","base","invoice","+93_BASE","","","Innergem. Erwerb 7%USt/0%VSt","innergem. Erwerb 7% - 0% Vorsteuer"
"","","","","","","","","","","","","tax","invoice","-93_TAX","-100","chart_skr04_3809","",""
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","-93_BASE","","","",""
"","","","","","","","","","","","","tax","refund","+93_TAX","-100","chart_skr04_3809","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"tax_eu_car_purchase_skr04","23","19% EU Car","Intra. Acquisition of new vehicle 19%","Intra. Acquisition of new vehicle 19%","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","+94","","","Innergem. Erwerb Neufahrzeug 19%USt/19%VSt","innergem. Erwerb Neufahrzeug 19%"
"","","","","","","","","","","","","tax","invoice","-96","-100","chart_skr04_3802","",""
"","","","","","","","","","","","","tax","invoice","-59","","chart_skr04_1402","",""
"","","","","","","","","","","","","base","refund","-94","","","",""
"","","","","","","","","","","","","tax","refund","+96","-100","chart_skr04_3802","",""
"","","","","","","","","","","","","tax","refund","+59","","chart_skr04_1402","",""
"tax_eu_sale_skr04","21","0% EU D","Tax free intracomm. Delivery","Tax free intracomm. Delivery","percent","0.0","sale","False","True","tax_group_0","","base","invoice","+41","","","Steuerfreie innergem. Lieferung (§4 Abs. 1b UStG)","steuerfreie innergem. Lieferung"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","-41","","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"tax_export_skr04","22","0% EX","Tax free export (§4 Nr. 1a UStG)","Tax free export","percent","0.0","sale","False","True","tax_group_0","","base","invoice","+43","","","Steuerfreie Ausfuhr (§4 Nr. 1a UStG)","steuerfreie Ausfuhr"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","-43","","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"tax_free_skr04_mit_vst","23","0% EX D","Taxable turnover(§ 4 No. 2-7)","Tax-free turnover(§ 4 Nr. 2-7)","percent","0.0","sale","False","True","tax_group_0","","base","invoice","+43","","","Steuerfreier Umsatz mit Vorsteuerabzug (§ 4 Nr. 2-7)","Steuerfr. Umsatz(§ 4 Nr. 2-7)"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","-43","","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"tax_free_skr04_ohne_vst","24","0% EX ND","Taxable turnover(§ 4 No. 8-28)","Tax-free turnover(§ 4 Nr. 8-28)","percent","0.0","sale","False","True","tax_group_0","","base","invoice","-48","","","Steuerfreier Umsatz ohne Vorsteuerabzug (§ 4 Nr. 8-28)","Steuerfr. Umsatz(§ 4 Nr. 8-28)"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","+48","","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"tax_import_19_and_payable_skr04","21","19% EX","19% Import sales tax (§21 Abs.3 UstG)","Import sales tax 19%","percent","19.0","purchase","","","tax_group_19","","base","invoice","","","","19% Einfuhrumsatzsteuer (§21 Abs.3 UstG)","Einfuhrumsatzsteuer 19%"
"","","","","","","","","","","","","tax","invoice","-62","","chart_skr04_1433","",""
"","","","","","","","","","","","","tax","invoice","","-100","chart_skr04_3850","",""
"","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","tax","refund","+62","","chart_skr04_1433","",""
"","","","","","","","","","","","","tax","refund","","-100","chart_skr04_3850","",""
"tax_import_7_and_payable_skr04","21","7% EX","7% Import sales tax (§21 Abs.3 UstG)","Import sales tax 7%","percent","7.0","purchase","","","tax_group_7","","base","invoice","","","","7% Einfuhrumsatzsteuer (§21 Abs.3 UstG)","Einfuhrumsatzsteuer 7%"
"","","","","","","","","","","","","tax","invoice","-62","","chart_skr04_1433","",""
"","","","","","","","","","","","","tax","invoice","","-100","chart_skr04_3850","",""
"","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","tax","refund","+62","","chart_skr04_1433","",""
"","","","","","","","","","","","","tax","refund","","-100","chart_skr04_3850","",""
"tax_eu_purchase_tax_free_skr04","22","0% EU A","Tax-free intracompany Acquisition (§§ 4b and 25c UStG)","Tax-free intracompany Acquisition (§§ 4b und 25c UStG)","percent","0.0","purchase","False","True","tax_group_0","","base","invoice","-91","","","Steuerfr. innergem. Erwerb (§§ 4b und 25c UStG)","Steuerfr. innergem. Erwerb (§§ 4b und 25c UStG)"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","+91","","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"tax_not_taxable_skr04","20","0%","Non-taxable turnover","Non-taxable turnover","percent","0.0","sale","False","True","tax_group_0","","base","invoice","+45_BASE","","","Nicht steuerbare Umsätze","nicht steuerbare Umsätze"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","-45_BASE","","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"tax_ust_19_skr04","10","19%","","19% VAT","percent","19.0","sale","False","True","tax_group_19","3","base","invoice","+81_BASE","","","","19% USt"
"","","","","","","","","","","","","tax","invoice","+81_TAX","","chart_skr04_3806","",""
"","","","","","","","","","","","","base","refund","-81_BASE","","","",""
"","","","","","","","","","","","","tax","refund","-81_TAX","","chart_skr04_3806","",""
"tax_ust_7_skr04","15","7%","","7% VAT","percent","7.0","sale","False","True","tax_group_7","2","base","invoice","+86_BASE","","","","7% USt"
"","","","","","","","","","","","","tax","invoice","+86_TAX","","chart_skr04_3801","",""
"","","","","","","","","","","","","base","refund","-86_BASE","","","",""
"","","","","","","","","","","","","tax","refund","-86_TAX","","chart_skr04_3801","",""
"tax_ust_no_ustpflicht_skr04","16","0% C EXEMPT","0% VAT (Compulsory exemption e.g. as a small business or for medical services.)","0% VAT (Mandatory Exempt)","percent","0.0","sale","False","True","tax_group_0","","base","invoice","","","","0% USt (Pflichtbefreit z.B. als Kleinunt. oder bei med. Leistg.)","0% USt (Pflichtbefreit)"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"tax_ust_19_taxinclusive_skr04","17","19% INC","19% Value added tax (included in price)","19% VAT (included in price)","percent","19.0","sale","True","True","tax_group_19","","base","invoice","+81_BASE","","","19% USt (inkludiert in Preis)","19% USt (inkludiert in Preis)"
"","","","","","","","","","","","","tax","invoice","+81_TAX","","chart_skr04_3806","",""
"","","","","","","","","","","","","base","refund","-81_BASE","","","",""
"","","","","","","","","","","","","tax","refund","-81_TAX","","chart_skr04_3806","",""
"tax_ust_7_taxinclusive_skr04","18","7% INC","7% Value added tax (included in price)","7% VAT (included in price)","percent","7.0","sale","True","True","tax_group_7","","base","invoice","+86_BASE","","","7% USt (inkludiert in Preis)","7% USt (inkludiert in Preis)"
"","","","","","","","","","","","","tax","invoice","+86_TAX","","chart_skr04_3801","",""
"","","","","","","","","","","","","base","refund","-86_BASE","","","",""
"","","","","","","","","","","","","tax","refund","-86_TAX","","chart_skr04_3801","",""
"tax_ust_55_farmer_skr04","26","5.5% A","5,5 % Sales tax agriculture/forestry","5,5% VAT Agriculture/Forestry","percent","5.5","sale","False","True","tax_group_55","","base","invoice","+77","","","5,5% USt Land-/Forstwirtschaft","5,5% USt Land-/Forstwirtschaft"
"","","","","","","","","","","","","tax","invoice","","","chart_skr04_3800","",""
"","","","","","","","","","","","","base","refund","-77","","","",""
"","","","","","","","","","","","","tax","refund","","","chart_skr04_3800","",""
"tax_ust_107_farmer_skr04","27","10,7% A","10,7 % Sales tax agriculture/forestry","10,7% VAT agriculture/forestry","percent","10.7","sale","False","True","tax_group_107","","base","invoice","+77","","","10,7 % Umsatzsteuer Land-/Forstwirtschaft","10,7% USt Land-/Forstwirtschaft"
"","","","","","","","","","","","","tax","invoice","","","chart_skr04_3800","",""
"","","","","","","","","","","","","base","refund","-77","","","",""
"","","","","","","","","","","","","tax","refund","","","chart_skr04_3800","",""
"tax_ust_19_farmer_skr04","28","19% A","19% Sales tax agriculture/forestry (alcohol etc.)","19% Sales tax agriculture/forestry (alcohol etc.)","percent","19.0","sale","False","False","tax_group_19","","base","invoice","+76","","","19% Umsatzsteuer Land-/Forstwirtschaft (Alkohol u.a.)","19% USt Land-/Forstwirtschaft (Alkohol u.a.)"
"","","","","","","","","","","","","tax","invoice","+80","","chart_skr04_3806","",""
"","","","","","","","","","","","","base","refund","-76","","","",""
"","","","","","","","","","","","","tax","refund","-80","","chart_skr04_3806","",""
"tax_ust_x_skr04","21","x%","x% Sales tax (at other tax rates)","x% VAT (at other tax rates)","percent","0.0","sale","False","False","tax_group_x","","base","invoice","+35","","","x% Umsatzsteuer (zu anderen Steuersätzen)","x% USt (zu anderen Steuersätzen)"
"","","","","","","","","","","","","tax","invoice","+36","","chart_skr04_3800","",""
"","","","","","","","","","","","","base","refund","-35","","","",""
"","","","","","","","","","","","","tax","refund","-36","","chart_skr04_3800","",""
"tax_vst_19_skr04","10","19% I","19% Input tax","19% VSt","percent","19.0","purchase","False","True","tax_group_19","9","base","invoice","","","","19% Vorsteuer","19% VSt"
"","","","","","","","","","","","","tax","invoice","-66","","chart_skr04_1406","",""
"","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","tax","refund","+66","","chart_skr04_1406","",""
"tax_vst_7_skr04","15","7% I","7% Input tax","7% VSt","percent","7.0","purchase","False","True","tax_group_7","8","base","invoice","","","","7% Vorsteuer","7% VSt"
"","","","","","","","","","","","","tax","invoice","-66","","chart_skr04_1401","",""
"","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","tax","refund","+66","","chart_skr04_1401","",""
"tax_vst_no_ustpflicht_skr04","16","0% V C EXEMPT","0% VSt (Compulsory exemption e.g. as a small business or for medical services.)","0% VSt (Mandatory Exempt)","percent","0.0","purchase","False","True","tax_group_0","","base","invoice","","","","0% VSt (Pflichtbefreit z.B. als Kleinunt. oder bei med. Leistg.)","0% VSt (Pflichtbefreit)"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"tax_vst_19_taxinclusive_skr04","16","19% V INC","19% Input tax (included in price)","19% VSt (included in price)","percent","19.0","purchase","True","True","tax_group_19","","base","invoice","","","","19% Vorsteuer (inkludiert in Preis)","19% VSt (inkludiert in Preis)"
"","","","","","","","","","","","","tax","invoice","-66","","chart_skr04_1406","",""
"","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","tax","refund","+66","","chart_skr04_1406","",""
"tax_vst_7_taxinclusive_skr04","17","7% V INC","7% Input tax (included in price)","7% VSt (included in price)","percent","7.0","purchase","True","True","tax_group_7","","base","invoice","","","","7% Vorsteuer (inkludiert in Preis)","7% VSt (inkludiert in Preis)"
"","","","","","","","","","","","","tax","invoice","-66","","chart_skr04_1401","",""
"","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","tax","refund","+66","","chart_skr04_1401","",""
"tax_vst_55_farmer_skr04","26","5.5% V A","5,5% Input tax agriculture/forestry","5,5% VSt agriculture/forestry","percent","5.5","purchase","False","True","tax_group_55","","base","invoice","","","","5,5% VSt Land-/Forstwirtschaft","5,5% USt Land-/Forstwirtschaft"
"","","","","","","","","","","","","tax","invoice","-66","","chart_skr04_1400","",""
"","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","tax","refund","+66","","chart_skr04_1400","",""
"tax_vst_107_farmer_skr04","27","10.7% V A","10,7% Input tax agriculture/forestry","10,7% VSt agriculture/forestry","percent","10.7","purchase","False","True","tax_group_107","","base","invoice","","","","10,7 % Umsatzsteuer Land-/Forstwirtschaft","10,7% USt Land-/Forstwirtschaft"
"","","","","","","","","","","","","tax","invoice","-66","","chart_skr04_1400","",""
"","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","tax","refund","+66","","chart_skr04_1400","",""
"tax_ust_19_eu_skr04","21","19% EU D","19% VAT EU delivery","19% VAT EU","percent","19.0","sale","False","True","tax_group_0","","base","invoice","+81_BASE","","","19 % Umsatzsteuer EU Lieferung","19% USt EU"
"","","","","","","","","","","","","tax","invoice","+81_TAX","","chart_skr04_3808","",""
"","","","","","","","","","","","","base","refund","-81_BASE","","","",""
"","","","","","","","","","","","","tax","refund","-81_TAX","","chart_skr04_3808","",""
"tax_ust_eu_skr04","22","7% EU D","7% VAT EU delivery","7% VAT EU","percent","7.0","sale","False","True","tax_group_0","","base","invoice","+86_BASE","","","7% USt EU","7% USt EU"
"","","","","","","","","","","","","tax","invoice","+86_TAX","","chart_skr04_3807","",""
"","","","","","","","","","","","","base","refund","-86_BASE","","","",""
"","","","","","","","","","","","","tax","refund","-86_TAX","","chart_skr04_3807","",""
"tax_ust_19_13b_ausland_ohne_vst_skr04","23","19% NV D","19% VAT EU acc. to §13b UStG - without VAT - (foreign work deliveries etc.)","19% VAT EU according to §13b UStG - without VAT - (foreign supplies of goods and services, etc.)","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","+84","","","19% USt gem. §13b UStG - ohne VSt. - (ausländ. Werklieferungen u.ä.)","19% USt EU gem. §13b UStG - ohne VSt. - (ausländ. Werklieferungen u.ä.)"
"","","","","","","","","","","","","tax","invoice","+85","","chart_skr04_3837","",""
"","","","","","","","","","","","","base","refund","-84","","","",""
"","","","","","","","","","","","","tax","refund","-85","","chart_skr04_3837","",""
"tax_ust_7_13b_ausland_ohne_vst_skr04","24","7% NV D","7% VAT EU acc. to §13b UStG - without VAT - (foreign work deliveries etc.)","7% VAT EU according to §13b UStG - without VAT - (foreign supplies of goods and services, etc.)","percent","7.0","purchase","False","True","tax_group_0","","base","invoice","+84","","","7% USt gem. §13b UStG - ohne VSt. - (ausländ. Werklieferungen u.ä.)","7% USt EU gem. §13b UStG - ohne VSt. - (ausländ. Werklieferungen u.ä.)"
"","","","","","","","","","","","","tax","invoice","+85","","chart_skr04_3835","",""
"","","","","","","","","","","","","base","refund","-84","","","",""
"","","","","","","","","","","","","tax","refund","-85","","chart_skr04_3835","",""
"tax_ust_19_13b_eu_ohne_vst_skr04","25","19% NV S","19% VAT EU acc. to §13b UStG - without VAT - (other services EU)","19% VAT EU according to §13b UStG - without VAT - (other services EU)","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","+46","","","19% USt gem. §13b UStG - ohne VSt. - (sonst. Leistungen EU)","19% USt EU gem. §13b UStG - ohne VSt. - (sonst. Leistungen EU)"
"","","","","","","","","","","","","tax","invoice","+47","","chart_skr04_3837","",""
"","","","","","","","","","","","","base","refund","-46","","","",""
"","","","","","","","","","","","","tax","refund","-47","","chart_skr04_3837","",""
"tax_ust_7_13b_eu_ohne_vst_skr04","26","7% NV S","7% EU VAT according to §13b UStG - without VAT - (other EU services)","7% VAT EU according to §13b UStG - without VAT - (other services EU)","percent","7.0","purchase","False","True","tax_group_0","","base","invoice","+46","","","7% USt gem. §13b UStG - ohne VSt. - (sonst. Leistungen EU)","7% USt EU gem. §13b UStG - ohne VSt. - (sonst. Leistungen EU)"
"","","","","","","","","","","","","tax","invoice","+47","","chart_skr04_3835","",""
"","","","","","","","","","","","","base","refund","-46","","","",""
"","","","","","","","","","","","","tax","refund","-47","","chart_skr04_3835","",""
"tax_ust_19_13b_bau_ohne_vst_skr04","27","19% NV C","19% EU VAT according to §13b UStG - without VAT - (recommended construction services)","19% VAT EU according to §13b UStG - without VAT - (rec. Construction work)","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","+84","","","19% USt gem. §13b UStG - ohne VSt. - (empf. Bauleistungen)","19% USt EU gem. §13b UStG - ohne VSt. - (empf. Bauleistungen)"
"","","","","","","","","","","","","tax","invoice","+85","","chart_skr04_3837","",""
"","","","","","","","","","","","","base","refund","-84","","","",""
"","","","","","","","","","","","","tax","refund","-85","","chart_skr04_3837","",""
"tax_ust_7_13b_bau_ohne_vst_skr04","28","7% NV C","7% EU VAT according to §13b UStG - without VAT - (recommended construction services)","7% VAT EU according to §13b UStG - without VAT - (recommended construction services)","percent","7.0","purchase","False","True","tax_group_0","","base","invoice","+84","","","7% USt gem. §13b UStG - ohne VSt. - (empf. Bauleistungen)","7% USt EU gem. §13b UStG - ohne VSt. - (empf. Bauleistungen)"
"","","","","","","","","","","","","tax","invoice","+85","","chart_skr04_3835","",""
"","","","","","","","","","","","","base","refund","-84","","","",""
"","","","","","","","","","","","","tax","refund","-85","","chart_skr04_3835","",""
"tax_free_eu_skr04","20","0% EU","0% Tax free benefit EU","0% VAT EU","percent","0.0","sale","False","True","tax_group_0","","base","invoice","+21","","","0% Steuerfreie Leistung EU","0% USt EU"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","-21","","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"tax_free_third_country_skr04","20","0% S T","0% Tax free service third country","0% VAT Third country","percent","0.0","sale","False","True","tax_group_0","","base","invoice","+45_BASE","","","0% Steuerfreie Leistung Drittland","0% USt Drittland"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","-45_BASE","","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"tax_free_newcar_skr04","30","0% EU D Car","0% VAT New vehicle EU","0% VAT New vehicle EU","percent","0.0","sale","False","True","tax_group_0","","base","invoice","+44","","","0% Steuerfreie Neufahrzeuglieferung EU","0% USt Neufahrzeug EU"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","-44","","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"tax_ust_19_3eck_first_skr04","40","0% TT F","0% VAT Triangular business first customer","0% VAT Triangular business first customer","percent","0.0","sale","False","True","tax_group_0","","base","invoice","-42","","","0% Umsatzsteuer Dreiecksgeschäft erster Abnehmer","0% USt Dreiecksgeschäft erster Abnehmer"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","+42","","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"tax_ust_free_bau_skr04","50","0% C","0% Sales tax construction service (provider §13b)","0% Sales tax construction service (provider §13b)","percent","0.0","sale","False","True","tax_group_0","","base","invoice","+60","","","0% Umsatzsteuer Bauleistung (Erbringer §13b)","0% Umsatzsteuer Bauleistung (Erbringer §13b)"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","-60","","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"tax_ust_free_mobil_skr04","50","0% MOB","0% VAT Supply of mobile devices etc. (§13b)","0% VAT Supply of mobile telephones, etc. (§13b)","percent","0.0","sale","False","True","tax_group_0","","base","invoice","-60","","","0% USt Lieferung von Mobilfunkgeräten u.a. (§13b)","0% USt Lieferung von Mobilfunkgeräten u.a. (§13b)"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","+60","","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"tax_eu_19_purchase_goods_skr04","20","19% EU O S","Services EU 19%VAT/19%VAT","Services EU 19%VAT/19%VAT","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","+46","","","Leistungen EU 19%Ust/19%VSt","Leistungen EU 19%Ust/19%VSt"
"","","","","","","","","","","","","tax","invoice","-67","","chart_skr04_1407","",""
"","","","","","","","","","","","","tax","invoice","-47","-100","chart_skr04_3818","",""
"","","","","","","","","","","","","base","refund","-46","","","",""
"","","","","","","","","","","","","tax","refund","+67","","chart_skr04_1407","",""
"","","","","","","","","","","","","tax","refund","+47","-100","chart_skr04_3818","",""
"tax_eu_7_purchase_goods_skr04","21","7% EU O S","Tax ppl. Services EU 7%Tax/7%VAT","Tax ppl. Services EU 7%Tax/7%VAT","percent","7.0","purchase","False","True","tax_group_0","","base","invoice","+46","","","Steuerpflichtige sonstige Leistungen EU 7%USt/7%VSt","Steuerpfl. sonst. Leistg. EU 7%Ust/7%VSt"
"","","","","","","","","","","","","tax","invoice","-67","","chart_skr04_1407","",""
"","","","","","","","","","","","","tax","invoice","-47","-100","chart_skr04_3818","",""
"","","","","","","","","","","","","base","refund","-46","","","",""
"","","","","","","","","","","","","tax","refund","+67","","chart_skr04_1407","",""
"","","","","","","","","","","","","tax","refund","+47","-100","chart_skr04_3818","",""
"tax_ust_vst_19_purchase_13b_bau_skr04","22","19% CS","Tax according to §13b UStG 19%USt/19%VSt (construction service recipient)","Tax according to §13b UStG 19%VAT/19%VSt (construction service recipient)","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","+60||+84","","","Steuer gem. §13b UStG 19%USt/19%VSt (Bauleistung Empfänger)","Steuer gem. §13b UStG 19%USt/19%VSt (Bauleistung Empfänger)"
"","","","","","","","","","","","","tax","invoice","-67","","chart_skr04_1407","",""
"","","","","","","","","","","","","tax","invoice","-85","-100","chart_skr04_3837","",""
"","","","","","","","","","","","","base","refund","-60||-84","","","",""
"","","","","","","","","","","","","tax","refund","+67","","chart_skr04_1407","",""
"","","","","","","","","","","","","tax","refund","+85","-100","chart_skr04_3837","",""
"tax_ust_vst_7_purchase_13b_bau_skr04","23","7% CS","Tax according to §13b UStG 7%USt/7%VSt (construction service recipient)","Tax according to §13b UStG 7%VAT/7%VSt (construction service recipient)","percent","7.0","purchase","False","True","tax_group_0","","base","invoice","+60||+84","","","Steuer gem. §13b UStG 7%USt/7%VSt (Bauleistung Empfänger)","Steuer gem. §13b UStG 7%USt/7%VSt (Bauleistung Empfänger)"
"","","","","","","","","","","","","tax","invoice","-67","","chart_skr04_1408","",""
"","","","","","","","","","","","","tax","invoice","-85","-100","chart_skr04_3835","",""
"","","","","","","","","","","","","base","refund","-60||-84","","","",""
"","","","","","","","","","","","","tax","refund","+67","","chart_skr04_1408","",""
"","","","","","","","","","","","","tax","refund","+85","-100","chart_skr04_3835","",""
"tax_vst_ust_19_purchase_13b_mobil_skr04","24","19% R MOB","Tax according to §13b 19%Ust/19%VSt (reception of mobile devices etc.)","Tax according to §13b 19%VAT/19%VSt (reception of mobile devices etc.)","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","+60||+84","","","Steuer gem. §13b 19%USt/19%VSt (Empfang von Mobilfunkgeräten u.a.)","Steuer gem. §13b 19%Ust/19%VSt (Empfang von Mobilfunkgeräten u.a.)"
"","","","","","","","","","","","","tax","invoice","-67","","chart_skr04_1407","",""
"","","","","","","","","","","","","tax","invoice","-85","-100","chart_skr04_3837","",""
"","","","","","","","","","","","","base","refund","-60||-84","","","",""
"","","","","","","","","","","","","tax","refund","+67","","chart_skr04_1407","",""
"","","","","","","","","","","","","tax","refund","+85","-100","chart_skr04_3837","",""
"tax_vst_ust_19_purchase_3eck_last_skr04","25","19% TT F","Triangular transaction Acquisition of last customer 19%VAT/19%VAT","Triangular transaction Acquisition of last customer 19%VAT/19%VAT","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","","","","Dreiecksgeschäft Erwerb letzter Abnehmer 19%USt/19%VSt","Dreiecksgeschäft Erwerb letzter Abnehmer 19%Ust/19%VSt"
"","","","","","","","","","","","","tax","invoice","-66","","chart_skr04_1406","",""
"","","","","","","","","","","","","tax","invoice","-69","-100","chart_skr04_3851","",""
"","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","tax","refund","+66","","chart_skr04_1406","",""
"","","","","","","","","","","","","tax","refund","+69","-100","chart_skr04_3851","",""
"tax_vst_ust_19_purchase_13b_werk_ausland_skr04","25","19% EX D","Tax acc. to §13b 19%USt/19%VSt (foreign work deliveries etc.)","Tax acc. to §13b 19%VAT/19%VSt (foreign work deliveries etc.)","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","+84","","","Steuer gem. §13b 19%USt/19%VSt (ausländ. Werklieferungen u.ä.)","Steuer gem. §13b 19%USt/19%VSt (ausländ. Werklieferungen u.ä.)"
"","","","","","","","","","","","","tax","invoice","-66","","chart_skr04_1406","",""
"","","","","","","","","","","","","tax","invoice","-85","-100","chart_skr04_3851","",""
"","","","","","","","","","","","","base","refund","-84","","","",""
"","","","","","","","","","","","","tax","refund","+66","","chart_skr04_1406","",""
"","","","","","","","","","","","","tax","refund","+85","-100","chart_skr04_3851","",""
"tax_vst_ust_7_purchase_13b_werk_ausland_skr04","26","7% EX D","Tax acc. to §13b 7%USt/7%VSt (foreign work deliveries etc.)","Tax acc. to §13b 7%VAT/7%VSt (foreign work deliveries etc.)","percent","7.0","purchase","False","True","tax_group_0","","base","invoice","+84","","","Steuer gem. §13b 7%USt/7%VSt (ausländ. Werklieferungen u.ä.)","Steuer gem. §13b 7%USt/7%VSt (ausländ. Werklieferungen u.ä.)"
"","","","","","","","","","","","","tax","invoice","-66","","chart_skr04_1401","",""
"","","","","","","","","","","","","tax","invoice","-85","-100","chart_skr04_3851","",""
"","","","","","","","","","","","","base","refund","-84","","","",""
"","","","","","","","","","","","","tax","refund","+66","","chart_skr04_1401","",""
"","","","","","","","","","","","","tax","refund","+85","-100","chart_skr04_3851","",""
