"id","code","name","tag_ids","account_type","reconcile","non_trade","tax_ids","name@de"
"account_0005","0005","Unpaid and due shares in co-operatives","l10n_de.tag_de_asset_bs_A_I_2","asset_non_current","False","","","Rückständige fällige Einzahlungen auf Geschäftsanteile"
"account_0010","0010","Purchased concessions, industrial and similar rights and assets, and licences in such rights and assets","l10n_de.tag_de_asset_bs_A_I_2","asset_non_current","False","","","Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten"
"account_0015","0015","Concessions","l10n_de.tag_de_asset_bs_A_I_2","asset_non_current","False","","","Konzessionen"
"account_0020","0020","Industrial rights","l10n_de.tag_de_asset_bs_A_I_2","asset_non_current","False","","","Gewerbliche Schutzrechte"
"account_0025","0025","Other rights and assets","l10n_de.tag_de_asset_bs_A_I_2","asset_non_current","False","","","Ähnliche Rechte und Werte"
"account_0027","0027","Computer software","l10n_de.tag_de_asset_bs_A_I_2","asset_non_current","False","","","EDV-Software"
"account_0030","0030","Licences in industrial and similar rights and assets","l10n_de.tag_de_asset_bs_A_I_2","asset_non_current","False","","","Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten und Werten"
"account_0035","0035","Goodwill","l10n_de.tag_de_asset_bs_A_I_3","asset_non_current","False","","","Geschäfts- oder Firmenwert"
"account_0038","0038","Prepayments for goodwill","l10n_de.tag_de_asset_bs_A_I_4","asset_non_current","False","","","Anzahlungen auf Geschäfts- oder Firmenwert"
"account_0039","0039","Prepayments for intangible fixed assets","l10n_de.tag_de_asset_bs_A_I_4","asset_non_current","False","","","Geleistete Anzahlungen auf immaterielle Vermögensgegenstände"
"account_0040","0040","Merger surplus","l10n_de.tag_de_asset_bs_A_I_3","asset_non_current","False","","","Verschmelzungsmehrwert"
"account_0043","0043","Internally generated intangible fixed assets","l10n_de.tag_de_asset_bs_A_I_1","asset_non_current","False","","","Selbst geschaffene immaterielle Vermögensgegenstände"
"account_0045","0045","Licences and franchise agreements","l10n_de.tag_de_asset_bs_A_I_1","asset_non_current","False","","","Lizenzen und Franchiseverträge"
"account_0046","0046","Concessions and industrial rights","l10n_de.tag_de_asset_bs_A_I_1","asset_non_current","False","","","Konzessionen und gewerbliche Schutzrechte"
"account_0047","0047","Recipes and formulas, processes, prototypes","l10n_de.tag_de_asset_bs_A_I_1","asset_non_current","False","","","Rezepte, Verfahren, Prototypen"
"account_0048","0048","Intangible fixed assets under development","l10n_de.tag_de_asset_bs_A_I_1","asset_non_current","False","","","Immaterielle Vermögensgegenstände in Entwicklung"
"account_0050","0050","Land, land rights and buildings, including buildings on third-party land","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","False","","","Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken"
"account_0059","0059","Share of land attributable to home office","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","False","","","Grundstücksanteil des häuslichen Arbeitszimmers"
"account_0060","0060","Land rights without buildings","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","False","","","Grundstücksgleiche Rechte ohne Bauten"
"account_0065","0065","Undeveloped land","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","False","","","Unbebaute Grundstücke"
"account_0070","0070","Land rights (heritable building rights, longterm occupancy rights)","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","False","","","Grundstücksgleiche Rechte (Erbbaurecht, Dauerwohnrecht, unbebaute Grundstücke)"
"account_0075","0075","Impaired land","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","False","","","Grundstücke mit Substanzverzehr"
"account_0079","0079","Advance payments on land","l10n_de.tag_de_asset_bs_A_II_4","asset_fixed","False","","","Anzahlungen auf Grund und Boden"
"account_0080","0080","Buildings on own land and land rights","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","False","","","Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten"
"account_0085","0085","Property values of own developed land","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","False","","","Grundstückswerte eigener bebauter Grundstücke"
"account_0090","0090","Commercial buildings","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","False","","","Geschäftsbauten"
"account_0100","0100","Industrial buildings","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","False","","","Fabrikbauten"
"account_0110","0110","Garages","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","False","","","Garagen"
"account_0111","0111","Outdoor facilities","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","False","","","Außenanlagen für Geschäfts-, Fabrik- und andere Bauten"
"account_0112","0112","Paved courtyards and other paved surfaces","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","False","","","Hof- und Wegebefestigungen"
"account_0113","0113","Fixtures in commercial and industrial buildings","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","False","","","Einrichtungen für Geschäfts-, Fabrik- und andere Bauten"
"account_0115","0115","Other buildings","l10n_de.tag_de_asset_bs_A_II_1","asset_fixed","False","","","Andere Bauten"
