"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","name@fr","description@fr","fiscal_position_ids","original_tax_ids"
"syscebnl_tva_sale_18","18%","","","18.0","percent","sale","syscebnl_tax_group_18","base","invoice","","BF_01||BF_15_base","","","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","syscebnl_443","BF_15_tax","","","","",""
"","","","","","","","","base","refund","","BF_01||BF_15_base","","","","",""
"","","","","","","","","tax","refund","syscebnl_443","BF_25","","","","",""
"syscebnl_tva_sale_10","10%","10% services","","10.0","percent","sale","syscebnl_tax_group_10","base","invoice","","BF_04||BF_16_base","","","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","syscebnl_443","BF_16_tax","","","","",""
"","","","","","","","","base","refund","","BF_04||BF_16_base","","","","",""
"","","","","","","","","tax","refund","syscebnl_443","BF_25","","","","",""
"syscebnl_tva_sale_self_18","18% SD","18% Self-delivery","False","18.0","percent","sale","syscebnl_tax_group_18","base","invoice","","BF_02||BF_15_base","","18% LASM","18% Livraison à soi-même","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","syscebnl_445","BF_15_tax","-100","","","",""
"","","","","","","","","tax","invoice","syscebnl_443","BF_20","","","","",""
"","","","","","","","","base","refund","","BF_02||BF_15_base","","","","",""
"","","","","","","","","tax","refund","syscebnl_445","BF_25","-100","","","",""
"","","","","","","","","tax","refund","syscebnl_443","BF_20","","","","",""
"syscebnl_tva_purchase_18","18%","","","18.0","percent","purchase","syscebnl_tax_group_18","base","invoice","","","","","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","syscebnl_445","BF_20","","","","",""
"","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","tax","refund","syscebnl_445","BF_20","","","","",""
"syscebnl_tva_purchase_10","10%","","","10.0","percent","purchase","syscebnl_tax_group_10","base","invoice","","","","","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","syscebnl_445","BF_20","","","","",""
"","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","tax","refund","syscebnl_445","BF_20","","","","",""
"syscebnl_tva_export_0","0% EX","0% (export)","","0.0","","sale","syscebnl_tax_group_0","base","invoice","","BF_11","","","0% (exportation)","syscebnl_fiscal_position_template_2","syscebnl_tva_sale_10,syscebnl_tva_sale_18"
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","BF_11","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
"syscebnl_tva_import_0","0% EX","0% (import)","","0.0","","purchase","syscebnl_tax_group_0","base","invoice","","","","","0% (importation)","syscebnl_fiscal_position_template_2","syscebnl_tva_purchase_18,syscebnl_tva_purchase_10"
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
"syscebnl_tva_exempt_0","0%","0% (exempt)","","0.0","","sale","syscebnl_tax_group_0","base","invoice","","BF_13","","","0% (exonéré)","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","BF_13","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
"syscebnl_tva_purchase_exempt_0","0%","0% (exempt)","","0.0","","purchase","syscebnl_tax_group_0","base","invoice","","","","","0% (exonéré)","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
