id,name,chart_template_id/id,code,account_type,reconcile
jo_account_100102,Bank Suspense Account,l10n_jo.jordan_chart_template_standard,100102,Current Assets,False
jo_account_100103,Outstanding Receipts,l10n_jo.jordan_chart_template_standard,100103,Current Assets,False
jo_account_100104,Outstanding Payments,l10n_jo.jordan_chart_template_standard,100104,Current Assets,False
jo_account_100105,Bank,l10n_jo.jordan_chart_template_standard,100105,Bank and Cash,False
jo_account_100106,Credit cards,l10n_jo.jordan_chart_template_standard,100106,Current Assets,False
jo_account_100107,Post Dated Cheques Received,l10n_jo.jordan_chart_template_standard,100107,Current Assets,False
jo_account_100108,Cash,l10n_jo.jordan_chart_template_standard,100108,Bank and Cash,False
jo_account_100201,Accounts Receivable,l10n_jo.jordan_chart_template_standard,100201,Receivable,True
jo_account_100202,Accounts Receivable (PoS),l10n_jo.jordan_chart_template_standard,100202,Receivable,True
jo_account_100203,Other Receivable,l10n_jo.jordan_chart_template_standard,100203,Current Assets,False
jo_account_100301,Deposit - Office Rent,l10n_jo.jordan_chart_template_standard,100301,Current Assets,False
jo_account_100302,Deposits - Customs,l10n_jo.jordan_chart_template_standard,100302,Current Assets,False
jo_account_100303,Deposit to Immigration (Visa),l10n_jo.jordan_chart_template_standard,100303,Current Assets,False
jo_account_100304,Deposit Others,l10n_jo.jordan_chart_template_standard,100304,Current Assets,False
jo_account_100401,Prepaid Medical Insurance,l10n_jo.jordan_chart_template_standard,100401,Current Assets,False
jo_account_100402,Prepaid Life Insurance,l10n_jo.jordan_chart_template_standard,100402,Current Assets,False
jo_account_100403,Prepaid Office Rent,l10n_jo.jordan_chart_template_standard,100403,Current Assets,False
jo_account_100404,Prepaid Other Insurance,l10n_jo.jordan_chart_template_standard,100404,Current Assets,False
jo_account_100405,Prepaid License Fees,l10n_jo.jordan_chart_template_standard,100405,Current Assets,False
jo_account_100406,Prepaid Maintenance,l10n_jo.jordan_chart_template_standard,100406,Current Assets,False
jo_account_100407,Prepaid Employees Housing,l10n_jo.jordan_chart_template_standard,100407,Current Assets,False
jo_account_100408,Prepaid Schooling Fees,l10n_jo.jordan_chart_template_standard,100408,Current Assets,False
jo_account_100409,Prepaid Consultancy Fees,l10n_jo.jordan_chart_template_standard,100409,Current Assets,False
jo_account_100410,Prepaid Legal Fees,l10n_jo.jordan_chart_template_standard,100410,Current Assets,False
jo_account_100411,Prepaid Sponsorship Fees,l10n_jo.jordan_chart_template_standard,100411,Current Assets,False
jo_account_100412,PrePaid Advertisement Expenses,l10n_jo.jordan_chart_template_standard,100412,Current Assets,False
jo_account_100413,Prepaid Bank Guarantee,l10n_jo.jordan_chart_template_standard,100413,Current Assets,False
jo_account_100414,Prepaid Finance charge for Loans,l10n_jo.jordan_chart_template_standard,100414,Current Assets,False
jo_account_100415,Other Prepayments,l10n_jo.jordan_chart_template_standard,100415,Current Assets,False
jo_account_100501,Handling Difference in Inventory,l10n_jo.jordan_chart_template_standard,100501,Current Assets,False
jo_account_100502,Inventory Valuation,l10n_jo.jordan_chart_template_standard,100502,Current Assets,False
jo_account_100503,Stock Incoming,l10n_jo.jordan_chart_template_standard,100503,Current Assets,False
jo_account_100504,Stock Outgoing,l10n_jo.jordan_chart_template_standard,100504,Current Assets,False
jo_account_100601,Acc. Depreciation of Motor Vehicles,l10n_jo.jordan_chart_template_standard,100601,Fixed Assets,False
jo_account_100602,Amortisation on Leasehold Improvement,l10n_jo.jordan_chart_template_standard,100602,Fixed Assets,False
jo_account_100603,Leasehold Improvement,l10n_jo.jordan_chart_template_standard,100603,Fixed Assets,False
jo_account_100604,Furniture and Equipment,l10n_jo.jordan_chart_template_standard,100604,Fixed Assets,False
jo_account_100605,Computer Hardware & Software,l10n_jo.jordan_chart_template_standard,100605,Fixed Assets,False
jo_account_100606,Acc.Deprn.of Furniture & Office Equipment,l10n_jo.jordan_chart_template_standard,100606,Fixed Assets,False
jo_account_100607,Acc. Deprn.Computer Hardware & Software,l10n_jo.jordan_chart_template_standard,100607,Fixed Assets,False
jo_account_100701,Registration of Trademarks,l10n_jo.jordan_chart_template_standard,100701,Current Assets,False
jo_account_100801,Right of use Asset (IFRS 16),l10n_jo.jordan_chart_template_standard,100801,Fixed Assets,False
jo_account_100802,Accumulated Depreciation right use asset (IFRS 16),l10n_jo.jordan_chart_template_standard,100802,Fixed Assets,False
jo_account_200101,Payables,l10n_jo.jordan_chart_template_standard,200101,Payable,True
jo_account_200102,Trade Payables,l10n_jo.jordan_chart_template_standard,200102,Payable,True
jo_account_200103,Employees Payables,l10n_jo.jordan_chart_template_standard,200103,Payable,True
jo_account_200104,Credit Notes to Customers,l10n_jo.jordan_chart_template_standard,200104,Current Liabilities,False
jo_account_200201,Accrued - Salaries,l10n_jo.jordan_chart_template_standard,200201,Current Liabilities,False
jo_account_200202,Accrued - Commissions,l10n_jo.jordan_chart_template_standard,200202,Current Liabilities,False
jo_account_200203,Accrued-Staff Bonus,l10n_jo.jordan_chart_template_standard,200203,Current Liabilities,False
jo_account_200204,Accrued Other Personnel Cost,l10n_jo.jordan_chart_template_standard,200204,Current Liabilities,False
jo_account_200205,Accrued - Sponsorship,l10n_jo.jordan_chart_template_standard,200205,Current Liabilities,False
jo_account_200301,Accrued - Utilities,l10n_jo.jordan_chart_template_standard,200301,Current Liabilities,False
jo_account_200302,Accrued - Telephone,l10n_jo.jordan_chart_template_standard,200302,Current Liabilities,False
jo_account_200303,Accrued - Audit Fees,l10n_jo.jordan_chart_template_standard,200303,Current Liabilities,False
jo_account_200304,Accrued - Office Rent,l10n_jo.jordan_chart_template_standard,200304,Current Liabilities,False
jo_account_200305,Accrued Others,l10n_jo.jordan_chart_template_standard,200305,Current Liabilities,False
jo_account_200306,Accrued Jordan Customs,l10n_jo.jordan_chart_template_standard,200306,Current Liabilities,False
jo_account_200401,Deferred income,l10n_jo.jordan_chart_template_standard,200401,Current Liabilities,False
jo_account_200501,Leave Tickets Provision,l10n_jo.jordan_chart_template_standard,200501,Non-current Liabilities,False
jo_account_200502,Leave Days Provision,l10n_jo.jordan_chart_template_standard,200502,Non-current Liabilities,False
jo_account_200503,End of Service Provision,l10n_jo.jordan_chart_template_standard,200503,Non-current Liabilities,False
jo_account_200504,Income Tax Provision,l10n_jo.jordan_chart_template_standard,200504,Non-current Liabilities,False
jo_account_200901,VAT Input,l10n_jo.jordan_chart_template_standard,200901,Current Liabilities,False
jo_account_200902,VAT Output,l10n_jo.jordan_chart_template_standard,200902,Current Liabilities,False
jo_account_200903,VAT Receivable,l10n_jo.jordan_chart_template_standard,200903,Non-current Assets,False
jo_account_200904,VAT Payable,l10n_jo.jordan_chart_template_standard,200904,Non-current Liabilities,False
jo_account_200905,Tax Payable,l10n_jo.jordan_chart_template_standard,200905,Current Liabilities,False
jo_account_200906,Tax Receivable,l10n_jo.jordan_chart_template_standard,200906,Current Liabilities,False
jo_account_300100,Retained Earnings,l10n_jo.jordan_chart_template_standard,300100,Equity,False
jo_account_300101,Undistributed Profits/Losses,l10n_jo.jordan_chart_template_standard,300101,Current Year Earnings,False
jo_account_400100,Income Clearing Account,l10n_jo.jordan_chart_template_standard,400100,Income,False
jo_account_400101,Sales Account,l10n_jo.jordan_chart_template_standard,400101,Income,False
jo_account_400102,Sales of I/C,l10n_jo.jordan_chart_template_standard,400102,Income,False
jo_account_400103,Sales from Other Region,l10n_jo.jordan_chart_template_standard,400103,Income,False
jo_account_400104,Management Consultancy Fees,l10n_jo.jordan_chart_template_standard,400104,Income,False
jo_account_400105,Advertising Income,l10n_jo.jordan_chart_template_standard,400105,Income,False
jo_account_400201,Other Income,l10n_jo.jordan_chart_template_standard,400201,Other Income,False
jo_account_400301,Gain On Difference Of Exchange,l10n_jo.jordan_chart_template_standard,400301,Other Income,False
jo_account_400302,Cash Difference Gain,l10n_jo.jordan_chart_template_standard,400302,Other Income,False
jo_account_400303,Excess In Till,l10n_jo.jordan_chart_template_standard,400303,Other Income,False
jo_account_400304,Cash Discount Gain,l10n_jo.jordan_chart_template_standard,400304,Other Income,False
jo_account_500101,Cost of Goods Sold in Trading,l10n_jo.jordan_chart_template_standard,500101,Cost of Revenue,False
jo_account_500102,Cost Of Goods Sold I/C Sales,l10n_jo.jordan_chart_template_standard,500102,Cost of Revenue,False
jo_account_500200,Expense Clearing Account,l10n_jo.jordan_chart_template_standard,500200,Expenses,False
jo_account_500201,Medical Insurance,l10n_jo.jordan_chart_template_standard,500201,Expenses,False
jo_account_500202,End Of Service Indemnity,l10n_jo.jordan_chart_template_standard,500202,Expenses,False
jo_account_500203,Sponsorship Fees,l10n_jo.jordan_chart_template_standard,500203,Expenses,False
jo_account_500301,Basic Salary,l10n_jo.jordan_chart_template_standard,500301,Expenses,False
jo_account_500302,Housing Allowance,l10n_jo.jordan_chart_template_standard,500302,Expenses,False
jo_account_500303,Transportation Allowance,l10n_jo.jordan_chart_template_standard,500303,Expenses,False
jo_account_500304,Leave Ticket,l10n_jo.jordan_chart_template_standard,500304,Expenses,False
jo_account_500305,Leave Salary,l10n_jo.jordan_chart_template_standard,500305,Expenses,False
jo_account_500306,Sales Commission,l10n_jo.jordan_chart_template_standard,500306,Expenses,False
jo_account_500307,Visa Expenses,l10n_jo.jordan_chart_template_standard,500307,Expenses,False
jo_account_500308,Staff Other Allowances,l10n_jo.jordan_chart_template_standard,500308,Expenses,False
jo_account_500309,Air tickets,l10n_jo.jordan_chart_template_standard,500309,Expenses,False
jo_account_500401,Office Rent,l10n_jo.jordan_chart_template_standard,500401,Expenses,False
jo_account_500402,Warehouse Rent,l10n_jo.jordan_chart_template_standard,500402,Expenses,False
jo_account_500403,Water & Electricity,l10n_jo.jordan_chart_template_standard,500403,Expenses,False
jo_account_500404,Other Utility Charges,l10n_jo.jordan_chart_template_standard,500404,Expenses,False
jo_account_500501,Audit Fees,l10n_jo.jordan_chart_template_standard,500501,Expenses,False
jo_account_500502,Legal fees,l10n_jo.jordan_chart_template_standard,500502,Expenses,False
jo_account_500503,Trade License Fees,l10n_jo.jordan_chart_template_standard,500503,Expenses,False
jo_account_500504,Others - Professional Fees,l10n_jo.jordan_chart_template_standard,500504,Expenses,False
jo_account_500505,Insurance,l10n_jo.jordan_chart_template_standard,500505,Expenses,False
jo_account_500506,Previous Year Adjustments Account,l10n_jo.jordan_chart_template_standard,500506,Expenses,False
jo_account_500601,Credit Card Charges,l10n_jo.jordan_chart_template_standard,500601,Expenses,False
jo_account_500602,Other Bank Charges,l10n_jo.jordan_chart_template_standard,500602,Expenses,False
jo_account_500603,Bank Finance & Loan Charges,l10n_jo.jordan_chart_template_standard,500603,Expenses,False
jo_account_500651,Income Tax Expense,l10n_jo.jordan_chart_template_standard,500651,Expenses,False
jo_account_500701,Other - Advertising Expenses,l10n_jo.jordan_chart_template_standard,500701,Expenses,False
jo_account_500702,Training,l10n_jo.jordan_chart_template_standard,500702,Expenses,False
jo_account_500703,Consultancy Fees,l10n_jo.jordan_chart_template_standard,500703,Expenses,False
jo_account_500801,Amortisation on Leasehold Improvement,l10n_jo.jordan_chart_template_standard,500801,Depreciation,False
jo_account_500802,Vehicle Expenses,l10n_jo.jordan_chart_template_standard,500802,Depreciation,False
jo_account_500803,Depreciation Of Motor Vehicles,l10n_jo.jordan_chart_template_standard,500803,Depreciation,False
jo_account_500804,Depreciation Of Furniture & Office Equipment,l10n_jo.jordan_chart_template_standard,500804,Depreciation,False
jo_account_500805,Depreciation Of Computer Hard & Soft,l10n_jo.jordan_chart_template_standard,500805,Depreciation,False
jo_account_500851,Depreciation on right of use asset (IFRS 16),l10n_jo.jordan_chart_template_standard,500851,Depreciation,False
jo_account_500901,Loss On Fixed Assets Disposal,l10n_jo.jordan_chart_template_standard,500901,Expenses,False
jo_account_500902,Cash Shortage,l10n_jo.jordan_chart_template_standard,500902,Expenses,False
jo_account_500903,Loss on Difference on Exchange,l10n_jo.jordan_chart_template_standard,500903,Expenses,False
jo_account_500904,Write Off Receivables & Payables,l10n_jo.jordan_chart_template_standard,500904,Expenses,False
jo_account_500905,Write Off Inventory,l10n_jo.jordan_chart_template_standard,500905,Expenses,False
jo_account_500906,Others - Provision & Write off,l10n_jo.jordan_chart_template_standard,500906,Expenses,False
jo_account_500907,Others,l10n_jo.jordan_chart_template_standard,500907,Expenses,False
jo_account_500908,Other Non Operating Expenses,l10n_jo.jordan_chart_template_standard,500908,Expenses,False
jo_account_500909,Cash Difference Loss,l10n_jo.jordan_chart_template_standard,500909,Expenses,False
jo_account_501101,Telephone,l10n_jo.jordan_chart_template_standard,501101,Expenses,False
jo_account_501102,Others - Communication,l10n_jo.jordan_chart_template_standard,501102,Expenses,False
jo_account_501103,Maintenance,l10n_jo.jordan_chart_template_standard,501103,Expenses,False
jo_account_501104,Security & Guard,l10n_jo.jordan_chart_template_standard,501104,Expenses,False
jo_account_501105,Cleaning,l10n_jo.jordan_chart_template_standard,501105,Expenses,False
jo_account_501106,Others - Office Various Expenses,l10n_jo.jordan_chart_template_standard,501106,Expenses,False
jo_account_501107,Cash Discount Loss,l10n_jo.jordan_chart_template_standard,501107,Expenses,False
