id,code_prefix_start,code_prefix_end,name,parent_id/id
jo_group_1,100100,100199,100100 Liquidity,
jo_group_2,100200,100299,100200 Receivables,
jo_group_3,100300,100399,100300 Deposits,
jo_group_4,100400,100499,100400 Prepaid Expenses,
jo_group_5,100500,100599,100500 Inventory,
jo_group_6,100600,100699,100600 Company Assets & Depreciation,
jo_group_7,100700,100799,100700 Licensing and Copyrights ,
jo_group_8,100800,100899,100800 IFRS16 Assets & Depreciation,
jo_group_9,200100,200199,200100 Payables,
jo_group_10,200200,200299,200200 Accrued Employee Expenses,
jo_group_11,200300,200399,200300 Accrued Expenses,
jo_group_12,200400,200499,200400 Deferrals,
jo_group_13,200500,200599,200500 Provisions,
jo_group_14,200900,200999,200900 VAT,
jo_group_15,300100,300900,300100 Equity,
jo_group_16,400100,400199,400100 Operating Income,
jo_group_17,400200,400299,400200 Non-Operating Income,
jo_group_18,400300,400399,400300 Other gains & losses - Other Income,
jo_group_19,400400,400499,400400 Operating Results,
jo_group_20,500100,500199,500100 Cost of Sales,
jo_group_21,500200,500299,500200 Employees Expenses,
jo_group_22,500300,500399,500300 Payroll Expenses,
jo_group_23,500400,500499,500400 Office and Location Expenses,
jo_group_24,500500,500599,500500 Company Expenses,
jo_group_25,500600,500649,500600 Finance Expenses,
jo_group_26,500650,500699,500650 Income Tax,
jo_group_27,500700,500799,500700 Misc. Company Expenses,
jo_group_28,500800,500849,500800 Assets Depreciation Expenses,
jo_group_29,500851,500899,500850 IFRS16 Depreciation,
jo_group_30,500900,500999,500900 Other gains & losses - Expenses,
jo_group_31,501100,501199,501100 Misc. Office Expenses,
