"id","code_prefix_start","code_prefix_end","name","name@es"
"account_group_1","1","","Assets","Activos"
"account_group_11","11","","Current Assets","Activos Corrientes"
"account_group_1101","1101","","Cash and Cash Equivalents","Efectivo y Equivalentes de Efectivo"
"account_group_110101","110101","","Cash","Caja"
"account_group_110102","110102","","Banks","Bancos"
"account_group_110103","110103","","Temporary Investments Less than 90 days","Inversiones Temporales Plazo Menor 90 días"
"account_group_1102","1102","","Short-Term Investments in Securities","Inversiones en Valores a Corto Plazo"
"account_group_1103","1103","","Accounts and notes receivable","Cuentas y Documentos por Cobrar"
"account_group_110301","110301","","Notes Receivable","Documentos por Cobrar"
"account_group_110302","110302","","Accounts Receivable","Cuentas por Cobrar"
"account_group_1104","1104","","Allowance for doubtful accounts","Provisión para Cuentas Incobrables"
"account_group_1105","1105","","Inventories","Inventarios"
"account_group_1106","1106","","Accumulated Impairment of Inventory Value","Deterioro Acumulado de Valor de Inventarios"
"account_group_1107","1107","","Inventory obsolescence estimate","Estimación por Obsolencia de Inventario"
"account_group_1108","1108","","Advanced Taxes","Impuestos Adelantados"
"account_group_110801","110801","","ITBIS Advance on Purchases","ITBIS Adelantado en Compras"
"account_group_110803","110803","","Other Taxes and Balances","Otros Impuestos y Saldos"
"account_group_1109","1109","","Temporary Investments","Inversiones Temporales"
"account_group_1110","1110","","Advance Payments","Pagos Anticipados"
"account_group_12","12","","Fixed Assets","Activo Fijos"
"account_group_1201","1201","","Property, Plant and Equipment","Propiedades, Planta y Equipo"
"account_group_120101","120101","","Real Estate (CAT 1)","Bienes Inmuebles (CAT 1)"
"account_group_120102","120102","","Personal Property (CAT 2)","Bienes Muebles (CAT 2)"
"account_group_120103","120103","","Personal Property (CAT 3)","Bienes Muebles (CAT 3)"
"account_group_1202","1202","","Accumulated Depreciation of Property, Plant and Equipment","Depreciación Acumulada de Propiedades, Planta y Equipo"
"account_group_1203","1203","","Accumulated Impairment of Property, Plant and Equipment","Deterioro de Valor Acumulado de Propiedades, Planta y Equipo"
"account_group_1204","1204","","Intangible Assets","Activos Intangibles"
"account_group_1205","1205","","Leased Assets","Bienes en Arrendamiento"
"account_group_1206","1206","","Accumulated Depreciation of Leased Assets","Depreciación Acumulada de Bienes en Arrendamiento"
"account_group_1207","1207","","Accumulated Impairment Loss on Leased Assets","Deterioro de Valor Acumulado de Bienes en Arrendamiento"
"account_group_1208","1208","","Permanent Investments","Inversiones Permanentes"
"account_group_1209","1209","","Deferred Assets","Activos Diferidos"
"account_group_13","13","","Construction Costs","Costos de Construcción"
"account_group_1301","1301","","Construction in Progress","Construcción en Proceso"
"account_group_130101","130101","","In-Process Construction Costs","Costos de Costrucción en Proceso"
"account_group_2","2","","Liabilities","Pasivos"
"account_group_21","21","","Current Liabilities","Pasivo Corriente"
"account_group_2101","2101","","Short-term accounts payable and notes payable","Cuentas y Documentos por Pagar a Corto Plazo"
"account_group_2102","2102","","Short-Term Benefits Payable","Beneficios por Pagar a Corto Plazo"
"account_group_2103","2103","","Taxes and Withholdings","Impuestos y Retenciones"
"account_group_210301","210301","","ITBIS Payable","ITBIS por Pagar"
"account_group_210302","210302","","ITBIS Withheld","ITBIS Retenido"
"account_group_210303","210303","","ISR withheld","ISR Retenido"
"account_group_210304","210304","","Payroll withholdings","Retenciones en Nómina"
"account_group_210305","210305","","Other Taxes or Withholdings","Otros Impuestos o Retenciones"
"account_group_2104","2104","","Short-Term Provisions","Provisiones a Corto Plazo"
"account_group_2105","2105","","Credit Cards","Tarjetas de Crédito"
"account_group_22","22","","Non-Current Liabilities","Pasivo No Corriente"
"account_group_2201","2201","","Long-term accounts payable and notes payable","Cuentas y Documentos por Pagar a Largo Plazo"
"account_group_2202","2202","","Provision for Labor Obligations","Provisión para Obligaciones Laborales"
"account_group_2203","2203","","Customer Advances and Unidentified Payments","Anticipos de Clientes y Pagos no Identificados"
"account_group_2204","2204","","Long-Term Provisions","Provisiones a Largo Plazo"
"account_group_3","3","","Capital",""
"account_group_31","31","","Stockholders' equity","Capital Contable"
"account_group_3101","3101","","Capital Stock","Capital Social"
"account_group_3102","3102","","Asset revaluation surplus","Superávit por Revaluación de Activos"
