"id","name","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_dest_id","account_ids/account_src_id","name@es"
"position_person","P. Physical Services","tax_18_purch","tax_group_person_services","","","P. Física de Servicios"
"","","tax_18_purch_serv","tax_group_person_services","","",""
"","","","","l10n_do_61030111","l10n_do_61021500",""
"position_service_moral","P. Legal Services","tax_18_purch","tax_group_moral_services","","","P. Jurídica de Servicios"
"position_security_moral","P. Legal Surveillance","tax_18_purch","ret_100_tax_security","","","P. Jurídica de Vigilancia"
"position_nonformal","Informal Supplier of Goods","tax_18_purch","tax_group_nonformal","","","Proveedor Informal de Bienes"
"","","tax_18_purch_incl","tax_group_nonformal","","",""
"position_exterior","Outside Services","tax_18_purch_serv","ret_27_income_remittance","","","Servicios del Exterior"
"","","tax_18_purch","ret_27_income_remittance","","",""
"","","","","l10n_do_21010300","l10n_do_21010200",""
"position_gov","Governmental","tax_18_sale","ret_5_income_gov","","","Gubernamental"
"","","tax_18_sale_incl","ret_5_income_gov","","",""
"position_nonprofit","Non-Profit Services","tax_18_purch","ret_100_tax_nonprofit","","","No Lucrativa de Servicios"
"","","tax_18_purch_incl","ret_100_tax_nonprofit","","",""
"position_especial","Special Regimes","tax_18_sale","tax_0_sale","","","Regímenes Especiales"
"","","tax_18_sale_incl","tax_0_sale","","",""
"","","tax_group_restaurant_sale","tax_tip_sale","","",""
"position_restaurant","Restaurants","tax_18_purch","tax_group_restaurant_purch","","","Restaurantes"
"","","tax_18_purch_incl","tax_group_restaurant_purch","","",""
"","","tax_18_sale","tax_group_restaurant_sale","","",""
"","","tax_18_sale_incl","tax_group_restaurant_sale","","",""
"position_restaurant_takeout","To Take Away","tax_group_restaurant_sale","tax_18_sale","","","Para Llevar"
