"id","sequence","code","name","report_name","internal_type","doc_code_prefix","country_id/id","l10n_cl_active","active","name@es_419","report_name@es_419"
"dc_a_f_dte","1","33","Electronic Invoice","INVOICE","invoice","FAC","base.cl","True","True","Factura Electrónica","FACTURA"
"dc_y_f_dte","2","34","Unaffected or Exempt Electronic Invoice","F-EXENTA","invoice","FNA","base.cl","True","True","Factura no Afecta o Exenta Electrónica","F-EXENTA"
"dc_nc_f_dte","3","61","Electronic Credit Note","CREDIT NOTE","credit_note","N/C","base.cl","True","True","Nota de Crédito Electrónica","NOTA DE CRÉDITO"
"dc_nd_f_dte","4","56","Electronic Debit Note","DEBIT NOTE","debit_note","N/D","base.cl","True","True","Nota de Débito Electrónica","NOTA DE DEBITO"
"dc_b_f_dte","5","39","Electronic Receipt","BEL","invoice","BEL","base.cl","True","True","Boleta Electrónica","BEL"
"dc_m_d_dtn","6","71","Electronic Fee Slips","BHE","invoice","BHE","base.cl","True","True","Boleta de Honorarios Electrónica","BHE"
"dc_b_e_dtn","7","38","Exempt Receipt","BEX","invoice","BEX","base.cl","False","False","Boleta exenta","BEX"
"dc_gd_dte","8","52","Electronic Dispatch Guide","GDE","stock_picking","GDE","base.cl","False","True","Guía de Despacho Electrónica","GDE"
"dc_I_f_dtn","10","29","Invoice of Initiation","FAI","invoice","FAI","base.cl","False","False","Factura de Inicio","FAI"
"dc_a_f_dtn","10","30","Invoice","INVOICE","invoice","FAC","base.cl","False","False","Factura","FACTURA"
"dc_y_f_dtn","10","32","Invoice of Sales and Services not Affected or Exempt from VAT","F-EXENTA","invoice","FNA","base.cl","False","False","Factura de Ventas y Servicios no Afectos o Exentos de IVA","F-EXENTA"
"dc_b_f_dtn","10","35","Bill of Sale","BOL","invoice","BOL","base.cl","False","False","Boleta de Venta","BOL"
"dc_l_f_dtn","10","40","Invoice Settlement","L-FACTURAM","invoice","FAL","base.cl","False","False","Liquidación Factura","L-FACTURAM"
"dc_b_e_dte","10","41","Electronic Exempt Receipt","BXE","invoice","BXE","base.cl","True","True","Boleta Exenta Electrónica","BXE"
"dc_l_f_dte","10","43","Electronic Invoice Settlement","L-FACTURAE","invoice","FAL","base.cl","False","False","Liquidación Factura Electrónica","L-FACTURAE"
"dc_fc_f_dtn","10","45","Purchase Invoice","INVOICE","invoice_in","FAC","base.cl","False","False","Factura de Compra","FACTURA"
"dc_fc_f_dte","10","46","Electronic Purchase Invoice","INVOICE","invoice_in","FAC","base.cl","False","True","Factura de Compra Electrónica","FACTURA"
"dc_gd","10","50","Dispatch Guide","GD","stock_picking","GD","base.cl","False","False","Guía de Despacho","GD"
"dc_nd_f_dtn","10","55","Debit Note","DEBIT NOTE","debit_note","N/D","base.cl","False","False","Nota de débito","NOTA DE DEBITO"
"dc_nc_f_dtn","10","60","Credit Note","CREDIT NOTE","credit_note","N/C","base.cl","False","False","Nota de crédito","NOTA DE CRÉDITO"
