id,name,state_id:id,country_id:id
city_cl_01,"ARICA",base.state_cl_15,base.cl
city_cl_02,"CAMARONES",base.state_cl_15,base.cl
city_cl_03,"PUTRE",base.state_cl_15,base.cl
city_cl_04,"GENERAL LAGOS",base.state_cl_15,base.cl
city_cl_05,"IQUIQUE",base.state_cl_01,base.cl
city_cl_06,"CAMIÑA",base.state_cl_01,base.cl
city_cl_07,"COLCHANE",base.state_cl_01,base.cl
city_cl_08,"HUARA",base.state_cl_01,base.cl
city_cl_09,"PICA",base.state_cl_01,base.cl
city_cl_10,"POZO ALMONTE",base.state_cl_01,base.cl
city_cl_11,"ALTO HOSPICIO",base.state_cl_01,base.cl
city_cl_12,"ANTOFAGASTA",base.state_cl_02,base.cl
city_cl_13,"MEJILLONES",base.state_cl_02,base.cl
city_cl_14,"SIERRA GORDA",base.state_cl_02,base.cl
city_cl_15,"TALTAL",base.state_cl_02,base.cl
city_cl_16,"CALAMA",base.state_cl_02,base.cl
city_cl_17,"OLLAGÜE",base.state_cl_02,base.cl
city_cl_18,"SAN PEDRO DE ATACAMA",base.state_cl_02,base.cl
city_cl_19,"TOCOPILLA",base.state_cl_02,base.cl
city_cl_20,"MARÍA ELENA",base.state_cl_02,base.cl
city_cl_21,"COPIAPÓ",base.state_cl_03,base.cl
city_cl_22,"CALDERA",base.state_cl_03,base.cl
city_cl_23,"TIERRA AMARILLA",base.state_cl_03,base.cl
city_cl_24,"CHAÑARAL",base.state_cl_03,base.cl
city_cl_25,"DIEGO DE ALMAGRO",base.state_cl_03,base.cl
city_cl_26,"VALLENAR",base.state_cl_03,base.cl
city_cl_27,"ALTO DEL CARMEN",base.state_cl_03,base.cl
city_cl_28,"FREIRINA",base.state_cl_03,base.cl
city_cl_29,"HUASCO",base.state_cl_03,base.cl
city_cl_30,"LA SERENA",base.state_cl_04,base.cl
city_cl_31,"COQUIMBO",base.state_cl_04,base.cl
city_cl_32,"ANDACOLLO",base.state_cl_04,base.cl
city_cl_33,"LA HIGUERA",base.state_cl_04,base.cl
city_cl_34,"PAIHUANO",base.state_cl_04,base.cl
city_cl_35,"VICUÑA",base.state_cl_04,base.cl
city_cl_36,"ILLAPEL",base.state_cl_04,base.cl
city_cl_37,"CANELA",base.state_cl_04,base.cl
city_cl_38,"LOS VILOS",base.state_cl_04,base.cl
city_cl_39,"SALAMANCA",base.state_cl_04,base.cl
city_cl_40,"OVALLE",base.state_cl_04,base.cl
city_cl_41,"COMBARBALÁ",base.state_cl_04,base.cl
city_cl_42,"MONTE PATRIA",base.state_cl_04,base.cl
city_cl_43,"PUNITAQUI",base.state_cl_04,base.cl
city_cl_44,"RÍO HURTADO",base.state_cl_04,base.cl
city_cl_45,"VALPARAÍSO",base.state_cl_05,base.cl
city_cl_46,"CASABLANCA",base.state_cl_05,base.cl
city_cl_47,"CONCÓN",base.state_cl_05,base.cl
city_cl_48,"JUAN FERNÁNDEZ",base.state_cl_05,base.cl
city_cl_49,"PUCHUNCAVÍ",base.state_cl_05,base.cl
city_cl_50,"QUILPUÉ",base.state_cl_05,base.cl
city_cl_51,"QUINTERO",base.state_cl_05,base.cl
city_cl_52,"VILLA ALEMANA",base.state_cl_05,base.cl
city_cl_53,"VIÑA DEL MAR",base.state_cl_05,base.cl
