id,name,l10n_cl_sbif_code,country:id
bank_001_0,Banco de Chile,001,base.cl
bank_001_1,Banco Edwards,001,base.cl
bank_001_2,Citi,001,base.cl
bank_001_3,Atlas,001,base.cl
bank_001_4,CrediChile,001,base.cl
bank_009_0,Banco Internacional,009,base.cl
bank_012_0,Banco Estado,012,base.cl
bank_014_0,Scotiabank Chile,014,base.cl
bank_016_0,Banco De Credito e Inversiones (BCI),016,base.cl
bank_016_1,Tbanc,016,base.cl
bank_016_2,BCI Nova,016,base.cl
bank_027_0,Corpbanca,027,base.cl
bank_027_1,Banco Condell,027,base.cl
bank_028_0,Banco Bice,028,base.cl
bank_031_0,Hsbc Bank,031,base.cl
bank_037_0,Banco Santander-Chile,037,base.cl
bank_037_1,Banefe,037,base.cl
bank_039_0,Banco Itaú Chile,039,base.cl
bank_049_0,Banco Security,049,base.cl
bank_051_0,Banco Falabella,051,base.cl
bank_052_0,Deutsche Bank,052,base.cl
bank_053_0,Banco Ripley,053,base.cl
bank_054_0,Rabobank Chile (Ex Hns Banco),054,base.cl
bank_055_0,Banco Consorcio (Ex Banco Monex),055,base.cl
bank_056_0,Banco Penta,056,base.cl
bank_057_0,Banco Paris,057,base.cl
bank_504_0,Banco Bilbao Vizcaya Argentaria Chile (BBVA),504,base.cl
bank_504_1,BBVA Express,504,base.cl
bank_059_0,Banco Btg Pactual Chile,059,base.cl
bank_017_0,Banco Do Brasil S.A.,017,base.cl
bank_041_0,Jp Morgan Chase Bank  N. A.,041,base.cl
bank_043_0,Banco De La Nacion Argentina,043,base.cl
