"id","description","name","type_tax_use","amount","sequence","tax_group_id","amount_type","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@lv","fiscal_position_ids","original_tax_ids","invoice_legal_notes"
"VAT_S_G_21_LV","Sale 21% in country Goods","21% G","sale","21.0","100","tax_group_vat_21","percent","100","base","invoice","41","","Pārdod 21% valstī - Preces","fiscal_position_lv_domestic,fiscal_position_lv_eu_private","",""
"","","","","","","","","100","tax","invoice","52","a5721","","","",""
"","","","","","","","","100","base","refund","41","","","","",""
"","","","","","","","","100","tax","refund","52","a5721","","","",""
"VAT_S_S_21_LV","Sale 21% in country Service","21% S","sale","21.0","100","tax_group_vat_21","percent","100","base","invoice","41","","Pārdod 21% valstī - Pakalpojumos","fiscal_position_lv_domestic,fiscal_position_lv_eu_private","",""
"","","","","","","","","100","tax","invoice","52","a5721","","","",""
"","","","","","","","","100","base","refund","41","","","","",""
"","","","","","","","","100","tax","refund","52","a5721","","","",""
"VAT_RC_0_LV","Reverse charge VAT","0% RC","sale","0.0","110","tax_group_vat_exempt","percent","100","base","invoice","411","","Pārdošana reversa","fiscal_position_lv_domestic,fiscal_position_lv_eu_private","",""
"","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","100","base","refund","411","","","","",""
"","","","","","","","","100","tax","refund","","","","","",""
"VAT_S_G_12_LV","Sale 12% in country Goods","12% G","sale","12.0","120","tax_group_vat_12","percent","100","base","invoice","42","","Pārdod 12% valstī - preces","fiscal_position_lv_domestic,fiscal_position_lv_eu_private","",""
"","","","","","","","","100","tax","invoice","53","a5721","","","",""
"","","","","","","","","100","base","refund","42","","","","",""
"","","","","","","","","100","tax","refund","53","a5721","","","",""
"VAT_S_S_12_LV","Sale 12% in country Service","12% S","sale","12.0","120","tax_group_vat_12","percent","100","base","invoice","42","","Pārdod 12% valstī - Pakalpojumos","fiscal_position_lv_domestic,fiscal_position_lv_eu_private","",""
"","","","","","","","","100","tax","invoice","53","a5721","","","",""
"","","","","","","","","100","base","refund","42","","","","",""
"","","","","","","","","100","tax","refund","53","a5721","","","",""
"VAT_S_G_5_LV","Sale 5% in country Goods","5% G","sale","5.0","130","tax_group_vat_5","percent","100","base","invoice","421","","Pārdod 5% valstī - preces","fiscal_position_lv_domestic,fiscal_position_lv_eu_private","",""
"","","","","","","","","100","tax","invoice","531","a5721","","","",""
"","","","","","","","","100","base","refund","421","","","","",""
