"id","code_prefix_start","name","name@es"
"group0","0","Memorandum accounts","Cuentas de orden"
"group1","1","Assets available and payable","Activo disponible y exigible"
"group2","2","Realizable asset","Activo realizable"
"group3","3","Assets available and payable","Activo disponible y exigible"
"group4","4","Liabilities","Pasivo"
"group5","5","Net Worth","Patrimonio Neto"
"group6","6","Expenses by nature","Gastos por naturaleza"
"group7","7","Incomes","Ingresos"
"group8","8","Intermediate management balances and determination of profit for the year","Saldos intrermediarios de gestión y determinación del resultado del ejercicio"
"group10","10","CASH AND CASH EQUIVALENTS","EFECTIVO Y EQUIVALENTES DE EFECTIVO"
"group11","11","FINANCIAL INVESTMENTS","INVERSIONES FINANCIERAS"
"group12","12","TRADE ACCOUNTS RECEIVABLE – THIRD PARTIES","CUENTAS POR COBRAR COMERCIALES – TERCEROS"
"group13","13","TRADE ACCOUNTS RECEIVABLE – ASSOCIATED","CUENTAS POR COBRAR COMERCIALES – RELACIONADAS"
"group14","14","ACCOUNTS RECEIVABLE FROM STAFF, SHAREHOLDERS (PARTNERS) AND DIRECTORS","CUENTAS POR COBRAR AL PERSONAL, A LOS ACCIONISTAS (SOCIOS) y DIRECTORES"
"group16","16","MISCELLANEOUS ACCOUNTS RECEIVABLE – THIRD PARTIES","CUENTAS POR COBRAR DIVERSAS – TERCEROS"
"group17","17","MISCELLANEOUS ACCOUNTS RECEIVABLE – ASSOCIATED","CUENTAS POR COBRAR DIVERSAS – RELACIONADAS"
"group18","18","SERVICES AND OTHER CONTRACTED IN ADVANCE","SERVICIOS Y OTROS CONTRATADOS POR ANTICIPADO"
"group19","19","ESTIMATION OF DOUBTFUL ACCOUNTS","ESTIMACIÓN DE CUENTAS DE COBRANZA DUDOSA"
"group20","20","MERCHANDISE","MERCADERÍAS"
"group21","21","FINISHED PRODUCTS","PRODUCTOS TERMINADOS"
"group22","22","BY-PRODUCTS, WASTE AND WASTE","SUBPRODUCTOS, DESECHOS Y DESPERDICIOS"
"group23","23","PRODUCTS IN PROCESS","PRODUCTOS EN PROCESO"
"group24","24","RAW MATERIALS","MATERIAS PRIMAS"
"group25","25","AUXILIARY MATERIALS, SUPPLIES AND SPARE PARTS","MATERIALES AUXILIARES, SUMINISTROS Y REPUESTOS"
"group26","26","CONTAINERS AND PACKAGING","ENVASES Y EMBALAJES"
"group27","27","NON-CURRENT ASSETS HELD FOR SALE","ACTIVOS NO CORRIENTES MANTENIDOS PARA LA VENTA"
"group28","28","INVENTORIES TO RECEIVE","INVENTARIOS POR RECIBIR"
"group29","29","DEVALUATION OF INVENTORIES","DESVALORIZACIÓN DE INVENTARIOS"
"group30","30","PROPERTY INVESTMENTS","INVERSIONES MOBILIARIAS"
"group31","31","INVESTMENT PROPERTIES","PROPIEDADES DE INVERSIÓN"
"group32","32","ASSETS BY RIGHT OF USE","ACTIVOS POR DERECHO DE USO"
"group33","33","PROPERTY, PLANT AND EQUIPMENT","PROPIEDAD, PLANTA Y EQUIPO"
"group34","34","INTANGIBLES","INTANGIBLES"
"group35","35","BIOLOGICAL ASSETS","ACTIVOS BIOLÓGICOS"
"group36","36","DEVALUATION OF FIXED ASSETS","DESVALORIZACIÓN DE ACTIVO INMOVILIZADO"
"group37","37","DEFERRED ASSETS","ACTIVO DIFERIDO"
"group38","38","OTHER ASSETS","OTROS ACTIVOS"
"group39","39","ACCUMULATED DEPRECIATION AND AMORTIZATION","DEPRECIACIÓN y AMORTIZACIÓN ACUMULADOS"
"group40","40","TAXES, CONSIDERATIONS AND CONTRIBUTIONS TO THE PUBLIC PENSION AND HEALTH SYSTEM PAYABLE","TRIBUTOS, CONTRAPRESTACIONES Y APORTES AL SISTEMA PÚBLICO DE PENSIONES Y DE SALUD POR PAGAR"
"group41","41","REMUNERATIONS AND PARTICIPATIONS PAYABLE","REMUNERACIONES Y PARTICIPACIONES POR PAGAR"
"group42","42","THIRD-PARTY TRADE ACCOUNTS PAYABLE","CUENTAS POR PAGAR COMERCIALES TERCEROS"
"group43","43","RELATED TRADE ACCOUNTS PAYABLE","CUENTAS POR PAGAR COMERCIALES RELACIONADAS"
"group44","44","ACCOUNTS PAYABLE TO SHAREHOLDERS (PARTNERS, PARTICIPANTS) AND DIRECTORS","CUENTAS POR PAGAR A LOS ACCIONISTAS (SOCIOS, PARTÍCIPES) Y DIRECTORES"
"group45","45","FINANCIAL OBLIGATIONS","OBLIGACIONES FINANCIERAS"
"group46","46","OTHER ACCOUNTS PAYABLE – THIRD PARTIES","CUENTAS POR PAGAR DIVERSAS – TERCEROS"
"group47","47","OTHER ACCOUNTS PAYABLE – ASSOCIATED","CUENTAS POR PAGAR DIVERSAS – RELACIONADAS"
"group48","48","PROVISIONS","PROVISIONES"
"group49","49","DEFERRED LIABILITIES","PASIVO DIFERIDO"
"group50","50","CAPITAL","CAPITAL"
"group51","51","INVESTMENT STOCKS","ACCIONES DE INVERSIÓN"
"group52","52","ADDITIONAL CAPITAL","CAPITAL ADICIONAL"
"group56","56","UNREALIZED RESULTS","RESULTADOS NO REALIZADOS"
"group57","57","REVALUATION SURPLUS","EXCEDENTE DE REVALUACIÓN"
"group58","58","RESERVES","RESERVAS"
"group59","59","ACUMULATED RESULTS","RESULTADOS ACUMULADOS"
"group60","60","PURCHASES","COMPRAS"
"group61","61","VARIATION IN INVENTORIES","VARIACIÓN DE INVENTARIOS"
"group62","62","STAFF AND DIRECTORS EXPENSES","GASTOS DE PERSONAL Y DIRECTORES"
"group63","63","EXPENSES FOR SERVICES RENDERED BY THIRD PARTIES","GASTOS DE SERVICIOS PRESTADOS POR TERCEROS"
"group64","64","TAX EXPENSES","GASTOS POR TRIBUTOS"
"group65","65","OTHER MANAGEMENT EXPENSES","OTROS GASTOS DE GESTION"
"group66","66","LOSS DUE TO MEASUREMENT OF NON-FINANCIAL ASSETS AT FAIR VALUE","PERDIDA POR MEDICIÓN DE ACTIVOS NO FINANCIEROS AL VALOR RAZONABLE"
"group67","67","FINANCIAL EXPENSES","GASTOS FINANCIEROS"
"group68","68","VALUATION AND IMPAIRMENT OF ASSETS AND PROVISIONS","VALUACIÓN Y DETERIORO DE ACTIVOS Y PROVISIONES"
"group69","69","SALES COST","COSTO DE VENTAS"
"group70","70","SALES","VENTAS"
"group71","71","VARIATION IN STORED PRODUCTION","VARIACIÓN DE LA PRODUCCIÓN ALMACENADA"
"group72","72","PRODUCTION OF FIXED ASSETS","PRODUCCIÓN DE ACTIVO INMOVILIZADO"
"group73","73","DISCOUNTS, REBATES AND BONUSES OBTAINED","DESCUENTOS, REBAJAS Y BONIFICACIONES OBTENIDOS"
"group74","74","DISCOUNTS, DISCOUNTS AND BONUSES GRANTED","DESCUENTOS, REBAJAS y BONIFICACIONES CONCEDIDOS"
"group75","75","OTHER MANAGEMENT INCOME","OTROS INGRESOS DE GESTIÓN"
"group76","76","PROFIT FROM MEASUREMENT OF NON-FINANCIAL ASSETS AT FAIR VALUE","GANANCIA POR MEDICIÓN DE ACTIVOS NO FINANCIEROS AL VALOR RAZONABLE"
"group77","77","FINANCIAL INCOME","INGRESOS FINANCIEROS"
"group78","78","CHARGES COVERED BY PROVISIONS","CARGAS CUBIERTAS POR PROVISIONES"
"group79","79","CHARGES ATTRIBUTABLE TO COST AND EXPENSE ACCOUNTS","CARGAS IMPUTABLES A CUENTAS DE COSTOS Y GASTOS"
"group80","80","COMMERCIAL MARGIN","MARGEN COMERCIAL"
"group81","81","PRODUCTION OF THE YEAR","PRODUCCIÓN DEL EJERCICIO"
"group82","82","VALUE ADDED","VALOR AGREGADO"
"group83","83","GROSS SURPLUS (GROSS LACK) FROM OPERATING","EXCEDENTE BRUTO (INSUFICIENCIA BRUTA) DE EXPLOTACIÓN"
"group84","84","RESULT OF EXPLOITATION","RESULTADO DE EXPLOTACIÓN"
"group85","85","RESULT BEFORE PARTICIPATIONS AND TAXES","RESULTADO ANTES DE PARTICIPACIONES E IMPUESTOS"
"group88","88","INCOME TAX","IMPUESTO A LA RENTA"
"group89","89","DETERMINATION OF THE RESULT OF THE YEAR","DETERMINACIÓN DEL RESULTADO DEL EJERCICIO"
