"id","name","description","invoice_label","l10n_pe_edi_tax_code","l10n_pe_edi_unece_category","amount","type_tax_use","sequence","include_base_amount","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@es","description@es","children_tax_ids","amount_type","fiscal_position_ids","original_tax_ids"
"sale_tax_igv_18","VAT 18%","VAT 18% Sale","IGV 18%","1000","S","18","sale","1","1","tax_group_igv","base","invoice","","","IGV 18%","IGV 18% Venta","","","local_peru",""
"","","","","","","","","","","","tax","invoice","chart40111","","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","","","tax","refund","chart40111","","","","","","",""
"sale_tax_withholding_3","3% IGV Withholding","3% IGV Withholding","3% Retención IGV","","","-3","sale","1","1","tax_group_igv_withholding","base","invoice","","","3% Retención IGV","3% Retención IGV","","","local_peru",""
"","","","","","","","","","","","tax","invoice","chart40114","","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","","","tax","refund","chart40114","","","","","","",""
"sale_tax_exo","0% Exo","0% Exonerated Sale","EXO 0%","9997","E","0","sale","1","","tax_group_exo","base","invoice","","","0% Exo","0% Exonerado","","","local_peru",""
"","","","","","","","","","","","tax","invoice","chart40111","","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","","","tax","refund","chart40111","","","","","","",""
"sale_tax_ina","0% Ina","0% Unaffected Sale","INA 0%","9998","Z","0","sale","1","","tax_group_ina","base","invoice","","","0% Ina","0% Inafectado","","","local_peru",""
"","","","","","","","","","","","tax","invoice","chart40111","","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","","","tax","refund","chart40111","","","","","","",""
"sale_tax_gra","0% Gra","0% Free Sale","GRA 0%","9996","E","0","sale","1","","tax_group_gra","base","invoice","","","0% Gra","0% Gratis","","","local_peru",""
"","","","","","","","","","","","tax","invoice","chart40111","","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","","","tax","refund","chart40111","","","","","","",""
