"id","name","code","account_type","tag_ids","reconcile","non_trade","name@fr","description","description@fr","tax_ids","active","asset_model_ids"
"pcg_1011","Subscribed capital - uncalled","101100","equity","","False","","Capital souscrit - non appelé","","","","True",""
"pcg_1012","Subscribed capital - called up, unpaid","101200","equity","","False","","Capital souscrit - appelé non versé","","","","True",""
"pcg_1013","Subscribed capital - called up, paid","101300","equity","","False","","Capital souscrit appelé, versé","","","","True",""
"pcg_10131","Capital not written off","101310","equity","","False","","Capital non amorti","","","","True",""
"pcg_10132","Capital written off","101320","equity","","False","","Capital amorti","","","","True",""
"pcg_1018","Subscribed capital subject to particular regulations","101800","equity","","False","","Capital souscrit soumis à des réglementations particulières","","","","True",""
"pcg_102","Trust funds","102000","equity","","False","","Fonds fiduciaires","","","","True",""
"pcg_1041","Share premiums","104100","equity","","False","","Primes d'émission","","","","True",""
"pcg_1042","Merger premiums","104200","equity","","False","","Primes de fusion","","","","True",""
"pcg_1043","Contribution premiums","104300","equity","","False","","Primes d'apport","","","","True",""
"pcg_1044","Premiums on conversion of bonds into shares","104400","equity","","False","","Primes de conversion d'obligations en actions","","","","True",""
"pcg_1045","Equity warrants","104500","equity","","False","","Bons de souscription d'actions","","","","True",""
"pcg_105_account","Revaluation differences","105000","equity","","False","","Ecarts de réévaluation","","","","True",""
"pcg_1061","Legal reserve","106100","equity","","False","","Réserve légale","","","","True",""
"pcg_1062","Undistributable reserves","106200","equity","","False","","Réserves indisponibles","","","","True",""
"pcg_1063","Statutory or contractual reserves","106300","equity","","False","","Réserves statutaires ou contractuelles","","","","True",""
"pcg_1064","Tax-regulated reserves","106400","equity","","False","","Réserves réglementées","","","","True",""
"pcg_1068","Other reserves","106800","equity","","False","","Autres réserves","","","","True",""
"pcg_107","Difference on equity accounted investments","107000","equity","","False","","Écarts d'équivalence","","","","True",""
"pcg_108","Drawings account","108000","equity","","False","","Compte de l'exploitant","","","","True",""
"pcg_109","Shareholders: Subscribed capital uncalled","109000","equity","","False","","Actionnaires : capital souscrit - non appelé","","","","True",""
"pcg_110","Profit carried forward","110000","equity","","False","","Report à nouveau (solde créditeur)","","","","True",""
"pcg_119","Loss carried forward","119000","equity","","False","","Report à nouveau (solde débiteur)","","","","True",""
"pcg_120","Profit for the financial year","120000","equity","","False","","Résultat de l'exercice (bénéfice)","","","","True",""
"pcg_1209","Withholding tax on dividends","120900","equity","","False","","Accomptes sur les dividendes","","","","True",""
"pcg_129","Loss for the financial year","129000","equity","","False","","Résultat de l'exercice (perte)","","","","True",""
"pcg_131_account","Equipment grants","131000","equity","","False","","Subventions d'équipement","","","","True",""
"pcg_139_account","Investment grants recognised in the income statement","139000","equity","","False","","Subventions d'investissement inscrites au compte de résultat","","","","True",""
"pcg_14_account","Regulated provisions","140000","liability_non_current","","False","","Provisions réglementées","","","","True",""
"pcg_143_account","Regulated provisions for inventories - Price increases","143000","liability_non_current","","False","","Provisions réglementées relatives aux stocks - Hausse de prix","","","","True",""
"pcg_145","Depreciation by derogation","145000","liability_non_current","","False","","Amortissements dérogatoires","","","","True",""
"pcg_148","Other tax-regulated provisions","148000","liability_non_current","","False","","Autres provisions réglementées","","","","True",""
"pcg_1511","Provisions for litigation","151100","liability_non_current","","False","","Provisions pour litiges","","","","True",""
"pcg_1512","Provisions for customer warranties","151200","liability_non_current","","False","","Provisions pour garanties données aux clients","","","","True",""
"pcg_1514","Provisions for fines and penalties","151400","liability_non_current","","False","","Provisions pour amendes et pénalités","","","","True",""
"pcg_1515","Provisions for foreign exchange losses","151500","liability_non_current","","False","","Provisions pour pertes de change","","","","True",""
"pcg_1516","Provisions for losses on contracts","151600","liability_non_current","","False","","Provisions pour pertes sur contrats","","","","True",""
"pcg_1518","Other provisions for liabilities","151800","liability_non_current","","False","","Autres provisions pour risques","","","","True",""
"pcg_1521_account","Provisions for pensions and similar obligations","152100","liability_non_current","","False","","Provisions pour pensions et obligations similaires","","","","True",""
"pcg_1522_account","Provisions for restructuring","152200","liability_non_current","","False","","Provisions pour restructurations","","","","True",""
"pcg_1523_account","Provisions for taxation","152300","liability_non_current","","False","","Provisions pour impôts","","","","True",""
"pcg_1524_account","Provisions for fixed asset renewal - concession entities","152400","liability_non_current","","False","","Provisions pour renouvellement des immobilisations - entreprises concessionnaires","","","","True",""
"pcg_1525_account","Provisions for major maintenance and repairs","152500","liability_non_current","","False","","Provisions pour gros entretien ou grandes révisions","","","","True",""
"pcg_1526_account","Provisions for repairs","152600","liability_non_current","","False","","Provisions pour remises en état","","","","True",""
"pcg_1527_account","Other provisions for charges","152700","liability_non_current","","False","","Autres provisions pour charges","","","","True",""
"pcg_161","Convertible debenture loans","161000","liability_non_current","","False","","Emprunts obligataires convertibles","","","","True",""
"pcg_1618","Accrued interest on convertible bonds","161800","liability_non_current","","False","","Intérêts courus sur emprunts obligataires convertibles","","","","True",""
"pcg_162","Bonds representing net liabilities given in trust","162000","liability_non_current","","False","","Obligations représentatives de passifs nets remis en fiducie","","","","True",""
"pcg_163","Other debenture loans","163000","liability_non_current","","False","","Autres emprunts obligataires","","","","True",""
"pcg_1638","Accrued interest on other bonds","163800","liability_non_current","","False","","Intérêts courus sur autres emprunts obligataires","","","","True",""
"pcg_164","Loans from credit institutions","164000","liability_non_current","","False","","Emprunts auprès des établissements de crédit","","","","True",""
"pcg_1648","Accrued interest on bank loans","164800","liability_non_current","","False","","Intérêts courus sur emprunts auprès des établissements","","","","True",""
"pcg_1651","Deposits","165100","liability_non_current","","False","","Dépôts","","","","True",""
"pcg_1655","Sureties","165500","liability_non_current","","False","","Cautionnements","","","","True",""
"pcg_1658","Accrued interest on deposits and guarantees received","165800","liability_non_current","","False","","Intérêts courus sur dépôts et cautionnements reçus","","","","True",""
"pcg_1661","Employee profit sharing - Blocked accounts","166100","liability_non_current","","False","","Participation des salariés aux résultats - Comptes bloqués","","","","True",""
"pcg_1662","Employee profit sharing - Profit share funds","166200","liability_non_current","","False","","Participation des salariés aux résultats - Fonds de participation","","","","True",""
"pcg_1668","Accrued interest on employee profit-sharing","166800","liability_non_current","","False","","Intérêts courus sur participation des salariés aux résultats","","","","True",""
"pcg_1671","Loans and debts with special conditions - Issues of non-voting shares","167100","liability_non_current","","False","","Emprunts et dettes assortis de conditions particulières - Emissions de titres participatifs","","","","True",""
"pcg_16718","Accrued interest on redeemable shares","167180","liability_non_current","","False","","Intérêts courus sur titres participatifs","","","","True",""
"pcg_1674","Loans and debts with special conditions - Advances by the state subject to conditions","167400","liability_non_current","","False","","Emprunts et dettes assortis de conditions particulières - Avances conditionnées de l'État","","","","True",""
"pcg_16748","Accrued interest on conditional advances","167480","liability_non_current","","False","","Intérêts courus sur avances conditionnées","","","","True",""
"pcg_1675","Loans and debts with special conditions - Participating loans","167500","liability_non_current","","False","","Prêts participatifs","","","","True",""
"pcg_16758","Accrued interest on participating loans","167580","liability_non_current","","False","","Intérêts courus sur emprunts participatifs","","","","True",""
"pcg_1681","Other loans and similar debts payable - Other loans","168100","liability_non_current","","False","","Autres emprunts et dettes assimilées - Autres emprunts","","","","True",""
