"id","sequence","name","auto_apply","vat_required","country_id","country_group_id","name@fr","active"
"fiscal_position_template_domestic","10","Domestic - France and Monaco and Drom","1","","","l10n_fr.fr_and_mc_and_drom","Domestique - France et Monaco et Drom","True"
"fiscal_position_template_domestic_mc","20","Domestic - Monaco","1","","base.mc","","Domestique - Monaco","False"
"fiscal_position_template_domestic_gf","21","Domestic - Guyana","1","","base.gf","","Domestique - Guyane","False"
"fiscal_position_template_domestic_gp","22","Domestic - Guadeloupe","1","","base.gp","","Domestique - Guadeloupe","False"
"fiscal_position_template_domestic_mq","23","Domestic - Martinique","1","","base.mq","","Domestique - Martinique","False"
"fiscal_position_template_domestic_re","24","Domestic - Reunion","1","","base.re","","Domestique - Réunion","False"
"fiscal_position_template_domestic_yt","25","Domestic - Mayotte","1","","base.yt","","Domestique - Mayotte","False"
"fiscal_position_template_intraeub2c","40","EU private","1","","","l10n_fr_account.europe_vat_without_mc","EU privé","True"
"fiscal_position_template_intraeub2b","30","Intra-EU B2B","1","1","","l10n_fr_account.europe_vat_without_mc","Intra-EU B2B","True"
"fiscal_position_template_import_export","50","Import/Export Outside Europe + DOM-TOM","1","","","","Import/Export Hors Europe + DOM-TOM","True"
