"id","name","code","account_type","tag_ids","reconcile","non_trade","name@fr"
"pcg_1013","Subscribed capital - called up, paid","101300","equity","","False","","Capital souscrit appelé, versé"
"pcg_102","Trust funds","102000","equity","","False","","Fonds fiduciaires"
"pcg_105_account","Revaluation differences","105000","equity","","False","","Ecarts de réévaluation"
"pcg_1064","Tax-regulated reserves","106400","equity","","False","","Réserves réglementées"
"pcg_1068","Other reserves","106800","equity","","False","","Autres réserves"
"pcg_108","Drawings account","108000","equity","","False","","Compte de l'exploitant"
"pcg_1209","Withholding tax on dividends","120900","equity","","False","","Accomptes sur les dividendes"
"pcg_131_account","Equipment grants","131000","equity","","False","","Subventions d'équipement"
"pcg_139_account","Investment grants recognised in the income statement","139000","equity","","False","","Subventions d'investissement inscrites au compte de résultat"
"pcg_14_account","Regulated provisions","140000","liability_non_current","","False","","Provisions réglementées"
"pcg_143_account","Regulated provisions for inventories - Price increases","143000","liability_non_current","","False","","Provisions réglementées relatives aux stocks - Hausse de prix"
"pcg_1521_account","Provisions for pensions and similar obligations","152100","liability_non_current","","False","","Provisions pour pensions et obligations similaires"
"pcg_1522_account","Provisions for restructuring","152200","liability_non_current","","False","","Provisions pour restructurations"
"pcg_1523_account","Provisions for taxation","152300","liability_non_current","","False","","Provisions pour impôts"
"pcg_1524_account","Provisions for fixed asset renewal - concession entities","152400","liability_non_current","","False","","Provisions pour renouvellement des immobilisations - entreprises concessionnaires"
"pcg_1525_account","Provisions for major maintenance and repairs","152500","liability_non_current","","False","","Provisions pour gros entretien ou grandes révisions"
"pcg_1526_account","Provisions for repairs","152600","liability_non_current","","False","","Provisions pour remises en état"
"pcg_1527_account","Other provisions for charges","152700","liability_non_current","","False","","Autres provisions pour charges"
"pcg_1618","Accrued interest on convertible bonds","161800","liability_non_current","","False","","Intérêts courus sur emprunts obligataires convertibles"
"pcg_163","Other debenture loans","163000","liability_non_current","","False","","Autres emprunts obligataires"
"pcg_1638","Accrued interest on other bonds","163800","liability_non_current","","False","","Intérêts courus sur autres emprunts obligataires"
"pcg_1648","Accrued interest on bank loans","164800","liability_non_current","","False","","Intérêts courus sur emprunts auprès des établissements"
"pcg_1658","Accrued interest on deposits and guarantees received","165800","liability_non_current","","False","","Intérêts courus sur dépôts et cautionnements reçus"
"pcg_1668","Accrued interest on employee profit-sharing","166800","liability_non_current","","False","","Intérêts courus sur participation des salariés aux résultats"
"pcg_16718","Accrued interest on redeemable shares","167180","liability_non_current","","False","","Intérêts courus sur titres participatifs"
"pcg_16748","Accrued interest on conditional advances","167480","liability_non_current","","False","","Intérêts courus sur avances conditionnées"
"pcg_16758","Accrued interest on participating loans","167580","liability_non_current","","False","","Intérêts courus sur emprunts participatifs"
"pcg_178_account","Debts payable related to joint ventures","178000","liability_non_current","","False","","Dettes rattachées à des sociétés en participation"
"pcg_2011","Incorporation costs","201100","asset_fixed","","False","","Frais de constitution"
"pcg_2012","Start-up costs","201200","asset_fixed","","False","","Frais de premier établissement"
"pcg_20121","Commercial assessment costs","201210","asset_fixed","","False","","Frais de prospection"
"pcg_20122","Marketing costs","201220","asset_fixed","","False","","Frais de publicité"
"pcg_2013","Capital increase and sundry transaction costs (mergers, demergers, restructurations)","201300","asset_fixed","","False","","Frais d'augmentation de capital et d'opérations diverses (fusions, scissions, transformations)"
"pcg_203","Research and development costs","203000","asset_fixed","","False","","Frais de recherche et de développement"
"pcg_205","Concessions and similar rights, patents, licences, trade marks, processes, software, rights and similar assets","205000","asset_fixed","","False","","Concessions et droits similaires, brevets, licences, marques, procédés, logiciels, droits et valeurs similaires"
"pcg_206","Lease premium","206000","asset_fixed","","False","","Droit au bail"
"pcg_207","Goodwill","207000","asset_fixed","","False","","Fonds commercial"
"pcg_2111","Undeveloped land","211100","asset_fixed","","False","","Terrains nus"
"pcg_2112","Serviced land","211200","asset_fixed","","False","","Terrains aménagés"
"pcg_2113","Basements and sub-basements","211300","asset_fixed","","False","","Sous-sols et sur-sols"
"pcg_212","Site development (same allocation as for Account 211)","212000","asset_fixed","","False","","Agencements et aménagements de terrains (même ventilation que celle du compte 211)"
"pcg_2135","Building fixtures and fittings (same allocation as for Account 2131)","213500","asset_fixed","","False","","Installations générales, agencements, aménagements des constructions (même ventilation que celle du compte 2131)"
"pcg_2138_account","Infrastructure works","213800","asset_fixed","","False","","Ouvrages d'infrastructure"
"pcg_214","Constructions on third-party sites (same allocation as for Account 213)","214000","asset_fixed","","False","","Constructions sur sol d'autrui (même ventilation que celle du compte 213)"
"pcg_21511","Specialised complex installations on own site","215110","asset_fixed","","False","","Installations complexes spécialisées sur sol propre"
"pcg_21514","Specialised complex installations on third-party site","215140","asset_fixed","","False","","Installations complexes spécialisées sur sol d'autrui"
"pcg_21531","Installations of specific nature on own site","215310","asset_fixed","","False","","Installations à caractère spécifique sur sol propre"
"pcg_21534","Installations of specific nature on third-party site","215340","asset_fixed","","False","","Installations à caractère spécifique sur sol d'autrui"
"pcg_2154","Plant and machinery","215400","asset_fixed","","False","","Matériels industriels"
"pcg_2155","Equipment and fixtures","215500","asset_fixed","","False","","Outillage industriel"
"pcg_2157","Fixtures and fittings for plant and machinery, equipment and fixtures","215700","asset_fixed","","False","","Agencements et aménagements des matériels et outillage industriels"
"pcg_2181","Sundry general fixtures and fittings","218100","asset_fixed","","False","","Installations générales agencements aménagements divers"
"pcg_2182","Transport equipment","218200","asset_fixed","","False","","Matériel de transport"
"pcg_2183","Office and computing equipment","218300","asset_fixed","","False","","Matériel de bureau et matériel informatique"
"pcg_2184","Furnishings","218400","asset_fixed","","False","","Mobilier"
"pcg_2185","Livestock","218500","asset_fixed","","False","","Cheptel"
"pcg_2186","Recoverable packaging","218600","asset_fixed","","False","","Emballages récupérables"
"pcg_231_account","Property, plant and equipment in progress","231000","asset_fixed","","False","","Immobilisations corporelles en cours"
"pcg_238_account","Payments on account on orders for tangible fixed assets","238000","asset_fixed","","False","","Avances et acomptes versés sur commandes d'immobilisations corporelles"
"pcg_262","Equity-valued securities","262000","asset_fixed","","False","","Titres évalués par équivalence"
"pcg_2671","Debts receivable related to participating interests - group","267100","asset_fixed","","False","","Créances rattachées à des participations - groupe"
"pcg_2674","Debts receivable related to participating interests - apart from group","267400","asset_fixed","","False","","Créances rattachées à des participations - hors groupe"
"pcg_2675","Payments representing non-capitalised contributions - call for funds","267500","asset_fixed","","False","","Versements représentatifs d'apports non capitalisés - appel de fonds"
"pcg_2711","Shares","271100","asset_fixed","","False","","Actions"
"pcg_2718","Other securities","271800","asset_fixed","","False","","Autres titres"
"pcg_2721","Bonds","272100","asset_fixed","","False","","Obligations"
"pcg_2722","Warrants","272200","asset_fixed","","False","","Bons"
"pcg_2742","Loans to partners/associates","274200","asset_fixed","","True","","Prêts aux associés"
"pcg_2761","Sundry debts receivable","276100","asset_fixed","","False","","Créances diverses"
"pcg_27682","Accrued interest on long-term investment debt securities","276820","asset_fixed","","False","","Intérêts courus sur titres immobilisés (droits de créance)"
"pcg_27684","Accrued interest on loans","276840","asset_fixed","","False","","Intérêts courus sur prêts"
"pcg_27685","Accrued interest on deposits and sureties","276850","asset_fixed","","False","","Intérêts courus sur dépôts et cautionnements"
"pcg_27688","Accrued interest on sundry debts receivable","276880","asset_fixed","","False","","Intérêts courus sur créances diverses"
"pcg_2801","Establishment costs (same allocation as for Account 201)","280100","asset_fixed","","False","","Frais d'établissement (même ventilation que celle du compte 201)"
"pcg_2803","Research and development costs","280300","asset_fixed","","False","","Frais de recherche et de développement"
"pcg_2805","Concessions and similar rights, patents, licences, software, rights and similar assets","280500","asset_fixed","","False","","Concessions et droits similaires, brevets, licences, logiciels, droits et valeurs similaires"
"pcg_2806","Tenancy law","280600","asset_fixed","","False","","Droit du bail"
"pcg_2807","Goodwill","280700","asset_fixed","","False","","Fonds commercial"
"pcg_2812","Site development (same allocation as for Account 212)","281200","asset_fixed","","False","","Agencements aménagements de terrains (même ventilation que celle du compte 212)"
"pcg_2813","Constructions (same allocation as for Account 213)","281300","asset_fixed","","False","","Constructions (même ventilation que celle du compte 213)"
"pcg_2814","Constructions on third-party site (same allocation as for Account 214)","281400","asset_fixed","","False","","Constructions sur sol d'autrui (même ventilation que celle du compte 214)"
"pcg_2815","Installations matériel et outillage industriels (même ventilation que celle du compte 215)","281500","asset_fixed","","False","","Installations matériel et outillage industriels (même ventilation que celle du compte 215)"
"pcg_2901","Establishment costs","290100","asset_fixed","","False","","Frais d’établissement"
"pcg_2903","Development costs","290300","asset_fixed","","False","","Frais de développement"
"pcg_2905","Trade marks, processes, rights and similar assets","290500","asset_fixed","","False","","Marques, procédés, droits et valeurs similaires"
"pcg_2906","Lease premium","290600","asset_fixed","","False","","Droit au bail"
"pcg_2907","Goodwill","290700","asset_fixed","","False","","Fonds commercial"
"pcg_2962","Equity-valued securities","296200","asset_fixed","","False","","Titres évalués par équivalence"
"pcg_31_account","Raw materials and supplies","310000","asset_current","","False","","Matières premières et fournitures"
"pcg_321_account","Consumable materials","321000","asset_current","","False","","Matières consommables"
"pcg_331_account","Products in progress","331000","asset_current","","False","","Produits en cours"
"pcg_335_account","Works in progress","335000","asset_current","","False","","Travaux en cours"
"pcg_341_account","Project studies in progress","341000","asset_current","","False","","Études en cours"
"pcg_345_account","Supply of services in progress","34000","asset_current","","False","","Prestations de services en cours"
"pcg_351_account","Semi-finished products","351000","asset_current","","False","","Produits intermédiaires"
"pcg_355_account","Finished products","355000","asset_current","","False","","Ventes de produits finis"
"pcg_3581","Waste","358100","asset_current","","False","","Déchets"
"pcg_3585","Refuse","358500","asset_current","","False","","Rebuts"
"pcg_3586","Recoverable materials","358600","asset_current","","False","","Matières de récupération"
"pcg_37_account","Stocks of goods","370000","asset_current","","False","","Stocks de marchandises"
"pcg_391_account","Provisions for diminution in value of raw materials and supplies","391000","asset_current","","False","","Dépréciations des matières premières et fournitures"
"pcg_392_account","Provisions for diminution in value of other consumables","392000","asset_current","","False","","Dépréciations des autres approvisionnements"
