"id","code_prefix_start","name","name@fr"
"pcg_10","10","Capital and reserves","Capital et réserves"
"pcg_101","101","Capital","Capital"
"pcg_104","104","Premiums on share capital","Primes liées au capital social"
"pcg_106","106","Reserves","Réserves"
"pcg_11","11","Retained earnings","Report à nouveau"
"pcg_12","12","Result for the year","Résultat de l'exercice"
"pcg_13","13","Investment grants","Subventions d'investissement"
"pcg_15","15","Provisions","Provisions"
"pcg_151","151","Provisions for risks","Provisions pour risques"
"pcg_158","158","Other provisions for charges","Autres provisions pour charges"
"pcg_16","16","Loans and similar debts payable","Emprunts et dettes assimilées"
"pcg_165","165","Deposits and sureties received","Dépôts et cautionnements reçus"
"pcg_166","166","Employee profit share","Participation des salariés aux résultats"
"pcg_167","167","Loans and debts payable subject to particular conditions","Emprunts et dettes assortis de conditions particulières"
"pcg_168","168","Other loans and similar debts payable","Autres emprunts et dettes assimilées"
"pcg_17","17","Debts payable related to participating interests","Dettes rattachées à des participations"
"pcg_18","18","Reciprocal branch and joint venture accounts","Comptes de liaison des établissements et sociétés en participation"
"pcg_20","20","Intangible fixed assets","Frais d'établissement"
"pcg_201","201","Intangible fixed assets","Frais d'établissement"
"pcg_21","21","Tangible fixed assets","Immobilisations corporelles"
"pcg_211","211","Land","Terrains"
"pcg_213","213","Constructions","Constructions"
"pcg_215","215","Technical installations, plant and machinery, equipment and fixtures","Installations techniques, matériels et outillage industriels"
"pcg_2151","2151","Specialised complex installations","Installations complexes spécialisées"
"pcg_2153","2153","Installations of specific nature","Installations à caractère spécifique"
"pcg_218","218","Other tangible fixed assets","Autres immobilisations corporelles"
"pcg_23","23","Fixed assets in progress","Immobilisations en cours"
"pcg_26","26","Participating interests and related debts receivable","Participations et créances rattachées à des participations"
"pcg_261","261","Long-term equity interests","Titres de participation"
"pcg_267","267","Debts receivable related to participating interests","Créances rattachées à des participations"
"pcg_268","268","Debts receivable related to joint ventures","Créances rattachées à des sociétés en participation"
"pcg_27","27","Other financial fixed asset","Autres immobilisations financières"
"pcg_271","271","Long-term investment equity securities other than portfolio long-term investment equity securities","Titres de participation d'investissement à long terme autres que les titres de participation d'investissement à long terme du portefeuille"
"pcg_272","272","Long-term investment debt securities","Titres immobilisés (droit de créance)"
"pcg_274","274","Loans","Prêts"
"pcg_275","275","Deposits and sureties advanced","Dépôts et cautionnements versés"
"pcg_276","276","Other capitalised debts receivable","Autres créances immobilisées"
"pcg_2768","2768","Accrued interest","Intérêts courus"
"pcg_277","277","(Own shares)","(Actions propres ou parts propres)"
"pcg_28","28","Cumulative depreciation on fixed assets","Amortissements des immobilisations incorporelles"
"pcg_281","281","Depreciation on tangible fixed assets","Amortissements des immobilisations corporelles"
"pcg_29","29","Provisions for diminution in value of fixed assets","Dépréciations des immobilisations incorporelles"
"pcg_291","291","Provisions for diminution in value of tangible fixed assets (same allocation as for Account 21)","Provisions pour dépréciation des immobilisations corporelles (même affectation que pour le compte 21)"
"pcg_293","293","Provisions for diminution in value of fixed assets in progress","Dépréciations des immobilisations en cours"
"pcg_296","296","Impairment of participating interests and receivables from participating interests","Dépréciations des participations et créances rattachées à des participations"
"pcg_297","297","Provisions for diminution in value of other financial fixed assets","Dépréciations des autres immobilisations financières"
"pcg_32","32","Other consumables","Autres approvisionnements"
"pcg_322","322","Consumable supplies","Fournitures consommables"
"pcg_326","326","Packaging","Emballages"
"pcg_33","33","Work in progress (goods)","En cours de production de biens"
"pcg_34","34","Work in progress (services)","En cours de production de services"
"pcg_35","35","Product stocks","Stocks de produits"
"pcg_358","358","Residual products (or recoverable materials)","Produits résiduels (ou matières de récupération)"
"pcg_39","39","Provisions for diminution in value of stocks and work in progress","Dépréciations des stocks et en cours"
"pcg_40","40","Suppliers and related accounts","Fournisseurs et comptes rattachés"
"pcg_401","401","Suppliers","Fournisseurs"
"pcg_404","404","Fixed asset suppliers","Fournisseurs d'immobilisations"
"pcg_408","408","Suppliers - Invoices outstanding","Fournisseurs factures non parvenues"
"pcg_409","409","Suppliers in debit","Fournisseurs débiteurs"
"pcg_4097","4097","Suppliers - Other debits","Fournisseurs autres avoirs"
"pcg_411","411","Customers","Clients"
"pcg_416_group","416","Doubtful customers","Clients douteux"
"pcg_418","418","Customers - Charges not yet invoiced","Clients produits non encore facturés"
"pcg_419","419","Customers in credit","Clients créditeurs"
"pcg_42","42","Personnel and related accounts","Personnel et comptes rattachés"
"pcg_424","424","Employee profit share","Participation des salariés aux résultats"
"pcg_428","428","Personnel - Accrued charges payable and income receivable","Personnel charges à payer et produits à recevoir"
"pcg_43","43","Social security and other social agencies","Sécurité sociale et autres organismes sociaux"
"pcg_438","438","Social agencies - Accrued charges payable and income receivable","Organismes sociaux - charges à payer et produits à recevoir"
"pcg_44","44","State and other public authorities","État et autres collectivités publiques"
"pcg_442","442","State - Taxes and levies recoverable from third parties","Etat impots et taxes recouvrables sur des tiers"
"pcg_445","445","State - Turnover tax","Etat taxes sur le chiffres d'affaires"
"pcg_4455","4455","Turnover tax payable","Taxes sur le chiffre d'affaires à décaisser"
"pcg_4456","4456","Turnover tax deductible","Taxes sur le chiffre d'affaires déductibles"
"pcg_4457","4457","Turnover tax collected by the entity","Taxes sur le chiffre d'affaires collectées par l'entreprise"
"pcg_448","448","State - Accrued charges payable and income receivable","Etat charges à payer et produits à recevoir"
"pcg_45","45","Group and partners/associates","Groupe et associés"
"pcg_455","455","Partners/associates - Current accounts","Associés comptes courants"
