id,description,chart_template_id/id,name,amount,amount_type,type_tax_use,sequence,account_id/id,refund_account_id/id,tag_ids/id,"children_tax_ids/id"
rrif_pdv_25,PDV 25%,l10n_hr_chart_template_rrif,25% PDV,25,percent,sale,10,kp_rrif24003,kp_rrif24003,tax_tag_12,
rrif_pdv_25usl,PDV 25% Usluge,l10n_hr_chart_template_rrif,25% PDV usluge,25,percent,sale,100,kp_rrif24003,kp_rrif24003,tax_tag_15,
rrif_pdv_10,PDV 10%,l10n_hr_chart_template_rrif,10% PDV,10,percent,sale,100,kp_rrif24000,kp_rrif24000,tax_tag_09,
rrif_pdv_0,PDV  0%,l10n_hr_chart_template_rrif,0% PDV,0,percent,sale,100,kp_rrif4199,kp_rrif4199,tax_tag_08,
rrif_pdv_avans_25,PDV za predujam 25%,l10n_hr_chart_template_rrif,25% PDV (za predujam),25,percent,sale,100,kp_rrif24013,kp_rrif24013,tax_tag_13,
rrif_pdv_avans_10,PDV za predujam 10%,l10n_hr_chart_template_rrif,10% PDV (za predujam),10,percent,sale,100,kp_rrif24010,kp_rrif24010,tax_tag_10,
rrif_pdv_avans_0,PDV za predujam 0%,l10n_hr_chart_template_rrif,0% PDV (za predujam),0,percent,sale,100,kp_rrif4199,kp_rrif4199,tax_tag_06,
rrif_pdv_nezar_isp_25,PDV po nezaračunanim isporukama 25%,l10n_hr_chart_template_rrif,25% PDV za nezaračunane isp.,25,percent,sale,100,kp_rrif24033,kp_rrif24033,tax_tag_14,
rrif_pdv_nezar_isp_10,PDV po nezaračunanim isporukama 10%,l10n_hr_chart_template_rrif,10% PDV za nezaračunane isp.,10,percent,sale,100,kp_rrif24030,kp_rrif24030,tax_tag_11,
rrif_pdv_nezar_isp_0,PDV po nezaračunanim isporukama 0%,l10n_hr_chart_template_rrif,0% PDV za nezaračunane isp.,0,percent,sale,100,kp_rrif4199,kp_rrif4199,tax_tag_07,
rrif_pdv_nepod_0,1. KOJE NE PODLIJEŽU OPOREZIVANJU (čl. 2. u svezi s čl. 5 i čl. 8 st. 7 Zakona),l10n_hr_chart_template_rrif,0% Ne podliježe op.,0,percent,sale,100,kp_rrif4199,kp_rrif4199,tax_tag_01,
