"id","code","sign","name","parent_id:id","info"
"pdv_code_porezi",,1,"POREZI",,
"pdv_code_nepdv","NEPDV",1,"Ostali porezi, carine, trošarine i sl.","pdv_code_porezi",
"pdv_code_pdv","PDV",0,"PDV","pdv_code_porezi",
"pdv_code_pdvob","PDVOB",0,"OBRAZAC PDV","pdv_code_pdv",
"pdv_code_opdvob","oPDVOB",0,"O S N O V I C A","pdv_code_pdvob","IV. UKUPNA POREZNA OBVEZA ZA POREZNO RAZDOBLJE:ZA UPLATU (II. - III.)"
"pdv_code_o1_2","o1+2",0,"Obračun isporuka (I+II)","pdv_code_opdvob","OBRAČUN POREZA U OBAVLJENIM ISPORUKAMA DOBARA I USLUGA U OBRAČUNSKOM RAZDOBLJU ISPORUKE – UKUPNO (I. + II.)"
"pdv_code_o1","o100",1,"I. Isporuke ne podliježu / oslobođene","pdv_code_o1_2","I. ISPORUKE KOJE NE PODLIJEŽU OPOREZIVANJU, KOJE SU OSLOBOĐENE I PO STOPI OD 0% - UKUPNO (1.+2.+3.)"
"pdv_code_o11","o110",1,"I.1. Koje ne podliježu oporezivanju","pdv_code_o1","1. KOJE NE PODLIJEŽU OPOREZIVANJU (čl. 2. u svezi s čl. 5. i čl. 8. st. 7. Zakona)"
"pdv_code_o12","o120",1,"I.2. Oslobođene ukupno","pdv_code_o1","2. OSLOBOĐENE POREZA – UKUPNO (2.1.+2.2.+2.3.+2.4.)"
"pdv_code_o121","o121",1,"I.2.1. Izvozne","pdv_code_o12","2.1. IZVOZNE – s pravom na odbitak pretporeza (čl. 13. st. 1. toč. 1. i čl. 14. Zakona )"
"pdv_code_o122","o122",1,"I.2.2. Isporuke dobara","pdv_code_o12","2.2. Isporuke dobara - za koje nije bio moguć odbitak pretporeza (čl. 11.b Zakona)"
"pdv_code_o123","o123",1,"I.2.3. Tuzemne  - bez prava odbitka","pdv_code_o12","2.3. TUZEMNE – bez prava na odbitak pretporeza (čl. 11. i čl. 11.a Zakona)"
"pdv_code_o124","o124",1,"I.2.4. Ostale – s pravom odbitka","pdv_code_o12","2.4. OSTALE – s pravom na odbitak pretporeza (čl. 13. st. 1. toč. 2., čl. 13 a i čl. 13.b Zakona)"
"pdv_code_o13","o130",1,"I.3. Isporuke po stopi od 0%","pdv_code_o1","3. ISPORUKE PO STOPI OD 0% (čl. 10.a. Zakona)"
"pdv_code_o2","o200",1,"II. Oporezive isporuke","pdv_code_o1_2","II. OPOREZIVE ISPORUKE – UKUPNO (1.+2.+3.+4.)"
