"id","code_prefix_start","parent_id/id","name","chart_template_id/id"
"hr_group_0","0",,"RECEIVABLES FOR  ISSUED CAPITAL AND NON-CURRENT ASSETS","l10n_hr.l10n_hr_chart_template"
"hr_group_00","00","hr_group_0","RECEIVABLES FOR RECORDED BUT NOT PAID IN CAPITAL AND NON-CURRENT FINANCIAL ASSETS","l10n_hr.l10n_hr_chart_template"
"hr_group_000","000","hr_group_00","Receivables for recoded but not paid in capital in joint-stock company (analytics by shareholders)","l10n_hr.l10n_hr_chart_template"
"hr_group_001","001","hr_group_00","Receivables for repeated share issues for recoded but not paid capital (analytics by share issues)","l10n_hr.l10n_hr_chart_template"
"hr_group_002","002","hr_group_00","Receivables for recoded but not paid in capital in private limited company (analytics by owners)","l10n_hr.l10n_hr_chart_template"
"hr_group_003","003","hr_group_00","Receivables for stake in capital of limited partnership","l10n_hr.l10n_hr_chart_template"
"hr_group_004","004","hr_group_00","Receivables for other business stakes in capital","l10n_hr.l10n_hr_chart_template"
"hr_group_01","01","hr_group_0","INTANGIBLE ASSET","l10n_hr.l10n_hr_chart_template"
"hr_group_010","010","hr_group_01","Research and development","l10n_hr.l10n_hr_chart_template"
"hr_group_011","011","hr_group_01","Concession rights, patents, commodity and service brands","l10n_hr.l10n_hr_chart_template"
"hr_group_012","012","hr_group_01","Software and other rights","l10n_hr.l10n_hr_chart_template"
"hr_group_013","013","hr_group_01","Goodwill","l10n_hr.l10n_hr_chart_template"
"hr_group_014","014","hr_group_01","Other intangible assets","l10n_hr.l10n_hr_chart_template"
"hr_group_015","015","hr_group_01","Advance payments for purchase of intangible assets","l10n_hr.l10n_hr_chart_template"
"hr_group_016","016","hr_group_01","Cryptocurencies","l10n_hr.l10n_hr_chart_template"
"hr_group_017","017","hr_group_01","Intangible assets in preparation","l10n_hr.l10n_hr_chart_template"
"hr_group_018","018","hr_group_01","Value adjustment of intangible assets","l10n_hr.l10n_hr_chart_template"
"hr_group_019","019","hr_group_01","Accumulated depreciation of intangible assets","l10n_hr.l10n_hr_chart_template"
"hr_group_02","02","hr_group_0","LAND AND BUILDINGS","l10n_hr.l10n_hr_chart_template"
"hr_group_020","020","hr_group_02","Land","l10n_hr.l10n_hr_chart_template"
"hr_group_021","021","hr_group_02","Rights to use land","l10n_hr.l10n_hr_chart_template"
"hr_group_023","023","hr_group_02","Buildings","l10n_hr.l10n_hr_chart_template"
"hr_group_024","024","hr_group_02","Flats for employees","l10n_hr.l10n_hr_chart_template"
"hr_group_026","026","hr_group_02","Advance payments for purchase of land and buildings","l10n_hr.l10n_hr_chart_template"
"hr_group_027","027","hr_group_02","Land and buildings under construction","l10n_hr.l10n_hr_chart_template"
"hr_group_028","028","hr_group_02","Value adjustment of land and buildings","l10n_hr.l10n_hr_chart_template"
"hr_group_029","029","hr_group_02","Accumulated depreciation of buildings","l10n_hr.l10n_hr_chart_template"
"hr_group_03","03","hr_group_0","PLANT, EQUIPMENT, TOOLS AND TRANSPORTATION VEHICLES","l10n_hr.l10n_hr_chart_template"
"hr_group_030","030","hr_group_03","Plant","l10n_hr.l10n_hr_chart_template"
"hr_group_031","031","hr_group_03","Equipment","l10n_hr.l10n_hr_chart_template"
"hr_group_032","032","hr_group_03","Tools, transportation equipment and vehicle","l10n_hr.l10n_hr_chart_template"
"hr_group_033","033","hr_group_03","Not deductable VAT prepayments (for cars, purchases after 1.1.2018. )","l10n_hr.l10n_hr_chart_template"
"hr_group_034","034","hr_group_03","Agricultural equipment and machinery","l10n_hr.l10n_hr_chart_template"
"hr_group_035","035","hr_group_03","Other property, plant and equipment","l10n_hr.l10n_hr_chart_template"
"hr_group_036","036","hr_group_03","Advance payments for purchase of property, plant and equipment","l10n_hr.l10n_hr_chart_template"
"hr_group_037","037","hr_group_03","Plant and equipment under construction","l10n_hr.l10n_hr_chart_template"
"hr_group_038","038","hr_group_03","Value adjustment of plant and equipment","l10n_hr.l10n_hr_chart_template"
"hr_group_039","039","hr_group_03","Accumulated depreciation of plant and equipment","l10n_hr.l10n_hr_chart_template"
"hr_group_04","04","hr_group_0","BIOLOGICAL ASSETS","l10n_hr.l10n_hr_chart_template"
"hr_group_040","040","hr_group_04","Biological assets- growing crops","l10n_hr.l10n_hr_chart_template"
"hr_group_041","041","hr_group_04","Biological assets- live stock","l10n_hr.l10n_hr_chart_template"
"hr_group_046","046","hr_group_04","Advance payments for purchase of biological assets","l10n_hr.l10n_hr_chart_template"
"hr_group_047","047","hr_group_04","Biological assets in preparation (not put in use)","l10n_hr.l10n_hr_chart_template"
"hr_group_048","048","hr_group_04","Value adjustment of biological assets","l10n_hr.l10n_hr_chart_template"
"hr_group_049","049","hr_group_04","Accumulated depreciation of biological assets","l10n_hr.l10n_hr_chart_template"
"hr_group_05","05","hr_group_0","INVESTMENT PROPERTIES","l10n_hr.l10n_hr_chart_template"
"hr_group_050","050","hr_group_05","Investment property-land","l10n_hr.l10n_hr_chart_template"
"hr_group_051","051","hr_group_05","Investment property- buildings","l10n_hr.l10n_hr_chart_template"
"hr_group_056","056","hr_group_05","Advance payments for investment properties","l10n_hr.l10n_hr_chart_template"
"hr_group_057","057","hr_group_05","Investments property under construction","l10n_hr.l10n_hr_chart_template"
"hr_group_058","058","hr_group_05","Value adjustment of investment properties","l10n_hr.l10n_hr_chart_template"
"hr_group_059","059","hr_group_05","Accumulated depreciation of buildings","l10n_hr.l10n_hr_chart_template"
"hr_group_06","06","hr_group_0","NON-CURRENT FINANCIAL ASSETS","l10n_hr.l10n_hr_chart_template"
"hr_group_060","060","hr_group_06","Shares/stakes in a Group","l10n_hr.l10n_hr_chart_template"
"hr_group_061","061","hr_group_06","Loans, deposit etc given to a Group","l10n_hr.l10n_hr_chart_template"
"hr_group_062","062","hr_group_06","Shares/stakes in associated undertakings","l10n_hr.l10n_hr_chart_template"
"hr_group_063","063","hr_group_06","Loans, deposit etc given to companies in associated undertakings","l10n_hr.l10n_hr_chart_template"
"hr_group_064","064","hr_group_06","Investments in a securities","l10n_hr.l10n_hr_chart_template"
"hr_group_065","065","hr_group_06","Loans given to third party","l10n_hr.l10n_hr_chart_template"
"hr_group_066","066","hr_group_06","Investments in associates accounted for using the equity method","l10n_hr.l10n_hr_chart_template"
"hr_group_067","067","hr_group_06","Other long-term financial assets","l10n_hr.l10n_hr_chart_template"
"hr_group_068","068","hr_group_06","Value adjustment of long-term financial assets","l10n_hr.l10n_hr_chart_template"
"hr_group_069","069","hr_group_06","Unrealized interests on loans etc.","l10n_hr.l10n_hr_chart_template"
"hr_group_07","07","hr_group_0","LONG TERM RECEIVABLES","l10n_hr.l10n_hr_chart_template"
"hr_group_070","070","hr_group_07","Receivables  in a Group","l10n_hr.l10n_hr_chart_template"
"hr_group_071","071","hr_group_07","Receivable from associated undertakings","l10n_hr.l10n_hr_chart_template"
"hr_group_072","072","hr_group_07","Long term trade receivables","l10n_hr.l10n_hr_chart_template"
"hr_group_073","073","hr_group_07","Receivables from factoring","l10n_hr.l10n_hr_chart_template"
"hr_group_074","074","hr_group_07","Receivables for a given guarantees","l10n_hr.l10n_hr_chart_template"
"hr_group_075","075","hr_group_07","Receivables for legal cases in company's favour and other risk receivables","l10n_hr.l10n_hr_chart_template"
"hr_group_076","076","hr_group_07","Receivables for advance payments for services","l10n_hr.l10n_hr_chart_template"
"hr_group_077","077","hr_group_07","Other long-term receivables","l10n_hr.l10n_hr_chart_template"
"hr_group_078","078","hr_group_07","Value adjustment of long-term receivables","l10n_hr.l10n_hr_chart_template"
"hr_group_079","079","hr_group_07","Receivables for unrealized interests in loans","l10n_hr.l10n_hr_chart_template"
"hr_group_08","08","hr_group_0","DEFERRED TAX ASSET","l10n_hr.l10n_hr_chart_template"
"hr_group_080","080","hr_group_08","Deferred temporary tax difference on income tax","l10n_hr.l10n_hr_chart_template"
"hr_group_081","081","hr_group_08","Other deferred tax asset","l10n_hr.l10n_hr_chart_template"
"hr_group_1","1",,"CASH, CURRENT FINANCIAL ASSETS, CURRENT RECEIVABLES, PREPAID EXPENSES AND ACCRUED INCOME","l10n_hr.l10n_hr_chart_template"
"hr_group_10","10","hr_group_1","CASH IN BANK AND CASH ON HAND","l10n_hr.l10n_hr_chart_template"
"hr_group_100","100","hr_group_10","Cash in bank (transaction accounts)","l10n_hr.l10n_hr_chart_template"
"hr_group_101","101","hr_group_10","Letter of credit issued in domestic bank","l10n_hr.l10n_hr_chart_template"
"hr_group_102","102","hr_group_10","Cash on hand","l10n_hr.l10n_hr_chart_template"
"hr_group_103","103","hr_group_10","Foreign currency accounts","l10n_hr.l10n_hr_chart_template"
"hr_group_104","104","hr_group_10","Letter of credit issued in foreign bank","l10n_hr.l10n_hr_chart_template"
"hr_group_105","105","hr_group_10","Foreign cash on hand","l10n_hr.l10n_hr_chart_template"
"hr_group_106","106","hr_group_10","Cash assigned to foreign currency purchases","l10n_hr.l10n_hr_chart_template"
"hr_group_108","108","hr_group_10","Other cash","l10n_hr.l10n_hr_chart_template"
"hr_group_109","109","hr_group_10","Value adjustment of bank deposits","l10n_hr.l10n_hr_chart_template"
"hr_group_11","11","hr_group_1","CURRENT FINANCIAL ASSETS","l10n_hr.l10n_hr_chart_template"
"hr_group_110","110","hr_group_11","Investments in shares and other securities in a Group","l10n_hr.l10n_hr_chart_template"
"hr_group_111","111","hr_group_11","Loans, deposits etc in a Group","l10n_hr.l10n_hr_chart_template"
"hr_group_112","112","hr_group_11","Shares in associated undertakings ","l10n_hr.l10n_hr_chart_template"
"hr_group_113","113","hr_group_11","Loans, deposits etc to companies in associated undertakings ","l10n_hr.l10n_hr_chart_template"
"hr_group_114","114","hr_group_11","Investments in securities","l10n_hr.l10n_hr_chart_template"
"hr_group_115","115","hr_group_11","Leases given, deposits and other","l10n_hr.l10n_hr_chart_template"
"hr_group_116","116","hr_group_11","Receivables from investments funds","l10n_hr.l10n_hr_chart_template"
"hr_group_117","117","hr_group_11","Other financial assets","l10n_hr.l10n_hr_chart_template"
"hr_group_118","118","hr_group_11","Receivables in dispute (e.g.. disputed, in bankruptcy etc, from financial assets)","l10n_hr.l10n_hr_chart_template"
"hr_group_119","119","hr_group_11","Value adjustment of current financial assets ( value adjustment by analytics of this group of accounts)","l10n_hr.l10n_hr_chart_template"
"hr_group_12","12","hr_group_1","CURRENT RECEIVABLES","l10n_hr.l10n_hr_chart_template"
"hr_group_120","120","hr_group_12","Trade receivables","l10n_hr.l10n_hr_chart_template"
"hr_group_121","121","hr_group_12","Foreign trade customers-EU and foreign","l10n_hr.l10n_hr_chart_template"
"hr_group_122","122","hr_group_12","Group companies receivables","l10n_hr.l10n_hr_chart_template"
"hr_group_123","123","hr_group_12","Associated undertakings  interest receivables","l10n_hr.l10n_hr_chart_template"
"hr_group_124","124","hr_group_12","Interest receivables","l10n_hr.l10n_hr_chart_template"
"hr_group_125","125","hr_group_12","Receivables for advance payments for services","l10n_hr.l10n_hr_chart_template"
"hr_group_126","126","hr_group_12","Foreign trade receivables","l10n_hr.l10n_hr_chart_template"
"hr_group_127","127","hr_group_12","Receivables from other activities","l10n_hr.l10n_hr_chart_template"
"hr_group_128","128","hr_group_12","Other current receivables","l10n_hr.l10n_hr_chart_template"
"hr_group_129","129","hr_group_12","Value adjustment of receivables","l10n_hr.l10n_hr_chart_template"
"hr_group_13","13","hr_group_1","RECEIVABLES FROM EMPLOYEES AND OTHER RECEIVABLES","l10n_hr.l10n_hr_chart_template"
"hr_group_130","130","hr_group_13","Receivables from employees","l10n_hr.l10n_hr_chart_template"
"hr_group_131","131","hr_group_13","Receivables from third party","l10n_hr.l10n_hr_chart_template"
"hr_group_133","133","hr_group_13","Receivables from equity owners","l10n_hr.l10n_hr_chart_template"
"hr_group_134","134","hr_group_13","Receivables in dispute and risky receivables","l10n_hr.l10n_hr_chart_template"
"hr_group_135","135","hr_group_13","Receivables for assets held on free-trade zone","l10n_hr.l10n_hr_chart_template"
"hr_group_136","136","hr_group_13","Receivables from banks based on customer's loans","l10n_hr.l10n_hr_chart_template"
"hr_group_137","137","hr_group_13","Receivables from foreign business units","l10n_hr.l10n_hr_chart_template"
"hr_group_138","138","hr_group_13","Other receivables from operating activities","l10n_hr.l10n_hr_chart_template"
"hr_group_139","139","hr_group_13","Value adjustment of receivables from employees and other receivables","l10n_hr.l10n_hr_chart_template"
"hr_group_14","14","hr_group_1","RECEIVABLES FROM THE GOVERNMENT FOR TAXES, DUTIES AND CONTRIBUTIONS","l10n_hr.l10n_hr_chart_template"
"hr_group_140","140","hr_group_14","Value added tax","l10n_hr.l10n_hr_chart_template"
"hr_group_141","141","hr_group_14","Receivables from tax and surtax regarding salaries and other incomes","l10n_hr.l10n_hr_chart_template"
"hr_group_142","142","hr_group_14","Receivables for prepayments made regarding mandatory contributions on personal income tax","l10n_hr.l10n_hr_chart_template"
"hr_group_143","143","hr_group_14","Receivables for corporate income tax and withholding tax","l10n_hr.l10n_hr_chart_template"
"hr_group_144","144","hr_group_14","Receivables for excise duties and other taxes","l10n_hr.l10n_hr_chart_template"
