"id","code_type","sequence","code","name","description","tax_rate"
"code_17_AM","Packing Unit","1","AM","Ampoule","Ampoule","0.0"
"code_17_BA","Packing Unit","2","BA","Barrel","Barrel","0.0"
"code_17_BC","Packing Unit","3","BC","Bottlecrate","Bottlecrate","0.0"
"code_17_BE","Packing Unit","4","BE","Bundle","Bundle","0.0"
"code_17_BF","Packing Unit","5","BF","Balloon, non-protected","Balloon, non-protected","0.0"
"code_17_BG","Packing Unit","6","BG","Bag","Bag","0.0"
"code_17_BJ","Packing Unit","7","BJ","Bucket","Bucket","0.0"
"code_17_BK","Packing Unit","8","BK","Basket","Basket","0.0"
"code_17_BL","Packing Unit","9","BL","Bale","Bale","0.0"
"code_17_BQ","Packing Unit","10","BQ","Bottle, protected cylindrical","Bottle, protected cylindrical","0.0"
"code_17_BR","Packing Unit","11","BR","Bar","Bar","0.0"
"code_17_BV","Packing Unit","12","BV","Bottle, bulbous","Bottle, bulbous","0.0"
"code_17_BZ","Packing Unit","13","BZ","Bag","Bag","0.0"
"code_17_CA","Packing Unit","14","CA","Can","Can","0.0"
"code_17_CH","Packing Unit","15","CH","Chest","Chest","0.0"
"code_17_CJ","Packing Unit","16","CJ","Coffin","Coffin","0.0"
"code_17_CL","Packing Unit","17","CL","Coil","Coil","0.0"
"code_17_CR","Packing Unit","18","CR","Wooden Box, Wooden Case","Wooden Box, Wooden Case","0.0"
"code_17_CS","Packing Unit","19","CS","Cassette","Cassette","0.0"
"code_17_CT","Packing Unit","20","CT","Carton","Carton","0.0"
"code_17_CTN","Packing Unit","21","CTN","Container","Container","0.0"
"code_17_CY","Packing Unit","22","CY","Cylinder","Cylinder","0.0"
"code_17_DR","Packing Unit","23","DR","Drum","Drum","0.0"
"code_17_GT","Packing Unit","24","GT","Extra Countable Item","Extra Countable Item","0.0"
"code_17_HH","Packing Unit","25","HH","Hand Baggage","Hand Baggage","0.0"
"code_17_IZ","Packing Unit","26","IZ","Ingots","Ingots","0.0"
"code_17_JR","Packing Unit","27","JR","Jar","Jar","0.0"
"code_17_JU","Packing Unit","28","JU","Jug","Jug","0.0"
