"id","name","code","description","account_type","tax_ids","reconcile","name@es","description@es","depreciation_model_id"
"1_1_01_01","Remittances in Transit","1.1.01.01","","asset_cash","","False","Remesas en Tránsito","",""
"1_1_01_02","Collections to be Deposited","1.1.01.02","","asset_cash","","False","Recaudaciones a Depositar","",""
"1_1_02_01","Accounts Receivable","1.1.02.01","","asset_receivable","","True","Cuentas por Cobrar","",""
"1_1_02_02","Accounts Receivable (PoS)","1.1.02.02","","asset_receivable","","True","Cuentas por Cobrar (PoS)","",""
"1_1_02_03","Non-Performing Receivables","1.1.02.03","","asset_receivable","","True","Cuentas por Cobrar Morosas","",""
"1_1_02_04","Receivables in Judicial Collection","1.1.02.04","","asset_receivable","","True","Cuentas por Cobrar en Gestión Judicial","",""
"1_1_02_05","Sundry Receivables","1.1.02.05","","asset_receivable","","True","Cuentas por Cobrar Varias","",""
"1_1_02_06","(-) Allowance for Doubtful Accounts","1.1.02.06","","asset_current","","False","(-) Provisión para Cuentas Incobrables","",""
"1_1_03_01","Loans Granted","1.1.03.01","","asset_current","","False","Préstamos Otorgados","",""
"1_1_03_02","Advances to Suppliers","1.1.03.02","","asset_current","","False","Anticipos a Proveedores","",""
"1_1_03_03","Advances to Employees","1.1.03.03","","asset_current","","False","Anticipos al Personal","",""
"1_1_03_04","Shareholders' Current Account","1.1.03.04","","asset_current","","False","Cuenta Corriente de Accionistas","",""
"1_1_03_05","(-) Allowance for Discounts","1.1.03.05","","asset_current","","False","(-) Provisión para Descuentos","",""
"1_1_03_06","(-) Interest to be Accrued","1.1.03.06","","asset_current","","False","(-) Intereses no Devengados","",""
"1_1_04_01","Prepaid Rent","1.1.04.01","","asset_current","","False","Alquileres Pagados por Adelantado","",""
"1_1_04_02","Prepaid Interest","1.1.04.02","","asset_current","","False","Intereses Pagados por Adelantado","",""
"1_1_05_01","Tax Advances","1.1.05.01","","asset_current","","False","Anticipos de Impuestos","",""
"1_1_05_02","ITBMS Tax Credit","1.1.05.02","","asset_current","","False","Crédito Fiscal ITBMS","",""
"1_1_06_01","Short-Term Share Investments","1.1.06.01","","asset_current","","False","Inversiones en Acciones a Corto Plazo","",""
"1_1_06_02","Government Securities","1.1.06.02","","asset_current","","False","Títulos Valores del Estado","",""
"1_1_06_03","(-) Allowance for Investment Impairment","1.1.06.03","","asset_current","","False","(-) Provisión para Deterioro de Inversiones","",""
"1_1_07_01","Merchandise Inventory","1.1.07.01","","asset_current","","False","Inventario de Mercancías","",""
"1_1_07_02","Goods in Transit","1.1.07.02","","asset_current","","False","Mercancías en Tránsito","",""
"1_1_07_03","Raw Materials","1.1.07.03","","asset_current","","False","Materias Primas","",""
