"id","name","code_prefix_start"
"account_group_1","Activos","1"
"account_group_11","Activos Corrientes","11"
"account_group_1101","Efectivo y Equivalentes de Efectivo","1101"
"account_group_110101","Caja","110101"
"account_group_110102","Bancos","110102"
"account_group_110103","Inversiones Temporales Plazo Menor 90 días","110103"
"account_group_1102","Inversiones en Valores a Corto Plazo","1102"
"account_group_1103","Cuentas y Documentos por Cobrar","1103"
"account_group_110301","Documentos por Cobrar","110301"
"account_group_110302","Cuentas por Cobrar","110302"
"account_group_1104","Provisión para Cuentas Incobrables","1104"
"account_group_1105","Inventarios","1105"
"account_group_1106","Deterioro Acumulado de Valor de Inventarios","1106"
"account_group_1107","Estimación por Obsolencia de Inventario","1107"
"account_group_1108","Impuestos Adelantados","1108"
"account_group_110801","ITBIS Adelantado en Compras","110801"
"account_group_110803","Otros Impuestos y Saldos","110803"
"account_group_1109","Inversiones Temporales","1109"
"account_group_1110","Pagos Anticipados","1110"
"account_group_12","Activo Fijos","12"
"account_group_1201","Propiedades, Planta y Equipo","1201"
"account_group_120101","Bienes Inmuebles (CAT 1)","120101"
"account_group_120102","Bienes Muebles (CAT 2)","120102"
"account_group_120103","Bienes Muebles (CAT 3)","120103"
"account_group_1202","Depreciación Acumulada de Propiedades, Planta y Equipo","1202"
"account_group_1203","Deterioro de Valor Acumulado de Propiedades, Planta y Equipo","1203"
"account_group_1204","Activos Intangibles","1204"
"account_group_1205","Bienes en Arrendamiento","1205"
"account_group_1206","Depreciación Acumulada de Bienes en Arrendamiento","1206"
"account_group_1207","Deterioro de Valor Acumulado de Bienes en Arrendamiento","1207"
"account_group_1208","Inversiones Permanentes","1208"
"account_group_1209","Activos Diferidos","1209"
"account_group_13","Costos de Construcción","13"
"account_group_1301","Construcción en Proceso","1301"
"account_group_130101","Costos de Costrucción en Proceso","130101"
"account_group_2","Pasivos","2"
"account_group_21","Pasivo Corriente","21"
"account_group_2101","Cuentas y Documentos por Pagar a Corto Plazo","2101"
"account_group_2102","Beneficios por Pagar a Corto Plazo","2102"
"account_group_2103","Impuestos y Retenciones","2103"
"account_group_210301","ITBIS por Pagar","210301"
"account_group_210302","ITBIS Retenido","210302"
"account_group_210303","ISR Retenido","210303"
"account_group_210304","Retenciones en Nómina","210304"
"account_group_210305","Otros Impuestos o Retenciones","210305"
"account_group_2104","Provisiones a Corto Plazo","2104"
"account_group_2105","Tarjetas de Crédito","2105"
"account_group_22","Pasivo No Corriente","22"
"account_group_2201","Cuentas y Documentos por Pagar a Largo Plazo","2201"
"account_group_2202","Provisión para Obligaciones Laborales","2202"
"account_group_2203","Anticipos de Clientes y Pagos no Identificados","2203"
"account_group_2204","Provisiones a Largo Plazo","2204"
"account_group_3","Capital","3"
"account_group_31","Capital Contable","31"
"account_group_3101","Capital Social","3101"
"account_group_3102","Superávit por Revaluación de Activos","3102"
"account_group_32","Utilidades Restringidas","32"
"account_group_3201","Reserva Legal","3201"
"account_group_33","Resultados","33"
"account_group_3301","Resultados Acumulados","3301"
"account_group_3302","Resultados del Ejercicio","3302"
"account_group_3304","Otras Reservas de Patrimonio","3304"
"account_group_4","Ingresos y Ganancias","4"
"account_group_41","Ingresos por Operaciones","41"
"account_group_4101","Ventas de Bienes","4101"
"account_group_4102","Ventas de Servicios","4102"
"account_group_4103","Devoluciones","4103"
"account_group_4104","Descuentos","4104"
"account_group_42","Ingresos No Operacionales","42"
"account_group_4201","Intereses Ganados","4201"
"account_group_4202","Ventas de Activos","4202"
"account_group_4203","Dividendos Ganados","4203"
"account_group_4204","Ingresos Extraordinarios","4204"
"account_group_5","Costos, Gastos y Pérdidas","5"
"account_group_51","Costos de Operación","51"
"account_group_5101","Costos de Ventas","5101"
"account_group_5102","Costos de Producción","5102"
"account_group_6","Gastos y Pérdidas","6"
"account_group_61","Gastos de Operación","61"
"account_group_6101","Gastos de Personal","6101"
"account_group_610101","Aportes a la Seguridad Social","610101"
"account_group_610102","Otras Cargas Patronales","610102"
"account_group_6102","Gastos de Administración","6102"
"account_group_6103","Gastos por Trabajo, Suministros y Servicios","6103"
"account_group_610301","Gastos Honorarios por Servicios Profesionales (P. Física)","610301"
"account_group_610302","Gastos Honorarios por Servicios Profesionales (P. Jurídica)","610302"
"account_group_610303","Gastos Honorarios por Servicios Profesionales (P. Jurídica)","610303"
"account_group_6104","Gastos por Depreciación","6104"
"account_group_6105","Gastos por Reparaciones","6105"
"account_group_6106","Gastos de Representación","6106"
"account_group_6107","Gastos Financieros","6107"
"account_group_6108","Gastos Extraordinarios","6108"
"account_group_7","Cuentas Liquidadoras de Resultados","7"
"account_group_71","Cuenta Liquidadora","71"
"account_group_7101","Pérdidas y Ganancias","7101"
