"id","name","country_id","name@es"
"tax_group_itbis","ITBIS","base.do","ITBIS"
"tax_group_isr","ISR","base.do",""
"tax_group_ret","Withholdings","base.do","Retenciones"
"tax_group_other_tax","Other Taxes","base.do","Otros Impuestos"
"tax_group_isc","ISC","base.do",""
"tax_group_itbis_0","Exempt","base.do","Exento"
"tax_group_tip","Propina","base.do",""
"tax_group_itbis_18","ITBIS 18%","base.do","ITBIS 18%"
"tax_group_itbis_00015","ITBIS 0.0015%","base.do","ITBIS 0.0015%"
"tax_group_isr_retencion_2","ISR -2%","base.do",""
"tax_group_isr_retencion_10","ISR -10%","base.do",""
"tax_group_isr_retencion_27","ISR -27%","base.do",""
"tax_group_itbis_retencion_30","ITBIS -30%","base.do","ITBIS -30%"
"tax_group_itbis_retencion_100","ITBIS -100%","base.do","ITBIS -100%"
